Perplexity,MaxKL,LossBefore,Time,StdReturn,MaxReturn,Entropy,ItrTime,AverageReturn,LossAfter,AveragePolicyStd,ExplainedVariance,NumTrajs,TotalExecTime,MinReturn,MeanKL
15.3903,1.17171,-0.00315973,11.46455192565918,4709.61516475,15600.0,2.73374,11.464557886123657,7745.0,-0.0502089,0.949513,0.582242699292,20,11.367786884307861,0.0,0.260539
15.3418,0.326794,0.0180533,22.74987244606018,4737.2856152,20900.0,2.73058,11.272155523300171,14425.0,-0.0290666,0.947916,0.606330461564,20,11.192481994628906,1800.0,0.167373
15.4809,0.329412,-0.00280265,33.82399034500122,5525.4502079,22800.0,2.73961,11.060779571533203,16780.0,-0.0209795,0.95213,0.800596730911,20,10.88962197303772,1600.0,0.0705637
15.4592,0.0547047,0.0167847,45.37081718444824,6118.34127848,20700.0,2.7382,11.537785530090332,16070.0,0.0118969,0.951417,0.861066103824,20,11.460198879241943,0.0,0.0107183
15.5895,0.0887971,0.0060192,57.61466360092163,6947.3358203,22900.0,2.7466,12.230035543441772,16995.0,-0.00248378,0.955431,0.874290332659,20,12.163601875305176,0.0,0.0175859
15.6365,0.502728,-5.50095e-05,70.2568609714508,7320.82474862,20800.0,2.74961,12.63574767112732,13805.0,-0.0204824,0.956876,0.760687787208,20,12.52105164527893,0.0,0.0435596
15.636,0.30366,-0.0169196,83.13946723937988,4491.72572627,22800.0,2.74958,12.879791259765625,19080.0,-0.0301394,0.956888,0.904538972594,20,12.789191961288452,0.0,0.0442326
