ExplainedVariance,AveragePolicyStd,LossBefore,LossAfter,MinReturn,NumTrajs,ItrTime,Time,TotalExecTime,StdReturn,MaxKL,Perplexity,Entropy,AverageReturn,MeanKL,MaxReturn
0.990791776682,0.824474,-0.0386875,-0.0426199,2100.0,200,26.60307216644287,781.9074459075928,26.43303394317627,160.915350418,0.0146141,11.6086,2.45174,2572.5,0.00427775,3000.0
0.991884643349,0.816537,-0.040358,-0.047263,1900.0,200,26.236815214157104,808.1512134075165,26.01412534713745,150.860863049,0.0352095,11.3862,2.4324,2579.0,0.0116176,3000.0
0.990941664291,0.808325,-0.0203787,-0.0249063,2000.0,200,27.226863145828247,835.3908393383026,27.03488063812256,163.333248299,0.0311472,11.1587,2.41222,2583.5,0.0109914,2900.0
0.992589378948,0.804242,-0.0206613,-0.0255873,2100.0,200,27.171170949935913,862.5759363174438,26.9594464302063,149.184449592,0.040769,11.0456,2.40203,2612.0,0.01404,2900.0
0.99214740506,0.80013,-0.056934,-0.0629883,2200.0,200,27.02280306816101,889.6197218894958,26.89447283744812,150.059155002,0.0333678,10.9321,2.3917,2611.5,0.012884,3000.0
0.994791059331,0.788835,-0.00909154,-0.0141092,2300.0,200,27.303136110305786,916.9484384059906,27.201822996139526,127.592123581,0.0359626,10.6253,2.36324,2645.5,0.0118908,3000.0
0.993279629792,0.78704,-0.0253947,-0.0282403,2200.0,200,27.826123476028442,944.7789039611816,27.611422300338745,140.157054764,0.0149334,10.5771,2.35869,2616.0,0.00559779,3000.0
0.99246033393,0.782048,-0.00713499,-0.00882802,1800.0,200,27.140016555786133,971.9353652000427,26.898714065551758,149.264027816,0.0100135,10.4436,2.34599,2645.5,0.00427055,2900.0
0.99321549835,0.780662,-0.0165452,-0.0208673,2200.0,200,26.6452476978302,998.5999603271484,26.382571697235107,148.916083752,0.0508312,10.4064,2.34242,2632.0,0.0156404,2900.0
0.994007139714,0.777428,-0.0168354,-0.019102,2000.0,200,27.363566637039185,1025.9722712039948,27.108538389205933,124.32920011,0.0113741,10.3207,2.33415,2643.5,0.00426947,2900.0
0.994921856903,0.774183,-0.0270473,-0.0289233,2300.0,200,26.930130004882812,1052.9232695102692,26.70575976371765,125.178872019,0.0107066,10.2342,2.32573,2655.5,0.00387534,2900.0
0.994372042404,0.768956,-0.00607198,-0.00954289,2300.0,200,26.89948582649231,1079.8308787345886,26.68445897102356,124.575278446,0.058367,10.0967,2.31221,2659.0,0.0160296,2900.0
0.993811398804,0.767801,-0.00993066,-0.0122238,2200.0,200,27.50639271736145,1107.3445682525635,27.3016095161438,125.967257651,0.0316731,10.0661,2.30917,2661.5,0.00874434,2900.0
0.99477155174,0.765834,-0.0034182,-0.0105792,2300.0,200,26.941667079925537,1134.3078780174255,26.771565914154053,126.56915106,0.131537,10.0163,2.30421,2669.5,0.0358715,3000.0
0.994799973625,0.765206,-0.0103394,-0.0115735,2300.0,200,29.908114910125732,1164.234909772873,29.685583353042603,109.594707901,0.0196223,9.99915,2.3025,2667.0,0.00429583,3000.0
0.994697732081,0.763209,-0.0133659,-0.0158913,2300.0,200,27.059749126434326,1191.3081276416779,26.829321146011353,130.957054029,0.0473453,9.94759,2.29733,2675.5,0.0119986,3000.0
0.995169183188,0.760668,-0.0175433,-0.0184271,2400.0,200,28.853764057159424,1220.1827895641327,28.6245014667511,112.800709218,0.0119402,9.88133,2.29065,2676.0,0.00266962,2900.0
0.994432872586,0.757313,-0.0150422,-0.017151,2300.0,200,27.512253761291504,1247.7199637889862,27.2041757106781,127.23894844,0.019977,9.79503,2.28188,2664.5,0.00437175,3000.0
0.995038844996,0.754492,-0.00199523,-0.00323204,2400.0,200,27.763187646865845,1275.5101857185364,27.490554571151733,117.472337169,0.0050872,9.72164,2.27435,2674.5,0.00265668,3000.0
0.993929074778,0.754174,-0.0293885,-0.031608,2200.0,200,28.434892416000366,1303.9574565887451,28.213867902755737,131.297372403,0.022185,9.71195,2.27336,2669.0,0.00802494,3000.0
0.994449545972,0.748689,0.013382,0.013095,2200.0,200,28.81919574737549,1332.7971904277802,28.527273893356323,120.779758238,0.000881344,9.57028,2.25866,2678.5,0.000372836,3000.0
