AverageReturn,LossAfter,TotalExecTime,MaxKL,MeanKL,AveragePolicyStd,Time,ItrTime,Perplexity,MinReturn,StdReturn,MaxReturn,Entropy,LossBefore,NumTrajs,ExplainedVariance
2590.0,-0.0718571,5.457245111465454,1.11304,0.34376,0.95435,5.5353004932403564,5.535303115844727,15.4937,200.0,1632.14582682,5500.0,2.74043,-0.00889374,20,0.157602705517
17550.0,-0.0299921,5.573298931121826,0.14258,0.0609997,0.949373,11.192764043807983,5.652973651885986,15.3565,12600.0,2171.9806629,21100.0,2.73154,-0.00614325,20,0.801959942457
18745.0,-0.0354735,5.463924169540405,0.514481,0.113382,0.947821,16.714341163635254,5.517865180969238,15.3094,15000.0,1547.40912496,21000.0,2.72847,-0.013123,20,0.908084717125
19265.0,-0.0456961,5.7893712520599365,0.380391,0.124836,0.945077,22.56038784980774,5.838225841522217,15.2093,16500.0,1356.19873175,21200.0,2.72191,-0.0116301,20,0.919342286883
18380.0,-0.0647297,5.734890937805176,0.506958,0.1932,0.942462,28.34844446182251,5.7827887535095215,15.1211,13100.0,1894.62397325,21000.0,2.71609,-0.0167914,20,0.872663950777
18585.0,-0.0577352,5.740949630737305,0.500796,0.176045,0.938649,34.14505386352539,5.791829347610474,14.9947,16000.0,1644.16392127,21100.0,2.7077,-0.0120115,20,0.90078291388
20185.0,-0.0469769,5.793817520141602,0.633432,0.139501,0.936341,39.99388813972473,5.832837104797363,14.9049,17400.0,981.465740615,21600.0,2.70169,-0.0136387,20,0.959267075509
