LossAfter,NumTrajs,AverageReturn,LossBefore,MaxKL,MaxReturn,AveragePolicyStd,Perplexity,Time,ExplainedVariance,MinReturn,StdReturn,ItrTime,MeanKL,TotalExecTime,Entropy
-0.00197593,20,25.0,0.00189535,2.75012,500.0,0.999438,17.0561,16.78267240524292,0.0577408964926,0.0,108.972473589,16.782680988311768,0.0304629,16.515968084335327,2.83651
0.00991291,20,15.0,0.0123339,0.00679297,300.0,1.00027,17.0885,34.85808253288269,0.480579928292,0.0,65.3834841531,18.059528350830078,0.000740499,17.82112717628479,2.83841
0.0222761,20,130.0,0.0258122,0.00631283,900.0,1.00335,17.1942,52.684229373931885,0.181213728964,0.0,275.862284483,17.807533025741577,0.00111566,17.59463334083557,2.84457
0.0104739,20,30.0,0.0115782,0.0822679,400.0,1.00992,17.4176,68.74283242225647,0.125872289563,0.0,95.3939201417,16.039284467697144,0.000731223,15.8007071018219,2.85748
-0.00328839,20,60.0,-0.00177617,1.99638,800.0,1.01283,17.5187,85.28677773475647,0.0904999126644,0.0,182.756668825,16.527220010757446,0.0147686,16.39773654937744,2.86327
-0.0404715,20,70.0,-0.0390719,0.697591,700.0,1.01237,17.5031,102.04701209068298,0.122957702215,0.0,173.493515729,16.70093035697937,0.00409202,16.545953035354614,2.86238
-0.0109926,20,45.0,-0.010232,0.0308752,700.0,1.00253,17.1645,119.3184187412262,0.0755422604258,0.0,153.21553446,17.230958938598633,0.000280378,17.09111976623535,2.84284
