MeanKL,LossBefore,TotalExecTime,LossAfter,ItrTime,MaxKL,MaxReturn,Perplexity,NumTrajs,AveragePolicyStd,StdReturn,AverageReturn,MinReturn,Time,ExplainedVariance,Entropy
0.010805,-0.00519165,32.04022526741028,-0.0131242,32.27294063568115,0.382848,2800.0,15.9075,200,0.965264,1080.8051397,785.5,0.0,889.4842462539673,0.763780695485,2.76679
0.00351987,0.0101577,32.14457988739014,0.00751159,32.43748378753662,0.0982792,2900.0,15.8662,200,0.963996,1012.0,684.0,0.0,921.9456446170807,0.738251357728,2.76419
0.000573105,-0.0212259,32.0719895362854,-0.022755,32.31309747695923,0.00626701,2900.0,15.947,200,0.966417,1000.90446597,615.5,0.0,954.2675757408142,0.74712427094,2.76927
0.00629681,0.0159651,33.895439863204956,0.0104315,34.15565800666809,0.0446264,2800.0,15.7787,200,0.961236,1077.31146842,890.0,0.0,988.4328682422638,0.747749036464,2.75866
0.00397991,-0.00182752,33.492558002471924,-0.00614401,33.77696752548218,0.0791289,3000.0,15.9051,200,0.965108,1077.32991697,810.5,0.0,1022.2214722633362,0.739425362883,2.76664
0.0195596,0.00527666,32.9176926612854,-0.0102635,33.20643496513367,0.490772,2800.0,15.8906,200,0.96469,1101.55526416,924.0,0.0,1055.448729276657,0.763853231704,2.76573
0.0222602,-0.0118152,34.23245310783386,-0.0270602,34.459073305130005,0.422452,2800.0,15.9326,200,0.96607,1068.37715719,904.5,0.0,1089.9123139381409,0.768923108978,2.76837
0.00235937,-0.0180482,32.11821913719177,-0.020458,32.43406844139099,0.0382861,2900.0,15.8387,200,0.963221,1085.31838647,878.0,0.0,1122.3680889606476,0.737383412306,2.76246
0.0220182,-0.0168034,33.90105199813843,-0.0217266,34.19174098968506,1.57519,2900.0,15.6964,200,0.958858,1108.4218511,851.0,0.0,1156.585259437561,0.738440772186,2.75343
0.00293476,0.00718546,33.427818775177,0.00478498,33.7281391620636,0.101567,2900.0,15.5651,200,0.954913,1104.70708787,1008.5,0.0,1190.3197765350342,0.746441928711,2.74503
0.00898274,-0.012007,35.31639218330383,-0.0187598,35.60620856285095,0.180287,2900.0,15.6212,200,0.95662,1100.64117677,1167.0,0.0,1225.9441328048706,0.760621040634,2.74863
0.0136192,0.00275413,33.51823163032532,-0.00373224,33.852760314941406,0.16348,2900.0,15.5277,200,0.953699,1141.66545012,1100.0,0.0,1259.814419746399,0.758846682611,2.74262
0.0335644,-0.0054675,34.35015559196472,-0.0211961,34.64272356033325,0.228177,2900.0,15.5491,200,0.954356,1102.6530506,1262.5,0.0,1294.4711775779724,0.779649891237,2.744
0.0188916,-0.0104171,34.854750633239746,-0.0213641,35.1806058883667,0.270374,2900.0,15.5066,200,0.953042,1058.95184026,1411.0,0.0,1329.6548562049866,0.75275485282,2.74127
0.25611,-0.0189741,33.61000156402588,-0.218986,33.89524221420288,27.5149,3000.0,15.426,200,0.95061,1044.20196801,1443.5,0.0,1363.5690853595734,0.74655872546,2.73606
0.0238235,-0.0120977,33.71898150444031,-0.0213444,33.97195601463318,0.537977,2900.0,15.2804,200,0.946027,974.980897249,1621.5,0.0,1397.5583665370941,0.766425317172,2.72657
0.0152961,-0.0341204,34.96218729019165,-0.0425325,35.210620403289795,0.247005,2900.0,15.1882,200,0.943233,812.100825021,1818.5,0.0,1432.785442829132,0.833001427986,2.72052
0.0352766,-0.0170028,35.582626819610596,-0.0306722,35.79978585243225,1.10759,2900.0,14.9313,200,0.935277,807.480030713,1974.0,0.0,1468.5897798538208,0.830430148863,2.70346
0.034001,-0.0127484,33.33392357826233,-0.0252679,33.61938548088074,0.390394,2900.0,14.8049,200,0.931215,709.278506653,2018.0,0.0,1502.2327690124512,0.869684017519,2.69496
0.0310274,-0.0222242,35.573872566223145,-0.0376897,35.96288561820984,0.423813,2900.0,14.7109,200,0.928278,604.340756527,2066.5,0.0,1538.2107734680176,0.859912591719,2.68859
0.0462799,-0.0436705,33.46998476982117,-0.06331,33.843167781829834,1.28209,2900.0,14.5483,200,0.923096,472.141663063,2263.5,200.0,1572.0719954967499,0.913099100321,2.67747
