LossAfter,TotalExecTime,Entropy,MaxReturn,MaxKL,MeanKL,ExplainedVariance,LossBefore,Time,MinReturn,StdReturn,ItrTime,AveragePolicyStd,NumTrajs,Perplexity,AverageReturn
-0.0131242,34.19157814979553,2.76679,2800.0,0.382846,0.0108049,0.763780682715,-0.00519164,1010.2765462398529,0.0,1080.8051397,34.51304340362549,0.965264,200,15.9075,785.5
0.0075116,32.63255786895752,2.76419,2900.0,0.0982795,0.00351994,0.738251344947,0.0101577,1043.2294385433197,0.0,1012.0,32.942883014678955,0.963996,200,15.8662,684.0
-0.0227551,31.810271739959717,2.76927,2900.0,0.00626692,0.000573108,0.74712426224,-0.0212259,1075.3513803482056,0.0,1000.90446597,32.109533071517944,0.966417,200,15.947,615.5
0.0104315,31.589268445968628,2.75866,2800.0,0.0446265,0.00629673,0.747749018853,0.0159652,1107.2369225025177,0.0,1077.31146842,31.878265380859375,0.961236,200,15.7787,890.0
-0.00614403,32.31253123283386,2.76664,3000.0,0.0791295,0.00398009,0.739425352074,-0.00182753,1139.886157989502,0.0,1077.32991697,32.63504648208618,0.965108,200,15.9051,810.5
-0.0102636,33.727670669555664,2.76573,2800.0,0.490772,0.0195595,0.763853237158,0.00527666,1174.0171213150024,0.0,1101.55526416,34.1092267036438,0.96469,200,15.8906,924.0
-0.0270602,33.812169313430786,2.76837,2800.0,0.422452,0.0222601,0.768923093578,-0.0118153,1208.0922183990479,0.0,1068.37715719,34.07052803039551,0.96607,200,15.9326,904.5
-0.020458,34.67479753494263,2.76246,2900.0,0.0382867,0.00235937,0.737383405466,-0.0180482,1243.0539882183075,0.0,1085.31838647,34.94305658340454,0.963221,200,15.8387,878.0
-0.0217266,33.804951667785645,2.75343,2900.0,1.57518,0.0220181,0.738440767946,-0.0168034,1277.1420276165009,0.0,1108.4218511,34.0696656703949,0.958858,200,15.6964,851.0
0.00478318,32.52164936065674,2.74503,2900.0,0.101526,0.00293568,0.746441929977,0.00718546,1310.0448276996613,0.0,1104.70708787,32.894333600997925,0.954913,200,15.5651,1008.5
-0.0186791,31.390074491500854,2.74863,2900.0,0.18056,0.00900642,0.760698296753,-0.0119081,1341.546327829361,0.0,1100.31529572,31.487045526504517,0.95662,200,15.6212,1167.5
-0.00369323,31.920212984085083,2.74267,2900.0,0.163351,0.013488,0.75887967251,0.00276158,1373.7032549381256,0.0,1141.66545012,32.14684271812439,0.953721,200,15.5284,1100.0
-0.0212803,34.42777681350708,2.74405,2900.0,0.229112,0.0336386,0.779737132103,-0.00550868,1408.515874862671,0.0,1102.6530506,34.79298686981201,0.95438,200,15.5499,1262.5
-0.0214685,33.328420877456665,2.7413,2900.0,0.270159,0.0188723,0.752751645622,-0.0105413,1442.1340763568878,0.0,1058.95184026,33.60863471031189,0.953056,200,15.5071,1411.0
-0.218947,33.38014078140259,2.73603,3000.0,27.4749,0.255523,0.746246615944,-0.01928,1475.7496678829193,0.0,1044.24661838,33.60220956802368,0.950596,200,15.4256,1443.0
-0.0221549,31.913520574569702,2.72639,2900.0,0.541763,0.0240752,0.765757005191,-0.012908,1508.0115642547607,0.0,976.764941017,32.245455741882324,0.94594,200,15.2776,1619.5
-0.0423823,34.1440007686615,2.71993,2900.0,0.249857,0.0154614,0.832838487617,-0.0339572,1542.5063977241516,0.0,812.05849543,34.47512602806091,0.942952,200,15.1793,1819.0
-0.0307533,33.1861469745636,2.70296,2900.0,1.08782,0.0347681,0.830944467971,-0.0172332,1575.9788217544556,0.0,807.263897372,33.46176314353943,0.935034,200,14.9238,1975.0
-0.0249852,33.048840045928955,2.69434,2900.0,0.383415,0.0334448,0.869691663953,-0.0126249,1609.269986629486,0.0,709.278506653,33.27905249595642,0.930921,200,14.7957,2018.0
-0.0374291,35.012529134750366,2.68803,2900.0,0.409298,0.029968,0.859396075371,-0.0223846,1644.631166934967,0.0,606.761691276,35.34046649932861,0.928015,200,14.7026,2065.5
-0.0632423,34.39340305328369,2.67683,2900.0,1.35099,0.0487579,0.91359023007,-0.0428477,1679.2999391555786,200.0,471.546392203,34.660260915756226,0.9228,200,14.539,2262.0
