LossAfter,NumTrajs,ExplainedVariance,ItrTime,Entropy,StdReturn,Time,AverageReturn,Perplexity,MinReturn,TotalExecTime,MaxReturn,MaxKL,LossBefore,MeanKL,AveragePolicyStd
-0.0,20,1,16.140363693237305,2.849,0.0,16.140358686447144,0.0,17.2706,0.0,15.827563762664795,0.0,0.0,-0.0,0.0,1.00568
-0.0,20,1,16.186784744262695,2.849,0.0,32.341411113739014,0.0,17.2706,0.0,15.874994039535522,0.0,0.0,-0.0,0.0,1.00568
-0.0,20,1,16.45326018333435,2.849,0.0,48.81317734718323,0.0,17.2706,0.0,16.2196843624115,0.0,0.0,-0.0,0.0,1.00568
-0.0,20,1,13.859930753707886,2.849,0.0,62.682623863220215,0.0,17.2706,0.0,13.702858686447144,0.0,0.0,-0.0,0.0,1.00568
-0.230859,20,0.255469789939,15.437522888183594,2.849,21.7944947177,78.1418104171753,5.0,17.2706,0.0,15.269344568252563,100.0,25.0613,-0.0267299,0.123588,1.00568
-0.0,20,1,16.262125492095947,2.83564,0.0,94.42442321777344,0.0,17.0413,0.0,16.136444807052612,0.0,0.0,-0.0,0.0,0.99894
-0.0,20,1,16.42769980430603,2.83564,0.0,110.89443230628967,0.0,17.0413,0.0,16.330788135528564,0.0,0.0,-0.0,0.0,0.99894
