0NumTrajs,Time,1ProcessExecTime,0StdReturn,0EnvExecTime,0ExplainedVariance,0PolicyExecTime,1Entropy,0MinReturn,1EnvExecTime,LossAfter,1MaxReturn,0MaxReturn,0Perplexity,0Entropy,0AveragePolicyStd,ComputeUpdatedDistTime,dLoss,1PolicyExecTime,LossBefore,ItrTime,1MinReturn,1Perplexity,0AverageReturn,0ProcessExecTime,1AveragePolicyStd,1StdReturn,1ExplainedVariance,1NumTrajs,MeanKLBefore,MeanKL,1AverageReturn
400,77.01489639282227,0.38256025314331055,104.066985639,18.102962493896484,0.0336206911459,1.9575493335723877,2.84916,0.0,32.566468238830566,-0.00911837443709,1500.0,1400.0,17.0795,2.83788,1.0,4.680925607681274,0.00911837276653,12.364487409591675,-1.67055991263e-09,77.014901638031,0.0,17.2732,22.25,0.256974458694458,1.00572,209.38899207,0.0764268571589,400,8.14906891966e-11,0.00643543433398,82.5
400,149.1313192844391,0.37079405784606934,118.401858094,20.987696409225464,0.0555308162326,1.6967737674713135,2.84526,0.0,32.68418025970459,-0.00904868356884,1800.0,900.0,17.1979,2.84479,1.00347,0.29070544242858887,0.0090486843721,12.418054819107056,8.03265676197e-10,71.4125874042511,0.0,17.2059,41.0,0.27356696128845215,1.00381,237.40774524,0.0878423323312,400,-1.88011095581e-09,0.00743039883673,112.75
400,221.44723081588745,0.3699033260345459,159.392597068,22.11267614364624,0.063959119401,1.7551672458648682,2.85966,0.0,32.205708265304565,-0.0116593558341,2000.0,1700.0,17.1674,2.84301,1.00258,0.29460787773132324,0.0116593574523,12.236829996109009,1.61817270694e-09,72.31096816062927,0.0,17.4556,62.0,0.3219635486602783,1.01112,268.140704668,0.0995461168923,400,-7.82311193603e-09,0.00984869152308,150.75
400,299.41919231414795,0.3866267204284668,174.427456268,24.68550395965576,0.0760787763493,1.8184733390808105,2.84608,0.0,34.3156201839447,-0.0092687048018,4400.0,1300.0,17.1807,2.84378,1.00296,0.2830493450164795,0.00926870484836,12.60202169418335,4.65661953442e-11,77.34358787536621,0.0,17.2201,100.25,0.33956336975097656,1.00425,503.192247059,0.0862349888612,400,-5.0873518731e-09,0.00695743225515,267.25
400,373.9251182079315,0.39139366149902344,215.902755888,21.79159164428711,0.109807184711,1.7219352722167969,2.86287,0.0,34.311410665512085,-0.00884544476867,2800.0,1500.0,17.5107,2.86281,1.01256,0.280170202255249,0.00884544476867,12.723506689071655,0.0,74.4945707321167,0.0,17.5117,156.0,0.2977418899536133,1.01268,441.460006682,0.118395435095,400,-7.45057904261e-10,0.00722239585593,324.25
400,445.5192930698395,0.3697681427001953,207.402989371,20.85926842689514,0.0989807195588,1.647066593170166,2.8555,0.0,32.6734983921051,-0.00824653171003,1700.0,1400.0,17.5034,2.8624,1.01236,0.28510427474975586,0.008246527554,12.34085726737976,-4.15602707804e-09,70.94269323348999,0.0,17.3831,178.0,0.2867560386657715,1.00896,284.552170085,0.13258594637,400,4.54020071539e-10,0.00699818646535,289.75
400,518.5106942653656,0.38393282890319824,256.183040032,21.1826810836792,0.0986245195295,1.7247705459594727,2.86518,0.0,33.538854360580444,-0.00876729749143,5300.0,1800.0,17.5782,2.86666,1.01455,0.30558180809020996,0.0087672968104,12.551063299179077,-6.81029677096e-10,72.98619413375854,0.0,17.5522,204.5,0.29929566383361816,1.01388,611.325608821,0.111834242686,400,-5.25032683996e-09,0.00799396820366,459.0
400,590.6607730388641,0.3635690212249756,192.856812169,19.829991579055786,0.140390380603,1.6287388801574707,2.87215,0.0,33.62836956977844,-0.00854856707156,2200.0,1000.0,17.5523,2.86518,1.0138,0.31929516792297363,0.00854856664082,12.49230170249939,-4.30736557533e-10,71.44674754142761,0.0,17.675,212.5,0.2526414394378662,1.01751,343.550487556,0.121499071663,400,1.10594589042e-10,0.00680614076555,328.25
400,661.3784534931183,0.38451552391052246,236.044354942,19.065235137939453,0.154021663133,1.5571568012237549,2.86076,0.0,33.67198610305786,-0.00812193751335,4700.0,1400.0,17.4273,2.85804,1.0103,0.28745388984680176,0.00812193641905,12.535129308700562,-1.09430409179e-09,70.71178579330444,0.0,17.4747,268.25,0.2615659236907959,1.01184,519.470343234,0.135906309341,400,-5.35510302768e-09,0.00679741846398,486.75
400,729.5009605884552,0.3845202922821045,242.64570365,18.17035222053528,0.15384765588,1.525101661682129,2.85826,0.0,31.802452564239502,-0.00969946756959,3000.0,1600.0,17.4276,2.85805,1.01037,0.3069629669189453,0.00969946671103,12.138593196868896,-8.58562887451e-10,67.49702620506287,0.0,17.4311,271.75,0.22432804107666016,1.01059,459.054463,0.134204064323,400,5.51808154725e-09,0.00969899818301,463.0
