AverageReturn,Entropy,LossBefore,Perplexity,AveragePolicyStd,MinReturn,ExplainedVariance,Time,ItrTime,MeanKL,StdReturn,NumTrajs,MaxReturn,MaxKL,TotalExecTime,LossAfter
200.0,2.74043,0.0083246,15.4937,0.95435,0.0,0.787220885107,5.243825435638428,5.243830442428589,0.170164,77.4596669241,20,300.0,1.13109,5.186603307723999,-0.0251619
190.0,2.74876,-0.00581499,15.6232,0.958386,0.0,0.864159655148,10.050870418548584,4.802939176559448,0.0807725,70.0,20,300.0,0.377781,4.739421367645264,-0.0331396
215.0,2.74585,0.00314165,15.5778,0.95707,0.0,0.864059037624,14.812218189239502,4.756960153579712,0.0743108,65.3834841531,20,300.0,0.534748,4.712479591369629,-0.0296172
210.0,2.74742,-0.0114653,15.6023,0.958083,0.0,0.845142068515,19.582348823547363,4.759573221206665,0.0417846,70.0,20,300.0,0.382322,4.730850458145142,-0.0336525
205.0,2.74169,-0.00144126,15.5132,0.955388,0.0,0.81033974796,24.414554834365845,4.824942350387573,0.0278125,66.8954408013,20,300.0,0.209864,4.792565822601318,-0.016502
230.0,2.74097,0.010154,15.502,0.955043,200.0,0.90062395868,33.840537786483765,9.408873796463013,0.0541822,45.8257569496,20,300.0,0.516222,9.365864992141724,-0.0131067
215.0,2.74604,-0.0081225,15.5809,0.957437,200.0,0.913023123869,38.054301500320435,4.207572937011719,0.032299,35.7071421427,20,300.0,0.259719,4.166850566864014,-0.0206527
