Perplexity,NumTrajs,Entropy,AveragePolicyStd,MaxKL,ExplainedVariance,StdReturn,MaxReturn,MeanKL,TotalExecTime,ItrTime,Time,AverageReturn,LossBefore,MinReturn,LossAfter
17.2706,20,2.849,1.00568,0.0,1,0.0,0.0,0.0,16.00187349319458,16.307856559753418,16.307849884033203,0.0,-0.0,0.0,-0.0
17.2706,20,2.849,1.00568,0.0,1,0.0,0.0,0.0,15.590108871459961,15.801310300827026,32.12471556663513,0.0,-0.0,0.0,-0.0
17.2706,20,2.849,1.00568,4.28297,0.0674913894392,110.0,500.0,0.0476684,17.284456968307495,17.502978563308716,49.65332269668579,30.0,0.0099972,0.0,0.00826434
17.3571,20,2.854,1.00822,24.742,0.0251632945658,21.7944947177,100.0,0.160661,17.137629985809326,17.3394455909729,66.99923586845398,5.0,0.0113446,0.0,0.0304273
17.4558,20,2.85967,1.01109,0.0,1,0.0,0.0,0.0,17.50809621810913,17.690560817718506,84.74009156227112,0.0,-0.0,0.0,-0.0
17.4558,20,2.85967,1.01109,0.0428738,0.0322558614542,43.5889894354,200.0,0.000188937,17.31670069694519,17.474856853485107,102.24651026725769,10.0,0.00281911,0.0,0.00239858
17.4805,20,2.86108,1.0118,4.10276,0.096102847864,108.972473589,500.0,0.0194406,16.553288459777832,16.696805953979492,118.95996952056885,25.0,-0.000147194,0.0,-0.0103925
