0ExplainedVariance,0Entropy,ComputeUpdatedDistTime,LossBefore,Time,0StdReturn,dLoss,1AveragePolicyStd,1PolicyExecTime,MeanKLBefore,1ProcessExecTime,1Perplexity,0NumTrajs,1StdReturn,MeanKL,1EnvExecTime,0MaxReturn,0EnvExecTime,0Perplexity,0AveragePolicyStd,1Entropy,1NumTrajs,0PolicyExecTime,LossAfter,1ExplainedVariance,1AverageReturn,1MaxReturn,1MinReturn,0AverageReturn,0ProcessExecTime,ItrTime,0MinReturn
0.0421374962451,2.83788,5.695549249649048,-1.16415592444e-11,168.6959936618805,492.952774107,0.00209146876587,0.998906,41.52268958091736,6.09652373029e-09,1.4008276462554932,17.0414,400,514.555086944,0.0087645528838,42.153069496154785,6300.0,48.603222370147705,17.0795,1.0,2.83565,400,14.89258885383606,-0.00209146877751,0.0770611980716,131.75,5500.0,0.0,104.75,1.6489529609680176,168.69599652290344,0.0
0.0820951614995,2.83205,0.37248754501342773,1.51339912824e-10,324.88129711151123,549.921812624,0.00177754616598,0.997165,40.82998013496399,4.33646762943e-09,1.2965302467346191,16.9817,400,1286.22448954,0.00621623918414,41.75438451766968,3800.0,45.80874562263489,16.9803,0.997097,2.83214,400,12.282297372817993,-0.00177754601464,0.0954476966053,318.75,13000.0,0.0,156.0,1.4793622493743896,155.34460473060608,0.0
0.0546904107031,2.83651,0.40418386459350586,5.82076609135e-10,481.7893154621124,882.577900245,0.00277774280403,0.998577,42.09937047958374,-2.50293030746e-09,1.4178123474121094,17.0297,400,1191.28827326,0.0077333371155,42.17253017425537,8600.0,48.54349064826965,17.0561,0.999321,2.83496,400,11.27550458908081,-0.00277774222195,0.0673159615552,461.5,8600.0,0.0,347.5,1.495190143585205,156.90206265449524,0.0
0.051630560273,2.81711,0.3425624370574951,-1.28056870663e-10,643.7656934261322,950.915217041,0.00246977839852,0.989721,41.660120725631714,3.80678066847e-09,1.3401033878326416,16.7282,400,1112.16542722,0.00899451412261,42.3626823425293,6800.0,48.359089612960815,16.7285,0.989693,2.8171,400,13.367270946502686,-0.00246977852657,0.0694604027786,561.75,6200.0,0.0,410.5,1.5154838562011719,161.3188714981079,0.0
0.054397148558,2.81302,0.3847236633300781,6.11180273058e-11,796.7249493598938,1233.6220805,0.00261080829951,0.988166,40.19532632827759,-6.51929343842e-10,1.3133854866027832,16.6762,400,1677.05426269,0.00643381429836,41.58110594749451,7700.0,45.384177923202515,16.6601,0.987647,2.81399,400,11.717275381088257,-0.00261080823839,0.0896170371344,1033.0,11100.0,0.0,681.25,1.4357142448425293,152.95484137535095,0.0
0.0485542488316,2.82178,0.8133800029754639,1.14232581727e-10,957.0883138179779,1320.12212977,0.00238178774962,0.9917,40.32136130332947,-2.17696527471e-09,1.2664458751678467,16.7961,400,1842.81562765,0.00680992938578,41.56966018676758,11300.0,48.36727499961853,16.8067,0.991987,2.82115,400,12.548558473587036,-0.00238178763539,0.0704662228885,970.75,12700.0,0.0,655.25,1.54852294921875,159.66715574264526,0.0
0.053144773714,2.8198,0.42603015899658203,9.42236511037e-10,1117.6797261238098,1841.98093095,0.00236152765501,0.98955,40.4821081161499,-8.84757878072e-10,1.316265344619751,16.722,400,2481.63373607,0.00676771486178,41.63144016265869,12000.0,48.581010580062866,16.7735,0.991047,2.81673,400,13.865804433822632,-0.00236152671278,0.0922936695445,1412.0,19700.0,0.0,927.5,1.5309019088745117,160.5866334438324,0.0
0.0212830977885,2.82251,0.3247818946838379,-8.90577167567e-10,1275.7914488315582,1221.22469268,0.00242110369145,0.992693,40.990753412246704,2.07220796078e-09,1.296245813369751,16.8267,400,2105.96717686,0.0065118749626,42.1638298034668,12100.0,46.78979420661926,16.8189,0.992424,2.82297,400,11.853251695632935,-0.00242110458203,0.0588109782077,1251.5,20000.0,0.0,535.5,1.4705770015716553,157.40201258659363,0.0
0.0339512357824,2.79056,0.4692962169647217,2.5465830833e-11,1431.2843222618103,2076.53255151,0.00368359710774,0.977482,40.54496097564697,-7.4505814851e-09,1.3955330848693848,16.3153,400,3237.20461973,0.00990652199835,42.05181050300598,15000.0,45.87889504432678,16.2902,0.976727,2.7921,400,13.979653120040894,-0.00368359708227,0.076974628362,1917.5,22900.0,0.0,1037.25,1.3903303146362305,155.4885184764862,0.0
0.0352783901815,2.78825,0.48740148544311523,-2.88127965931e-10,1585.380662202835,2142.11972996,0.00254115619755,0.973587,40.45776653289795,1.97906202537e-09,1.2921321392059326,16.1738,400,3373.47858301,0.00660541234538,41.40693497657776,12700.0,47.02449870109558,16.2525,0.975897,2.78339,400,13.213430881500244,-0.00254115648568,0.0781457409293,2268.5,16700.0,0.0,1271.75,1.443446397781372,153.48844361305237,0.0
0.0427302843134,2.77076,0.3441312313079834,9.60426738139e-11,1739.852026462555,2202.10802414,0.00315253027075,0.968408,40.504342555999756,1.18743870292e-09,1.3227620124816895,16.0039,400,3526.11612649,0.00934496428818,41.75238609313965,12900.0,46.95099472999573,15.9708,0.967407,2.77283,400,13.717766284942627,-0.0031525301747,0.135444506451,2352.25,17300.0,0.0,1270.5,1.5086116790771484,154.46697163581848,0.0
0.0438265105539,2.7962,0.778623104095459,1.74623371318e-11,1897.4120898246765,2070.71479205,0.00272140816669,0.978331,40.73997616767883,1.22818022419e-09,1.2675719261169434,16.3366,400,3085.57206001,0.00654761167243,42.30355477333069,14700.0,46.78120446205139,16.3822,0.979655,2.79341,400,15.555335998535156,-0.00272140814923,0.123052950795,2040.25,15800.0,0.0,1084.5,1.3925304412841797,156.92100596427917,0.0
