LossAfter,AveragePolicyStd,StdReturn,Perplexity,Time,Entropy,MaxKL,ExplainedVariance,AverageReturn,LossBefore,MeanKL,ItrTime,NumTrajs,MinReturn,MaxReturn,TotalExecTime
-0.0249121,0.842223,117.128134963,12.1111,746.058824300766,2.49412,0.128248,0.995005574148,2659.0,-0.0191699,0.024504,26.415985584259033,200,2200.0,2900.0,26.171705722808838
-0.0222948,0.838176,118.220133649,11.9955,772.5667839050293,2.48454,0.546711,0.994709279987,2668.0,-0.0106995,0.0665673,26.49934959411621,200,2400.0,3000.0,26.303129196166992
-0.0468862,0.83593,136.270869961,11.9315,799.0670695304871,2.47919,0.427344,0.993396857265,2655.5,-0.0370546,0.0471152,26.495959520339966,200,2200.0,3000.0,26.202519416809082
-0.0177965,0.828176,123.66790206,11.7125,825.0559549331665,2.46066,0.306266,0.99395629048,2667.5,-0.011264,0.0318332,25.9841787815094,200,2300.0,2900.0,25.703911781311035
-0.0071522,0.825841,131.748814036,11.6467,850.9217913150787,2.45503,0.0169535,0.994023369258,2668.5,-0.0047475,0.00496758,25.849095582962036,200,2200.0,3000.0,25.649898767471313
-0.00543914,0.824892,122.959342874,11.6191,876.4956088066101,2.45265,0.075895,0.994180355882,2659.0,-0.00309098,0.00940467,25.551494121551514,200,2300.0,3000.0,25.35364007949829
-0.0253533,0.824303,128.334523804,11.6012,902.1194562911987,2.45111,0.0518698,0.99385689202,2680.5,-0.0214764,0.00979898,25.61036205291748,200,2100.0,3000.0,25.375455379486084
0.00456743,0.819847,130.916003605,11.4773,928.5275502204895,2.44037,0.23451,0.994069559916,2681.0,0.00865279,0.0258858,26.383888006210327,200,2300.0,3000.0,26.166227102279663
-0.011515,0.821648,126.861144564,11.527,954.5170826911926,2.44469,0.22339,0.994363791495,2687.5,-0.00812548,0.0156742,25.982717514038086,200,2200.0,3000.0,25.746262311935425
-0.0168537,0.820035,126.640238471,11.4803,979.0706722736359,2.44063,0.253498,0.994192461488,2671.5,-0.0102721,0.0351411,24.53635883331299,200,2100.0,3000.0,24.448895692825317
0.0147362,0.817833,118.389188696,11.4215,1003.9445595741272,2.4355,0.170208,0.994753694751,2672.0,0.0180575,0.016478,24.86406135559082,200,2400.0,3100.0,24.76100492477417
-0.0100497,0.821532,126.376421852,11.5251,1028.6277482509613,2.44453,0.146374,0.994131539813,2677.0,-0.00689675,0.00987806,24.668443202972412,200,2300.0,3000.0,24.472052574157715
-0.0148632,0.820109,113.648581161,11.4854,1054.050178527832,2.44108,0.0666864,0.994640580506,2672.0,-0.0122681,0.0114321,25.41830825805664,200,2300.0,2900.0,25.218156099319458
-0.0135945,0.817585,125.299640861,11.4152,1080.179615497589,2.43494,0.0822952,0.994147883494,2670.0,-0.0099102,0.0104921,26.123533248901367,200,2300.0,3000.0,25.97886848449707
-0.0093461,0.815566,130.828131531,11.3587,1107.1093745231628,2.42999,0.0424783,0.993790916312,2678.0,-0.00798985,0.00706244,26.90774178504944,200,2200.0,3100.0,26.6472749710083
-0.0161287,0.813955,114.275981728,11.3135,1133.4985466003418,2.42599,0.0964753,0.994864155083,2679.0,-0.0142166,0.00865454,26.363141536712646,200,2400.0,3000.0,26.19886302947998
-0.0121126,0.811092,109.3057638,11.2333,1160.9611041545868,2.41888,0.0867898,0.995463139187,2673.5,-0.0101286,0.00648504,27.4527907371521,200,2300.0,2900.0,27.294655799865723
-0.00554729,0.809048,127.152467534,11.1766,1187.5074305534363,2.41382,0.0144893,0.993804534807,2661.5,-0.00413514,0.00222128,26.543888568878174,200,2400.0,3000.0,26.31168794631958
-0.00265746,0.808172,115.878168781,11.1535,1214.553869009018,2.41175,0.0879645,0.994777596391,2666.5,0.000884479,0.0158723,27.03268074989319,200,2300.0,2900.0,26.762086868286133
-0.00715086,0.808332,123.040643691,11.1584,1240.5963971614838,2.41219,0.352624,0.994292528297,2681.0,0.000989754,0.0300784,26.024473190307617,200,2300.0,3000.0,25.660334825515747
-0.026253,0.808605,118.481011137,11.1639,1268.555501461029,2.41269,0.0352667,0.99479993499,2671.5,-0.0241323,0.00485242,27.942523956298828,200,2200.0,2900.0,27.708815336227417
-0.0113277,0.803746,128.793439274,11.03,1295.027420759201,2.40062,0.0233678,0.993797380971,2678.5,-0.00936188,0.00528706,26.451724767684937,200,2200.0,3000.0,26.265339851379395
