MinReturn,AveragePolicyStd,LossBefore,NumTrajs,MaxReturn,AverageReturn,ItrTime,TotalExecTime,MaxKL,ExplainedVariance,Time,Entropy,MeanKL,StdReturn,Perplexity,LossAfter
2300.0,0.739242,0.00885483,200,3000.0,2674.0,15.19400405883789,15.08375859260559,0.0252844,0.994937187763,447.52445673942566,2.22857,0.00554704,113.683771929,9.2866,0.00740799
2300.0,0.740702,0.00281368,200,3000.0,2672.0,15.86453914642334,15.758974552154541,1.73093,0.994696468585,463.39388394355774,2.233,0.234363,114.525106418,9.32781,-0.0192167
2300.0,0.741344,-0.00540572,200,3100.0,2676.0,16.632652282714844,16.46964120864868,0.32886,0.994403430869,480.0354952812195,2.23441,0.0339654,127.765410029,9.34094,-0.010086
2300.0,0.740095,0.0101417,200,3000.0,2676.0,15.399925708770752,15.300962209701538,2.11723,0.994500498836,495.44658756256104,2.2317,0.228021,119.682914403,9.31573,-0.00751712
2300.0,0.742122,-0.0229351,200,3000.0,2676.5,15.346068859100342,15.28576922416687,0.537844,0.994970425472,510.7975299358368,2.23677,0.118293,119.154311714,9.36309,-0.03546
2300.0,0.738037,-0.00414273,200,2900.0,2679.5,27.027660369873047,26.86948800086975,0.314164,0.995079963038,537.8294725418091,2.22531,0.0799631,110.588200094,9.25633,-0.0129183
2300.0,0.737323,-0.0142701,200,3000.0,2680.0,15.410509824752808,15.275396585464478,0.2099,0.994661914136,553.2463080883026,2.22324,0.0387899,118.321595662,9.23717,-0.0195806
2300.0,0.734508,-0.0086305,200,2900.0,2659.5,15.008832454681396,14.860785961151123,0.0577934,0.994248731762,568.2597510814667,2.2161,0.0054516,113.62108079,9.1715,-0.00988738
2100.0,0.732934,-0.00559444,200,3000.0,2664.5,13.749976396560669,13.634969234466553,0.452564,0.993782550928,582.0179224014282,2.21179,0.0630872,130.344735222,9.13201,-0.0177391
2200.0,0.731812,-0.0135234,200,3000.0,2675.5,13.844968318939209,13.749937772750854,1.10456,0.994785370269,595.8701486587524,2.20899,0.118278,126.29231964,9.1065,-0.023294
