AveragePolicyStd,Time,NumTrajs,AverageReturn,MaxKL,TotalExecTime,Entropy,StdReturn,ExplainedVariance,MeanKL,LossBefore,MaxReturn,LossAfter,ItrTime,MinReturn,Perplexity
0.86169,484.9667534828186,200,2661.0,0.649419,18.13020968437195,2.53966,118.232821162,0.994374657143,0.0227699,-0.0060065,3000.0,-0.0114867,18.21385931968689,2300.0,12.6753
0.86036,503.0730814933777,200,2666.5,1.44869,18.042698621749878,2.53666,128.948633184,0.993765433987,0.0847127,-0.0123657,3000.0,-0.0236268,18.1018488407135,2100.0,12.6373
0.857721,520.7351226806641,200,2669.0,1.13444,17.56672763824463,2.53047,118.486286126,0.994536104884,0.0788232,-0.0114455,2900.0,-0.0237933,17.65156841278076,2300.0,12.5594
0.855303,537.893646478653,200,2670.5,0.670061,17.064620971679688,2.52475,131.452462891,0.994137624528,0.0154908,-0.0117852,3000.0,-0.0180121,17.148125648498535,2300.0,12.4878
0.852781,554.8699686527252,200,2672.0,0.34778,16.905441999435425,2.51886,124.963994815,0.994217908765,0.0187016,-0.0276392,3000.0,-0.0325475,16.968161821365356,2400.0,12.4144
0.846907,571.9851942062378,200,2679.0,19.5851,17.007320404052734,2.50504,114.712684565,0.994672520378,0.233288,-0.0130825,3000.0,-0.0341528,17.099480867385864,2300.0,12.244
0.84407,589.0660891532898,200,2685.5,24.9079,16.996187925338745,2.4985,124.658533603,0.994397811572,0.311439,-0.0177817,3000.0,-0.0933549,17.076101541519165,2300.0,12.1642
0.840306,606.1680338382721,200,2681.0,0.42572,16.968469619750977,2.48961,121.815434162,0.994579178059,0.0291689,-0.0111549,3000.0,-0.0186354,17.08803915977478,2300.0,12.0565
0.83792,623.6757211685181,200,2676.5,2.64702,17.43320369720459,2.48403,123.684073348,0.994498529365,0.0520899,-0.00175831,3000.0,-0.00894551,17.50252389907837,2300.0,11.9895
0.837546,641.0747952461243,200,2666.5,1.61993,17.329235792160034,2.48315,113.700263852,0.99504334877,0.0965128,-0.0194701,2900.0,-0.0413852,17.384279012680054,2400.0,11.9789
0.833511,658.4138903617859,200,2683.5,0.0473728,17.264466285705566,2.47341,123.198011348,0.994435321691,0.00296345,-0.00675038,2900.0,-0.00986756,17.329262256622314,2200.0,11.8629
0.83214,675.5011119842529,200,2679.0,1.50135,17.01261281967163,2.47004,119.829044893,0.994354630925,0.0740334,-0.0050777,3000.0,-0.0210514,17.078879833221436,2400.0,11.8229
0.83121,693.6317660808563,200,2654.0,9.26529,18.056623697280884,2.4675,135.218341951,0.993254646994,0.183267,-8.52421e-05,3000.0,-0.0131996,18.123613119125366,2300.0,11.7929
0.831193,711.1506054401398,200,2686.5,0.0886498,17.454214334487915,2.46746,110.759875406,0.994775685952,0.00507236,-0.0151673,2900.0,-0.0193211,17.515461683273315,2300.0,11.7924
0.828012,728.8466398715973,200,2670.0,2.7187,17.547757863998413,2.45987,111.803398875,0.995559525026,0.103587,0.0111358,3000.0,-0.00177485,17.67699670791626,2400.0,11.7033
0.830304,746.3105843067169,200,2675.5,1.75166,17.37198257446289,2.46544,138.020831761,0.993422725648,0.0701694,-0.00052261,3000.0,-0.01545,17.45951247215271,2200.0,11.7687
0.830205,763.9724893569946,200,2689.0,0.235012,17.551681995391846,2.46518,110.358506695,0.99534487542,0.0087779,-0.0176623,3000.0,-0.0236287,17.652941703796387,2400.0,11.7656
0.826564,781.2477576732635,200,2682.0,1.90215,17.14653491973877,2.45635,118.220133649,0.994800826458,0.0490738,-0.00457479,3000.0,-0.0148859,17.271398544311523,2400.0,11.6621
0.825603,798.946560382843,200,2680.0,59.8912,17.610106706619263,2.45406,117.473401245,0.995099257516,0.540445,-0.00733307,3000.0,-0.184825,17.694920539855957,2400.0,11.6355
0.824089,816.6199293136597,200,2671.5,2.33578,17.59586811065674,2.45039,118.481011137,0.994638042267,0.114362,0.00992768,2900.0,-0.00312668,17.667253494262695,2200.0,11.5929
0.826129,833.4512667655945,200,2680.0,2.44319,16.716184616088867,2.45536,129.228479833,0.994134163198,0.0923543,0.00668911,3000.0,-0.00283498,16.80859684944153,2300.0,11.6506
