TotalExecTime,StdReturn,ItrTime,Perplexity,LossAfter,MaxReturn,MaxKL,MeanKL,Entropy,ExplainedVariance,NumTrajs,AverageReturn,AveragePolicyStd,Time,MinReturn,LossBefore
13.248543739318848,113.77060253,13.343573808670044,5.09046,0.00919661,3000.0,0.598802,0.0601341,1.62737,0.994986430024,200,2677.5,0.545955,401.98407769203186,2300.0,0.0131559
13.258028745651245,114.00767518,13.350562810897827,5.12405,-0.0310636,3000.0,6.27668,0.73602,1.63395,0.994733200487,200,2676.5,0.54774,415.3388707637787,2400.0,0.00323037
13.282474279403687,121.695316262,13.353909730911255,5.13234,-0.00760721,3100.0,0.535966,0.0487394,1.63556,0.994667575053,200,2684.5,0.548191,428.69692373275757,2300.0,-0.000747621
13.36212968826294,120.539412642,13.435514450073242,5.13042,-0.0226643,3000.0,7.65437,0.75637,1.63519,0.994635135716,200,2679.5,0.548075,442.1412191390991,2300.0,0.0103613
13.19152569770813,117.234807118,13.270414113998413,5.15706,-0.0521215,3000.0,3.39309,0.714854,1.64037,0.994877880988,200,2684.0,0.549504,455.4299328327179,2300.0,-0.0187242
13.395545244216919,106.488262264,13.455322980880737,5.10901,-0.0164126,2900.0,1.34816,0.267814,1.63101,0.995364889234,200,2685.5,0.546948,468.89296650886536,2400.0,-0.00117383
13.262545108795166,117.520211028,13.322168827056885,5.10601,-0.0155052,3000.0,0.703299,0.0910568,1.63042,0.994751194668,200,2683.0,0.546785,482.2267053127289,2300.0,-0.00781405
13.338221311569214,115.026083998,13.432830572128296,5.0861,-0.0125466,2900.0,0.250717,0.0201791,1.62651,0.994189655013,200,2663.0,0.545707,495.6725981235504,2300.0,-0.00993513
13.302146434783936,124.978998236,13.35778284072876,5.0609,-0.0294489,3000.0,2.22911,0.258482,1.62154,0.994318158227,200,2669.5,0.544353,509.03447818756104,2200.0,-0.00271234
13.333557844161987,124.530116839,13.39825439453125,5.05404,-0.0292103,3000.0,4.95631,0.53384,1.62019,0.994928352396,200,2681.5,0.54398,522.4425902366638,2200.0,-0.00742906
13.351027488708496,105.819421658,13.423416376113892,5.0353,-0.0255435,2900.0,3.84208,0.268669,1.61647,0.995172804182,200,2676.5,0.54297,535.8742156028748,2400.0,-0.00695518
13.406807899475098,122.383618185,13.465828657150269,5.01782,-0.0368914,2900.0,2.34947,0.218015,1.613,0.994525174304,200,2683.5,0.542027,549.34534740448,2300.0,-0.0210202
13.3684241771698,119.497907931,13.456005811691284,4.96536,-0.0459101,2900.0,6.79317,0.517873,1.60249,0.99457403498,200,2670.5,0.539186,562.8066892623901,2400.0,-0.0163874
13.414190530776978,108.30397038,13.50232219696045,4.92484,-0.0160454,3000.0,1.8707,0.161062,1.59429,0.995125478474,200,2695.5,0.536985,576.3140034675598,2400.0,-0.00637363
13.362011194229126,114.995652092,13.421577453613281,4.90917,-0.055426,2900.0,5.22148,0.516007,1.5911,0.994888935235,200,2676.0,0.536126,589.7408092021942,2300.0,-0.0156937
13.340648889541626,118.368070019,13.408080816268921,4.8708,-0.02175,3000.0,2.71149,0.251486,1.58326,0.994243082132,200,2683.0,0.53403,603.1531186103821,2300.0,-0.00646419
13.504016637802124,114.799825784,13.606498003005981,4.85508,-0.0333839,3000.0,3.08865,0.554606,1.58003,0.995036686362,200,2689.0,0.533165,616.783102273941,2400.0,-0.00812763
13.356533527374268,106.95326082,13.4310142993927,4.83539,-0.0446049,3000.0,6.45842,0.561532,1.57596,0.995096871372,200,2681.0,0.532083,630.2181675434113,2300.0,-0.00101183
13.361261367797852,114.47270417,13.419400691986084,4.83295,-0.0304815,3000.0,3.62238,0.494142,1.57546,0.995218202011,200,2686.0,0.531948,643.6574332714081,2400.0,-0.00657658
13.366498708724976,115.454536507,13.457453489303589,4.81708,-0.00827095,3000.0,1.54164,0.195491,1.57217,0.995138762077,200,2679.5,0.531078,657.12016248703,2300.0,0.00206284
13.375438213348389,113.468057179,13.444779396057129,4.82205,-0.0248634,3000.0,1.48097,0.302253,1.5732,0.995035372531,200,2675.0,0.531355,670.5677943229675,2300.0,-0.00880515
