NumTrajs,StdReturn,LossAfter,MaxKL,TotalExecTime,MeanKL,MinReturn,Perplexity,ItrTime,AverageReturn,LossBefore,ExplainedVariance,AveragePolicyStd,MaxReturn,Time,Entropy
200,114.34596626,-0.0508265,6.25289,26.918982982635498,0.78657,2400.0,7.38796,27.14126181602478,2685.0,-0.00563768,0.99507889145,0.657721,3000.0,802.972843170166,1.99985
200,116.265859133,-0.0271244,1.00212,27.047425508499146,0.0840245,2400.0,7.36717,27.303727626800537,2688.5,-0.0196401,0.994857173267,0.656793,3000.0,830.3127896785736,1.99703
200,119.288515793,-0.0175395,2.57445,26.970701932907104,0.322369,2300.0,7.29517,27.147342205047607,2679.5,-0.000668742,0.994219227604,0.653553,2900.0,857.4741477966309,1.98721
200,122.383618185,-0.0144661,0.635826,28.16441822052002,0.154645,2300.0,7.29274,28.50646996498108,2683.5,-0.00195841,0.994691639738,0.653444,3000.0,886.0016732215881,1.98688
200,116.532184396,-0.00160239,0.881674,27.609315872192383,0.0977885,2400.0,7.2856,27.80834460258484,2670.5,0.00796059,0.994753140891,0.653125,3000.0,913.8196828365326,1.9859
200,111.936365851,-0.0181904,1.18802,28.806618213653564,0.106674,2400.0,7.31465,28.987037897109985,2695.5,-0.00690622,0.994932005038,0.65443,3000.0,942.8292603492737,1.98988
200,123.899152539,0.0129944,1.0381,26.69270133972168,0.0960421,2400.0,7.28944,27.005054235458374,2693.0,0.0194826,0.994698933583,0.653296,3000.0,969.8599104881287,1.98643
200,121.618255209,-0.0101929,2.29296,27.59008812904358,0.108994,2300.0,7.3608,27.836393117904663,2697.0,0.000720745,0.994869895406,0.656486,3000.0,997.7039682865143,1.99617
200,121.815434162,-0.0181455,1.28884,27.372811317443848,0.208334,2300.0,7.36345,27.617008924484253,2681.0,-0.00185595,0.994319101105,0.656609,3000.0,1025.3314442634583,1.99653
200,112.888219049,0.0123483,1.73758,26.525025367736816,0.167328,2400.0,7.35662,26.761982202529907,2677.5,0.0249408,0.995338239112,0.6563,3100.0,1052.1050436496735,1.9956
200,119.599331102,-0.00897034,1.49847,28.22917652130127,0.122297,2300.0,7.44894,28.44151735305786,2686.0,0.000884058,0.994538807997,0.660405,3000.0,1080.570193529129,2.00807
200,109.287464972,-0.0134866,0.973882,28.01419448852539,0.190457,2400.0,7.45223,28.255281925201416,2682.5,-0.000214249,0.994820411769,0.660552,2900.0,1108.8570799827576,2.00851
200,119.19626672,-0.0293681,1.8822,29.42496943473816,0.251984,2400.0,7.45143,29.748022317886353,2681.5,-0.00430763,0.994653767537,0.660518,3000.0,1138.6331703662872,2.00841
200,124.915971757,-0.00486618,0.181846,29.246458292007446,0.0205858,2300.0,7.4354,29.56165599822998,2686.0,-0.00248998,0.994327019651,0.659809,3100.0,1168.2286682128906,2.00625
200,111.941949242,-0.013733,1.06333,28.786537885665894,0.125262,2400.0,7.42615,28.94668459892273,2687.0,-0.00455631,0.994920045465,0.659397,3000.0,1197.1799137592316,2.00501
200,105.687037994,-0.0146578,1.97604,29.820321559906006,0.170368,2400.0,7.40925,30.096720933914185,2680.5,-0.00643025,0.995629793144,0.658646,2900.0,1227.3112080097198,2.00273
200,124.176285981,0.00335504,0.227285,29.538649797439575,0.0117697,2400.0,7.38546,29.653061866760254,2669.5,0.00638909,0.994102419326,0.657588,3000.0,1256.9800987243652,1.99951
200,111.327220391,-0.00646267,0.628687,30.759251832962036,0.134479,2400.0,7.40909,31.05380606651306,2672.5,0.00502581,0.995165563099,0.658642,2900.0,1288.0397415161133,2.00271
200,117.642466822,-0.0114647,3.11189,30.41484785079956,0.245624,2300.0,7.42773,30.755772590637207,2685.5,0.0070901,0.994597050184,0.659479,3000.0,1318.8000361919403,2.00522
200,115.58114033,-0.0140587,0.431557,29.003129959106445,0.0375297,2300.0,7.45411,29.27657151222229,2679.0,-0.00980448,0.994918791637,0.660634,2900.0,1348.087816953659,2.00877
200,124.398553046,-0.0104415,0.279336,28.246067762374878,0.042779,2200.0,7.41766,28.503877639770508,2685.0,-0.00615287,0.994194787205,0.659017,3000.0,1376.6119475364685,2.00386
