MinReturn,MeanKL,TotalExecTime,Entropy,MaxReturn,StdReturn,MaxKL,LossAfter,ExplainedVariance,Time,ItrTime,NumTrajs,Perplexity,LossBefore,AverageReturn,AveragePolicyStd
0.0,0.199912,4.802865982055664,2.40341,200.0,31.224989992,36.9555,-0.0232319,0.0282146092137,4.874867677688599,4.87487268447876,40,11.0609,0.0214271,5.0,0.805297
0.0,0.0518302,4.445341110229492,2.42484,1800.0,338.664657146,2.70784,-0.0080346,0.138722738528,9.432847261428833,4.55261492729187,40,11.3004,0.013205,167.5,0.814247
0.0,0.0590884,4.564544916152954,2.43144,2100.0,596.819696391,0.282507,-0.0352462,0.29539900207,14.055708408355713,4.619760751724243,40,11.3753,-0.00800802,592.5,0.816895
0.0,0.088544,4.689651250839233,2.42744,2300.0,599.478940414,5.56452,-0.00826893,0.339771138926,18.80299186706543,4.736967086791992,40,11.3298,0.0266135,1075.0,0.815501
0.0,0.041898,4.647973299026489,2.44074,4100.0,963.71352071,0.677295,-0.0464458,0.393955013666,23.519725561141968,4.703875303268433,40,11.4816,-0.0237757,1902.5,0.821503
400.0,0.0781354,4.652775049209595,2.42886,5900.0,1080.59879234,5.61068,-0.0811667,0.605412567338,28.230963945388794,4.701388597488403,40,11.3459,-0.0431044,3492.5,0.816844
2000.0,0.0760511,6.082732915878296,2.4073,6600.0,1060.51579432,6.25162,-0.0842693,0.729646082254,34.35796523094177,6.122426748275757,40,11.104,-0.0430325,4332.5,0.807979
