0EnvExecTime,MeanKL,dLoss,ComputeUpdatedDistTime,1Perplexity,0ProcessExecTime,1AveragePolicyStd,ItrTime,1EnvExecTime,1AverageReturn,0AveragePolicyStd,0NumTrajs,0AverageReturn,1PolicyExecTime,LossBefore,1MaxReturn,0Perplexity,1ExplainedVariance,0MaxReturn,0PolicyExecTime,0ExplainedVariance,0StdReturn,1MinReturn,1NumTrajs,0MinReturn,1StdReturn,LossAfter,1Entropy,0Entropy,MeanKLBefore,1ProcessExecTime,Time
12.484859704971313,0.00846720393747,0.00805979662109,0.3574180603027344,14.773,0.3420841693878174,0.930851,44.4717652797699,13.245914697647095,891.0,0.933445,400,188.75,12.407261371612549,-3.05008152068e-09,4900.0,14.8601,0.172030979478,1700.0,2.258748769760132,0.0415427935057,335.034979517,0.0,400,0.0,781.069139065,-0.00805979967117,2.6928,2.69868,4.65662175486e-10,0.364687442779541,822.7970149517059
12.951537370681763,0.00853018183261,0.00745798698044,0.3831002712249756,14.59,0.36447691917419434,0.925143,44.63261532783508,12.954266786575317,852.75,0.924717,400,251.0,11.623894453048706,-1.35623845487e-09,5100.0,14.5822,0.188526704563,2700.0,2.607170343399048,0.054965566596,452.436735909,0.0,400,0.0,846.104271056,-0.00745798833668,2.68033,2.6798,1.21071941361e-09,0.35181307792663574,867.4393539428711
13.363943338394165,0.00998725183308,0.0089207623736,0.3875429630279541,14.4897,0.37244749069213867,0.921984,48.26230430603027,13.91031813621521,871.0,0.920758,400,153.5,13.267919063568115,-1.24564392134e-09,5000.0,14.4545,0.138996021971,2300.0,3.312440872192383,0.0568159651386,337.916779696,0.0,400,0.0,924.044912328,-0.00892076361924,2.67344,2.671,7.91624010787e-09,0.3603513240814209,916.8026132583618
13.042559385299683,0.00951737258583,0.00966431341367,0.35173845291137695,14.4339,0.35442471504211426,0.920213,47.539551734924316,14.004010200500488,1235.75,0.923899,400,394.0,13.366080284118652,1.40862554954e-09,6500.0,14.5579,0.195832147462,3100.0,2.6498780250549316,0.0821369819473,558.358307899,0.0,400,0.0,1096.21938384,-0.00966431200504,2.66958,2.67813,-1.76951320263e-09,0.3372201919555664,964.3518517017365
13.066596031188965,0.00885348860174,0.00913241166272,0.4032714366912842,14.3592,0.35229015350341797,0.91854,50.15413475036621,14.097063779830933,1387.25,0.917463,400,291.0,14.100831985473633,2.19442886085e-09,5400.0,14.3371,0.246278919385,2600.0,3.056837320327759,0.0559451374626,478.454804553,0.0,400,0.0,1197.66958611,-0.00913240946829,2.66439,2.66285,9.31323837494e-11,0.35660767555236816,1015.4624218940735
13.814422369003296,0.00921733025461,0.00761392633285,0.40922069549560547,14.2935,0.3707141876220703,0.916419,51.912416219711304,14.819739580154419,921.5,0.915894,400,263.5,14.839256286621094,1.53522727864e-09,3900.0,14.2777,0.202767680108,3300.0,3.5772876739501953,0.0446721521964,536.253438217,0.0,400,0.0,849.52207152,-0.00761392479762,2.65981,2.6587,-7.26431670373e-09,0.3615989685058594,1067.3808436393738
13.702989339828491,0.00929419137537,0.00849876147695,0.38825559616088867,13.5498,0.39154767990112305,0.893144,50.69063210487366,14.232179880142212,971.75,0.896701,400,255.0,14.903392553329468,-3.25962978831e-10,4500.0,13.6576,0.159368045695,4800.0,3.2390658855438232,0.0294182833308,565.574928723,0.0,400,0.0,998.186824948,-0.00849876180291,2.60637,2.6143,-3.16649617638e-09,0.35451555252075195,1119.2224197387695
13.857106685638428,0.00910831522197,0.00927260713652,0.4000380039215088,13.8216,0.36167025566101074,0.902407,55.515323638916016,15.866173505783081,1327.75,0.898254,400,329.5,15.948981523513794,-1.76951298059e-09,5000.0,13.6985,0.23645797204,2700.0,4.159183025360107,0.0516200250504,562.254168504,0.0,400,0.0,1071.65989824,-0.00927260890603,2.62623,2.61729,-5.49480283496e-09,0.39592671394348145,1174.7478313446045
13.887879133224487,0.00839936640114,0.00812396043912,0.48426032066345215,13.5384,0.36724400520324707,0.892478,53.37995982170105,14.862238645553589,1199.75,0.892822,400,499.25,15.66709852218628,-8.38190350461e-10,4000.0,13.5504,0.206709933897,3600.0,3.7931690216064453,0.0678261466645,729.776977919,0.0,400,0.0,922.022200112,-0.00812396127731,2.60553,2.60641,-1.67638103399e-09,0.37407517433166504,1229.3379864692688
13.951371669769287,0.00932069867849,0.0099768519518,0.3896663188934326,13.5652,0.38406872749328613,0.893625,53.037575244903564,14.751161336898804,1305.5,0.889698,400,293.75,15.118616580963135,-2.59606158792e-09,6900.0,13.4521,0.202045029035,3300.0,4.147868394851685,0.0502073594801,526.4370214,0.0,400,0.0,1386.08071554,-0.00997685454786,2.60751,2.59913,-3.53902640526e-09,0.423414945602417,1282.3842561244965
13.915556192398071,0.0093379477039,0.0101087234492,0.4011106491088867,13.3264,0.376941442489624,0.885458,52.207355976104736,14.657837152481079,1120.0,0.883878,400,249.0,14.881558656692505,1.0753866686e-09,4000.0,13.2756,0.189649525264,3300.0,3.7469310760498047,0.0332616417792,517.348045323,0.0,400,0.0,954.489392293,-0.0101087223738,2.58975,2.58592,-9.31322102771e-11,0.35859107971191406,1335.7095158100128
13.818643569946289,0.00950809568167,0.00925650686258,0.38608694076538086,13.1161,0.37368059158325195,0.878937,52.52810502052307,14.49633526802063,1609.5,0.876929,400,271.5,14.97657561302185,-4.0745365415e-10,6900.0,13.0638,0.220566856845,3300.0,4.03273868560791,0.0491628927787,506.791623846,0.0,400,0.0,1541.6419007,-0.00925650727004,2.57384,2.56985,-2.42143838314e-09,0.34023022651672363,1388.245052576065
13.71369981765747,0.00930531695485,0.0100133739645,0.42151689529418945,12.6752,0.3989548683166504,0.863663,53.56728482246399,14.786516666412354,1496.5,0.866416,400,501.25,15.35785698890686,-1.46683298841e-09,5800.0,12.7601,0.240819021381,3700.0,4.5455522537231445,0.0597048263055,771.896001739,0.0,400,0.0,1296.60624324,-0.0100133754313,2.53965,2.54633,6.51925535777e-09,0.39572644233703613,1443.502422094345
13.800007104873657,0.00797206256539,0.00807230505161,0.46666789054870605,12.4117,0.38417959213256836,0.854196,56.21783375740051,15.613506555557251,1462.25,0.857092,400,356.5,17.213859796524048,1.44354994625e-09,6600.0,12.4933,0.217514839987,3800.0,3.8261938095092773,0.0448984168635,655.406553217,0.0,400,0.0,1507.38181543,-0.00807230360806,2.51864,2.52519,2.60770338656e-09,0.40262484550476074,1499.7308497428894
14.317979574203491,0.00649117399007,0.0090962188784,0.4479506015777588,12.3285,0.3901529312133789,0.851762,57.948227405548096,15.589724063873291,1327.0,0.853686,400,173.75,17.01463770866394,-2.18860818357e-09,6700.0,12.3771,0.21082454948,3000.0,4.242836236953735,0.0306201244779,425.659414908,0.0,400,0.0,1678.13020949,-0.00909622106701,2.51191,2.51585,3.72529174175e-10,0.3800961971282959,1558.9287841320038
14.208246946334839,0.00961586833,0.0107791510236,0.3972775936126709,12.2932,0.38496994972229004,0.850738,56.655129194259644,15.986809492111206,1874.75,0.850553,400,321.25,17.0247700214386,2.61934474111e-10,7100.0,12.2935,0.247641842124,4100.0,4.367433547973633,0.0464933794436,618.646455983,0.0,400,0.0,1653.4017774,-0.0107791507617,2.50904,2.50907,-7.45058126306e-10,0.4023761749267578,1615.5908591747284
14.618921041488647,0.00885870866477,0.0101470116875,0.4762234687805176,12.1049,0.406085729598999,0.844341,58.61186981201172,15.792375564575195,1197.25,0.842215,400,349.0,17.173110961914062,-1.08266251519e-09,7400.0,12.0421,0.163373127622,3700.0,4.801604747772217,0.0353208868296,771.750607386,0.0,400,0.0,1619.41885795,-0.0101470127702,2.49361,2.48841,-2.23517448994e-09,0.38992857933044434,1675.360934972763
14.620858907699585,0.00694602029398,0.00725884062704,0.39831995964050293,12.0528,0.3669419288635254,0.843223,57.5481903553009,15.736812114715576,2089.5,0.842341,400,421.5,16.837507009506226,-3.00351543636e-09,7700.0,12.0285,0.356983221756,3200.0,5.059808969497681,0.066599964493,673.971624032,0.0,400,0.0,2172.18547781,-0.00725884363055,2.4893,2.48728,-7.63684404603e-09,0.4062840938568115,1732.9352974891663
14.80612063407898,0.00714963022619,0.00721913753077,0.4818289279937744,11.8376,0.39359140396118164,0.835942,60.143779277801514,16.214792251586914,1524.25,0.833493,400,110.75,17.641724824905396,-9.31321131326e-11,7700.0,11.7697,0.208532616578,1800.0,4.963008642196655,0.0264136692956,283.036106354,0.0,400,0.0,2196.48285618,-0.00721913762391,2.47128,2.46553,-2.42143816109e-09,0.38664674758911133,1794.2767791748047
14.669120788574219,0.00922776386142,0.00857590795495,0.4485156536102295,11.8101,0.3930656909942627,0.835009,58.96849250793457,16.140739917755127,1645.5,0.834099,400,420.25,17.562850952148438,4.6566139833e-11,5900.0,11.7856,0.186538316992,5100.0,4.557895660400391,0.0433351073296,832.024601499,0.0,400,0.0,1426.29931992,-0.00857590790838,2.46895,2.46688,4.09781941713e-09,0.41796875,1853.2583475112915
