0MaxReturn,0Perplexity,0MinReturn,1MaxReturn,0AveragePolicyStd,0Entropy,1PolicyExecTime,1ProcessExecTime,0PolicyExecTime,MeanKLBefore,1Entropy,1EnvExecTime,0ExplainedVariance,0ProcessExecTime,Time,1MinReturn,MeanKL,0NumTrajs,0EnvExecTime,0AverageReturn,1NumTrajs,LossBefore,ItrTime,1AverageReturn,1StdReturn,0StdReturn,1ExplainedVariance,LossAfter,ComputeUpdatedDistTime,1AveragePolicyStd,dLoss,1Perplexity
0.0,17.0795,0.0,1300.0,1.0,2.83788,4.2395148277282715,0.11582231521606445,2.333284378051758,0.0,2.83788,2.8769381046295166,1,0.08420395851135254,13.96586799621582,0.0,0.00799367576838,120,2.079586982727051,0.0,120,-4.65661287308e-09,13.965869188308716,25.8333333333,159.945737326,0.0,0.0802363814606,-0.0067432122305,0.7053999900817871,1.0,0.00674320757389,17.0795
1100.0,16.9274,0.0,1700.0,0.995546,2.82894,4.2319254875183105,0.1156313419342041,2.01595401763916,1.39698397295e-09,2.82036,2.9123125076293945,0.167598107957,0.08093476295471191,26.477534294128418,0.0,0.00670199887827,120,1.9531340599060059,14.1666666667,120,2.32830643654e-09,12.128690242767334,55.0,268.592007824,106.689450692,0.198218159974,-0.00317907938734,0.10041356086730957,0.991317,0.00317908171564,16.7829
300.0,16.9465,0.0,800.0,0.996147,2.83006,4.292553663253784,0.11520767211914062,1.9755358695983887,-1.38777878078e-17,2.83727,2.920577049255371,0.0290894798184,0.07990384101867676,38.86378836631775,0.0,0.00543563812971,120,1.9476664066314697,4.16666666667,120,2.06637196243e-09,12.106132984161377,18.3333333333,103.266107164,32.6492300403,0.177235939575,-0.00071497465251,0.08759689331054688,0.999781,0.000714976718882,17.0691
0.0,16.9531,0.0,1700.0,0.996366,2.83045,4.179412364959717,0.11531639099121094,1.9566164016723633,0.0,2.83045,2.8649446964263916,1,0.07802605628967285,50.91749024391174,0.0,0.00651360861957,120,1.861182451248169,0.0,120,4.54019755125e-09,11.754152536392212,34.1666666667,209.163346587,0.0,0.234453345736,-0.00256594084203,0.08384966850280762,0.996366,0.00256594538223,16.9531
1100.0,16.676,0.0,2300.0,0.988319,2.81397,4.2248828411102295,0.11397075653076172,2.0604114532470703,-3.49245993236e-10,2.80993,2.8969457149505615,0.168397827343,0.08654356002807617,63.511123180389404,0.0,0.00762269739062,120,2.0755860805511475,30.0,120,2.44472175837e-09,12.320432424545288,145.833333333,438.158234989,157.902923764,0.310970513839,-0.00799102615565,0.09005069732666016,0.986588,0.00799102860037,16.6088
1100.0,16.6008,0.0,400.0,0.986288,2.80945,4.265143394470215,0.11636877059936523,1.6212749481201172,-4.19095158577e-09,2.81553,2.9129838943481445,0.0717807517047,0.062302589416503906,75.27969598770142,0.0,0.00782883632928,120,1.5104215145111084,11.6666666667,120,-4.65661287308e-10,11.414269924163818,6.66666666667,51.2076383191,103.427376561,0.0617196369541,-0.00521522341296,0.2234816551208496,0.989146,0.0052152229473,16.7021
1700.0,16.6281,0.0,2400.0,0.987482,2.81109,4.291934251785278,0.11769556999206543,1.9104433059692383,-9.31322574615e-10,2.79986,2.9328267574310303,0.205322795678,0.07480478286743164,87.49749708175659,0.0,0.0088693248108,120,1.803666591644287,58.3333333333,120,1.62981450558e-09,11.881938457489014,153.333333333,507.597828557,244.125423138,0.306945500684,-0.0108261145651,0.0806281566619873,0.98215,0.0108261161949,16.4423
1500.0,16.382,0.0,1900.0,0.980216,2.79618,4.279205560684204,0.11422586441040039,2.0278992652893066,0.0,2.79102,2.896472930908203,0.0711911437602,0.08331418037414551,99.99093699455261,0.0,0.00710800476372,120,1.9766695499420166,30.8333333333,120,9.31322574615e-10,12.211367130279541,85.0,340.746729013,198.660444533,0.356780954238,-0.00237092841417,0.09282612800598145,0.977749,0.00237092934549,16.2977
1500.0,16.1718,0.0,2400.0,0.97394,2.78327,4.1235270500183105,0.11267352104187012,1.8113784790039062,-9.31322574615e-10,2.78624,2.8048341274261475,0.219707603794,0.06887054443359375,111.62588691711426,0.0,0.00939453113824,120,1.6610679626464844,27.5,120,1.86264514923e-09,11.294678449630737,150.0,513.971464837,163.789753444,0.461935349779,-0.00751916179433,0.08131647109985352,0.975348,0.00751916365698,16.22
1400.0,16.422,0.0,2100.0,0.980861,2.79862,3.993342399597168,0.1104128360748291,1.9041953086853027,4.65661287308e-10,2.81399,2.7033820152282715,0.0738963875865,0.08088874816894531,123.31274199485779,0.0,0.00799276866019,120,1.9152708053588867,21.6666666667,120,-4.19095158577e-09,11.346827268600464,124.166666667,425.244210882,166.924800101,0.307262998633,-0.00850421842188,0.08217287063598633,0.98844,0.00850421423092,16.6764
1000.0,15.4535,0.0,2300.0,0.951358,2.73783,3.5913426876068115,0.0959780216217041,1.4468910694122314,-9.31322574615e-10,2.73112,2.380448341369629,0.136987314164,0.055440664291381836,133.4572148323059,0.0,0.00756225455552,120,1.3603260517120361,45.0,120,-3.0267983675e-09,9.715136766433716,254.166666667,565.227953032,179.28097129,0.286535802905,-0.0131869856268,0.09270572662353516,0.948169,0.0131869826,15.3501
1800.0,15.2175,0.0,2200.0,0.944133,2.72245,3.640714406967163,0.09884262084960938,1.505584478378296,0.0,2.71898,2.4319772720336914,0.126245439771,0.05843544006347656,143.65604281425476,0.0,0.00633483240381,120,1.4266390800476074,40.0,120,2.32830643654e-10,9.940001249313354,159.166666667,469.839659411,219.241115365,0.338315702197,-0.0102341286838,0.08720755577087402,0.942494,0.0102341289166,15.1648
