MinReturn,MaxKL,Entropy,ItrTime,StdReturn,TotalExecTime,AveragePolicyStd,MeanKL,LossBefore,ExplainedVariance,NumTrajs,Time,AverageReturn,Perplexity,LossAfter,MaxReturn
100.0,4.21059,2.74043,5.84104585647583,53.6190264738,5.771299362182617,0.95435,0.402922,0.00244483,0.898129096811,20,5.841041326522827,225.0,15.4937,-0.0861267,300.0
0.0,0.11695,2.74288,5.4657769203186035,124.398553046,5.394863605499268,0.954648,0.0148923,0.00557742,0.788399418166,20,11.314848899841309,155.0,15.5316,-0.00578137,300.0
0.0,0.236728,2.74567,5.555039644241333,86.458082329,5.521399021148682,0.956094,0.0347792,-0.00166054,0.852964138404,20,16.874762773513794,205.0,15.575,-0.0203827,300.0
200.0,0.293951,2.74484,6.12187385559082,40.0,6.063087224960327,0.955935,0.0236277,0.00465772,0.906901212556,20,23.001850605010986,220.0,15.5621,-0.00945104,300.0
0.0,0.159946,2.74717,5.736407041549683,91.6515138991,5.6945366859436035,0.957075,0.0212498,-0.0210273,0.851372811768,20,28.747348070144653,240.0,15.5984,-0.0327836,300.0
0.0,0.0981274,2.73665,5.827175617218018,123.592070943,5.7926506996154785,0.951748,0.00819118,0.035328,0.674572507784,20,34.57834482192993,165.0,15.4352,0.0261,300.0
0.0,0.363568,2.75432,5.830477476119995,99.4987437107,5.797290563583374,0.960184,0.0323684,-0.00603817,0.800059871194,20,40.4144127368927,210.0,15.7103,-0.0197603,300.0
