Entropy,StdReturn,Time,ItrTime,ExplainedVariance,AverageReturn,AveragePolicyStd,MeanKL,MaxKL,Perplexity,MaxReturn,MinReturn,TotalExecTime,LossAfter,LossBefore,NumTrajs
2.4367,0.0,4.890220880508423,4.890230178833008,1,0.0,0.82843,0.0,0.0,11.4353,0.0,0.0,4.796617031097412,-0.0,-0.0,40
2.4367,78.06247498,8.013548851013184,3.1175763607025146,0.549685334549,12.5,0.82843,0.00915349,0.145613,11.4353,500.0,0.0,3.06455397605896,0.0117734,0.0234311,40
2.44842,348.711915483,11.512157440185547,3.4898481369018555,0.590160682819,80.0,0.832797,0.0266604,0.292562,11.57,1600.0,0.0,3.4413859844207764,-0.0121699,0.00354168,40
2.45019,741.109809677,16.5101420879364,4.990787029266357,0.464238783545,377.5,0.833896,0.178694,0.993412,11.5905,2700.0,0.0,4.966722011566162,-0.0576728,0.0146174,40
2.4575,694.977517622,20.486010789871216,3.972781181335449,0.894027499412,5727.5,0.837256,0.621314,0.940438,11.6756,7000.0,3700.0,3.9302384853363037,-0.120473,-0.0343372,40
2.44033,734.166193719,24.155898809432983,3.6616475582122803,0.902432641654,6350.0,0.83025,2.08166,2.89947,11.4768,7500.0,4100.0,3.618487596511841,-0.206093,-0.00242769,40
2.43912,55.6776436283,28.530843257904053,4.366444826126099,0.743333446635,120.0,0.829557,0.0120606,0.119063,11.4629,300.0,0.0,4.311176300048828,0.0098637,0.0213534,40
