LossBefore,1MaxReturn,MeanKLBefore,1StdReturn,1AveragePolicyStd,1Perplexity,1ExplainedVariance,0AverageReturn,Time,1NumTrajs,1Entropy,0Entropy,0ExplainedVariance,0MaxReturn,1MinReturn,ItrTime,LossAfter,1ProcessExecTime,1PolicyExecTime,0ProcessExecTime,1AverageReturn,0Perplexity,0MinReturn,1EnvExecTime,dLoss,0EnvExecTime,ComputeUpdatedDistTime,MeanKL,0StdReturn,0PolicyExecTime,0NumTrajs,0AveragePolicyStd
0.0,0.0,0.0,0.0,1.0,17.0795,1,0.0,12.662085771560669,120,2.83788,2.83788,1,0.0,0.0,12.662088871002197,0.0,0.08843564987182617,3.59010910987854,0.09360337257385254,0.0,17.0795,0.0,2.032076120376587,0.0,2.1214139461517334,0.728416919708252,0.0,0.0,2.4882540702819824,120,1.0
0.0,0.0,0.0,0.0,1.0,17.0795,1,0.0,23.545633554458618,120,2.83788,2.83788,1,0.0,0.0,10.487198829650879,0.0,0.08600783348083496,3.3545005321502686,0.09366297721862793,0.0,17.0795,0.0,1.9485697746276855,0.0,2.0480101108551025,0.10399723052978516,0.0,0.0,2.158461093902588,120,1.0
0.0,0.0,0.0,0.0,1.0,17.0795,1,0.0,34.21553111076355,120,2.83788,2.83788,1,0.0,0.0,10.395033597946167,0.0,0.08452010154724121,3.553039312362671,0.0833122730255127,0.0,17.0795,0.0,1.9475417137145996,0.0,1.8751473426818848,0.09688091278076172,0.0,0.0,1.9826221466064453,120,1.0
-1.86264514923e-09,100.0,0.0,9.09059342886,1.0,17.0795,0.0865414879803,0.0,44.719732999801636,120,2.83788,2.83788,1,0.0,0.0,10.235169649124146,-0.00701407343149,0.08785581588745117,3.4785540103912354,0.08651852607727051,0.833333333333,17.0795,0.0,2.028425455093384,0.00701407156885,1.8757951259613037,0.08592581748962402,0.00576028274372,0.0,2.045856237411499,120,1.0
0.0,200.0,9.31322574615e-10,20.2587429686,0.996093,16.9439,0.146099000742,5.83333333333,54.7007942199707,120,2.82991,2.83969,0.0814294247145,700.0,0.0,9.63647723197937,-0.00433820299804,0.08959722518920898,3.48701548576355,0.07274937629699707,2.5,17.1105,0.0,2.029989242553711,0.00433820299804,1.5374274253845215,0.09665846824645996,0.00605500489473,63.634154002,1.6685771942138672,120,1.00095
4.65661287308e-10,1000.0,-2.79396794589e-09,94.6888178309,0.998366,17.0182,0.0886833950006,5.0,65.87434959411621,120,2.83429,2.83179,0.0614470340755,600.0,0.0,10.897706031799316,-0.00305771827698,0.0865793228149414,3.659572124481201,0.0919954776763916,10.8333333333,16.9758,0.0,1.9776265621185303,0.00305771874264,2.0158772468566895,0.27774810791015625,0.00613374449313,54.5435605732,2.135847330093384,120,0.996975
0.0,2300.0,2.61934474111e-10,323.006707877,1.00318,17.1876,0.292500592941,11.6666666667,76.62702512741089,120,2.84419,2.84289,0.0951272355603,900.0,0.0,10.414374351501465,-0.00716420542449,0.09088420867919922,3.5769052505493164,0.08309412002563477,100.0,17.1653,0.0,2.0616016387939453,0.00716420542449,1.8661861419677734,0.11406064033508301,0.00749324960634,93.2588988903,2.0223093032836914,120,1.00251
-1.86264514923e-09,300.0,2.70520104095e-08,27.2717802866,0.999362,17.0558,0.106769612394,11.6666666667,87.30622291564941,120,2.83649,2.84006,0.0872692185837,800.0,0.0,10.404945611953735,-0.00625773239881,0.08629846572875977,3.519577741622925,0.09209108352661133,2.5,17.1167,0.0,2.0089588165283203,0.00625773053616,1.9448888301849365,0.08327364921569824,0.00610849866644,90.5385123703,2.0679314136505127,120,1.00112
3.72529029846e-09,1300.0,-1.86264514923e-09,241.107110822,1.00066,17.1004,0.188094680979,10.0,98.09809350967407,120,2.8391,2.83917,0.0356585248897,800.0,0.0,10.512337446212769,-0.00779411569238,0.08122563362121582,3.2835519313812256,0.09660482406616211,69.1666666667,17.1016,0.0,1.8390488624572754,0.00779411941767,2.0840137004852295,0.11182880401611328,0.00690735178068,77.888809637,2.224735736846924,120,1.00066
-4.65661287308e-09,2300.0,2.20024958253e-08,686.908836746,1.0148,17.5816,0.48376985685,26.6666666667,109.31205153465271,120,2.86685,2.84883,0.120091735909,800.0,0.0,10.926344394683838,-0.0115340435877,0.09784889221191406,3.795027494430542,0.08918952941894531,437.5,17.2675,0.0,2.2041776180267334,0.0115340389311,1.8994855880737305,0.0986943244934082,0.00842222571373,124.988888395,2.171396493911743,120,1.00549
2.32830643654e-09,1900.0,-1.6298146166e-09,395.157317477,0.988554,16.6857,0.205803970123,25.8333333333,118.68386149406433,120,2.81455,2.82814,0.115274402974,1600.0,0.0,9.029149770736694,-0.017404248938,0.07524704933166504,3.0451879501342773,0.2622222900390625,154.166666667,16.914,0.0,1.6876492500305176,0.0174042512663,1.527768611907959,0.09279990196228027,0.00990120880306,170.046970635,1.7236967086791992,120,0.995201
1.62981450558e-09,1400.0,4.65661287308e-10,293.087017795,0.979649,16.3867,0.230974194714,15.0,129.2812750339508,120,2.79647,2.80688,0.0754276806938,1000.0,0.0,10.276376008987427,-0.0111847836524,0.08649301528930664,3.509366512298584,0.08696293830871582,90.0,16.5583,0.0,2.008232593536377,0.0111847852822,1.872236967086792,0.1051335334777832,0.00816671736538,110.792599031,1.9937448501586914,120,0.984635
