1NumTrajs,0NumTrajs,0AverageReturn,LossAfter,ItrTime,1Perplexity,0Entropy,1PolicyExecTime,0ProcessExecTime,1StdReturn,MeanKLBefore,1AverageReturn,0MaxReturn,0StdReturn,1ExplainedVariance,MeanKL,0EnvExecTime,LossBefore,Time,1ProcessExecTime,dLoss,0PolicyExecTime,0AveragePolicyStd,1MinReturn,0ExplainedVariance,0Perplexity,ComputeUpdatedDistTime,1MaxReturn,1Entropy,0MinReturn,1AveragePolicyStd,1EnvExecTime
80,80,178.75,-0.00868002418429,5.52260947227478,15.3386,2.74372,1.822676658630371,0.04538154602050781,777.511052976,-3.72529074255e-09,381.25,1900.0,468.959952981,0.267360195628,0.00910799391568,0.9600677490234375,-3.72529029846e-09,129.91985630989075,0.0428619384765625,0.008680020459,1.046553373336792,0.954087,0.0,0.122730072261,15.5447,0.11465620994567871,2500.0,2.73037,0.0,0.9479,0.9672033786773682
80,80,68.75,-0.00878461729735,6.540831804275513,16.4268,2.8079,2.726621150970459,0.04626154899597168,828.250226381,-4.65661342819e-10,451.25,1600.0,268.138839969,0.541669686794,0.00785626284778,0.9649090766906738,1.86264514923e-09,136.74313759803772,0.045128583908081055,0.00878461916,1.084655523300171,0.985142,0.0,0.255264637927,16.575,0.10376095771789551,2700.0,2.79891,0.0,0.980828,1.014960527420044
80,80,107.5,-0.00599599257112,5.62591552734375,16.2573,2.79671,1.9274263381958008,0.04501795768737793,641.500925564,9.31322685638e-10,181.25,1900.0,352.765857191,0.367324678201,0.00638853386045,0.9604504108428955,0.0,142.60725593566895,0.042627811431884766,0.00599599257112,1.0527100563049316,0.979656,0.0,0.369747666141,16.3906,0.08681631088256836,2700.0,2.78854,0.0,0.975686,0.9710392951965332
80,80,45.0,-0.00524342898279,5.5051891803741455,16.179,2.80345,1.8794794082641602,0.0440371036529541,759.436468706,-9.31322685638e-10,252.5,1700.0,259.277843249,0.379438500772,0.0083770994097,0.9123184680938721,0.0,148.3530237674713,0.04141831398010254,0.00524342898279,1.0474607944488525,0.982961,0.0,0.18008710689,16.5015,0.10778307914733887,2800.0,2.78372,0.0,0.973444,0.953728199005127
80,80,122.5,-0.00891077611595,5.9201953411102295,16.3933,2.80052,1.9073855876922607,0.04525184631347656,651.151624048,6.98491986473e-10,248.75,1600.0,369.11211034,0.288416793,0.0075371619314,0.9530940055847168,-6.51925802231e-09,154.53778767585754,0.039723873138427734,0.0089107695967,1.357393741607666,0.98153,0.0,0.270047837503,16.4533,0.127000093460083,2400.0,2.79687,0.0,0.979816,0.920372486114502
80,80,0.0,0.0,6.506293535232544,16.4883,2.80265,1.9204819202423096,0.0475156307220459,0.0,0.0,0.0,0.0,0.0,1,0.0,0.9792788028717041,0.0,161.41343331336975,0.043390750885009766,0.0,1.791590690612793,0.982565,0.0,1,16.4883,0.0995645523071289,0.0,2.80265,0.0,0.982565,0.9927794933319092
80,80,123.75,-0.00467542372644,5.781802177429199,16.624,2.80265,1.9387011528015137,0.04446148872375488,841.516488252,-6.98491986473e-10,340.0,1600.0,367.506377496,0.353275324336,0.00660169636831,0.9478926658630371,-2.79396772385e-09,167.66314220428467,0.04139399528503418,0.00467542093247,1.2582154273986816,0.982565,0.0,0.125878696009,16.4883,0.08391118049621582,2700.0,2.81085,0.0,0.986625,0.9575955867767334
80,80,277.5,-0.01140013244,5.6712775230407715,16.2452,2.79423,1.91347336769104,0.044088125228881836,883.345027438,0.0,491.25,1800.0,537.116142003,0.288342333655,0.00901921652257,0.9573588371276855,6.98491930962e-09,173.60659766197205,0.04460310935974121,0.0114001394249,1.071885108947754,0.978476,0.0,0.116349598991,16.35,0.09593081474304199,2700.0,2.7878,0.0,0.975783,0.9826469421386719
80,80,156.25,-0.012574929744,5.879915475845337,15.9149,2.77162,2.159785747528076,0.04387784004211426,801.467404203,4.65661287308e-09,420.0,1800.0,425.688780096,0.344654538579,0.00736289611086,0.9367499351501465,3.0267983675e-09,179.76221323013306,0.04633688926696777,0.0125749327708,1.0790073871612549,0.967455,0.0,0.346136888057,15.9846,0.10059475898742676,2600.0,2.76725,0.0,0.965441,0.9905288219451904
80,80,310.0,-0.00895986426622,5.527659177780151,15.9666,2.77864,1.8681998252868652,0.04506063461303711,986.976918423,1.16415277418e-09,938.75,2200.0,557.808210768,0.379332816644,0.00662313308567,0.9435532093048096,3.95812094212e-09,185.52577948570251,0.04132556915283203,0.00895986822434,1.0502245426177979,0.970861,0.0,0.21023121773,16.0972,0.11084651947021484,2700.0,2.7705,0.0,0.967437,0.9420897960662842
80,80,116.25,-0.0110587356612,6.6471476554870605,15.7697,2.75273,1.9612586498260498,0.045049190521240234,748.627911582,1.39698397295e-09,357.5,1900.0,400.138647846,0.523416098358,0.00896356254816,0.9688496589660645,-9.31322574615e-10,192.46214723587036,0.04117560386657715,0.0110587347299,1.7676830291748047,0.958515,0.0,0.301448110353,15.6854,0.10514950752258301,2500.0,2.75809,0.0,0.961467,0.9466800689697266
80,80,36.25,-0.00549934152514,6.362609148025513,15.667,2.75314,1.895176649093628,0.04699349403381348,313.146830576,9.31322685638e-10,76.25,1400.0,193.160393197,0.183629065563,0.005884594284,0.9788634777069092,-4.65661287308e-10,199.0802891254425,0.04433035850524902,0.00549934105948,1.7102460861206055,0.958518,0.0,0.0769039540234,15.6919,0.0987389087677002,1800.0,2.75156,0.0,0.957773,0.9688761234283447
80,80,305.0,-0.0110501684248,5.378716707229614,15.5382,2.75551,1.8210899829864502,0.04368281364440918,1017.56372651,4.65661287308e-09,713.75,1900.0,592.853270211,0.408460625753,0.00659537501633,0.9230623245239258,6.11180439591e-09,204.68018174171448,0.03964495658874512,0.0110501745366,0.9939124584197998,0.959887,0.0,0.310609126418,15.729,0.09340763092041016,2700.0,2.7433,0.0,0.954682,0.9199142456054688
80,80,196.25,-0.00996438041329,5.94211745262146,15.3019,2.73531,1.9272704124450684,0.04609799385070801,1144.21370382,-6.41847686111e-17,955.0,2500.0,495.591502651,0.480236181295,0.00678090611473,1.0068066120147705,-3.49245965481e-09,211.17803764343262,0.04131507873535156,0.00996437692083,1.2857515811920166,0.950442,0.0,0.168318561688,15.4145,0.08305597305297852,2800.0,2.72798,0.0,0.947226,0.954932451248169
80,80,168.75,-0.00955187156796,5.653316974639893,15.2182,2.72483,1.936840534210205,0.04568934440612793,854.543006525,0.0,372.5,1900.0,467.331186098,0.412493847603,0.0071023600176,0.9575951099395752,-8.26548784971e-09,217.11020255088806,0.042879343032836914,0.00955186330248,1.124100923538208,0.946082,0.0,0.131697835464,15.2538,0.07982158660888672,2800.0,2.72249,0.0,0.945194,0.9531536102294922
80,80,61.25,-0.00908377952874,5.729519367218018,15.4171,2.73098,2.048496961593628,0.04456615447998047,167.406690428,-1.49011629702e-08,35.0,1700.0,289.1771732,0.230235915684,0.00869380868971,0.9416670799255371,2.32830643654e-09,223.095210313797,0.04272341728210449,0.00908378185704,1.046973705291748,0.9488,0.0,0.518561125661,15.3479,0.07484316825866699,1000.0,2.73547,0.0,0.951031,0.9496257305145264
80,80,97.5,-0.00978684332222,5.701613664627075,16.1581,2.76829,1.8572089672088623,0.04505491256713867,502.118947561,-1.86264537128e-09,161.25,2100.0,335.400879546,0.316483372919,0.00685422867537,0.9589407444000244,-3.49245965481e-09,229.0555124282837,0.03983187675476074,0.00978683982976,1.1051273345947266,0.966225,0.0,0.209910740817,15.9314,0.131134033203125,2400.0,2.78242,0.0,0.973228,0.9481258392333984
80,80,26.25,-0.00590332504362,6.629746198654175,16.247,2.7954,2.025493621826172,0.0464632511138916,604.312626047,-2.32830671409e-10,232.5,1200.0,165.63797119,0.270894546578,0.00713506061584,0.9532673358917236,-5.58793544769e-09,235.95477962493896,0.04125499725341797,0.00590331945568,1.9667353630065918,0.979817,0.0,0.107481097967,16.3691,0.08606123924255371,2400.0,2.78791,0.0,0.976278,0.9414277076721191
80,80,116.25,-0.00881296023726,5.92250657081604,15.98,2.78251,1.9132757186889648,0.048738956451416016,517.149639853,-6.9849187545e-10,232.5,1500.0,374.647751228,0.308007669335,0.00648514647037,0.9388365745544434,2.79396772385e-09,242.2099313735962,0.04228711128234863,0.00881296303123,0.9971413612365723,0.973121,0.0,0.161468145197,16.1596,0.09594941139221191,1900.0,2.77134,0.0,0.967725,0.969813346862793
80,80,148.75,-0.00668695243075,5.8051300048828125,15.0072,2.74194,1.9281055927276611,0.0445704460144043,937.946560311,-2.98023223877e-08,522.5,1700.0,390.190258079,0.239041207416,0.00617636926472,0.937915563583374,9.31322574615e-10,248.26641082763672,0.041100502014160156,0.00668695336208,1.3183143138885498,0.953194,0.0,0.0630894186804,15.5171,0.08507156372070312,2800.0,2.70853,0.0,0.937449,0.9384300708770752
80,80,156.25,-0.00894842296839,5.739156007766724,15.3442,2.76069,1.901686668395996,0.04629397392272949,564.972344456,4.65661331717e-09,217.5,1900.0,434.120878904,0.11243320506,0.00619469955564,0.9247779846191406,3.49245965481e-09,254.3068447113037,0.04076886177062988,0.00894842646085,1.2132360935211182,0.962199,0.0,0.18360461203,15.8107,0.11047720909118652,2300.0,2.73073,0.0,0.947991,0.9416563510894775
80,80,145.0,-0.00530840503052,5.704124450683594,16.5987,2.81163,1.9433274269104004,0.050728797912597656,828.820698342,-1.16415332929e-09,317.5,2300.0,455.494237066,0.303235910702,0.00759198050946,0.9600462913513184,3.57977114618e-09,260.56798553466797,0.04102134704589844,0.00530840861029,1.0840563774108887,0.986965,0.0,0.111501277242,16.637,0.09749054908752441,2700.0,2.80933,0.0,0.985845,0.977665901184082
80,80,91.25,-0.00333194178529,5.804678201675415,16.2822,2.79963,1.8912684917449951,0.045723915100097656,634.029770594,1.9790606931e-09,222.5,1900.0,368.847444752,0.407927961508,0.00612327177078,0.9511051177978516,1.86264514923e-09,266.6080713272095,0.04185676574707031,0.00333194364794,1.2775537967681885,0.981398,0.0,0.207224158987,16.4386,0.0988926887512207,2600.0,2.79007,0.0,0.976902,0.9292726516723633
80,80,101.25,-0.0104995109141,6.485673666000366,16.5245,2.81422,1.9247918128967285,0.049252986907958984,895.460775244,4.9127265811e-08,530.0,1700.0,350.533076185,0.52980984725,0.00826097279787,1.0147037506103516,6.78119249642e-09,273.44060254096985,0.040605783462524414,0.0104995176953,1.8091185092926025,0.98853,0.0,0.215691559029,16.6801,0.09454989433288574,2700.0,2.80484,0.0,0.984584,0.9428584575653076
80,80,131.25,-0.0124200470746,5.844532012939453,16.2252,2.79354,2.1625537872314453,0.04415631294250488,919.774938504,-4.65661287308e-10,433.75,2100.0,425.027572635,0.307609691121,0.00801041442901,0.9472136497497559,-2.32830643654e-10,279.5578725337982,0.04450583457946777,0.0124200468417,1.0514161586761475,0.978263,0.0,0.105374581601,16.3387,0.0916280746459961,2900.0,2.78656,0.0,0.97479,0.9763669967651367
80,80,218.75,-0.0108263194561,5.756190538406372,16.8162,2.82082,1.9611361026763916,0.04655265808105469,885.888501731,-4.65661342819e-10,491.25,2000.0,519.156467262,0.215965548237,0.00960954744369,0.9726030826568604,-7.91624188423e-09,285.5662589073181,0.044507503509521484,0.0108263115399,1.1121397018432617,0.991643,0.0,0.0759733356284,16.7907,0.1052560806274414,2800.0,2.82234,0.0,0.992615,0.9916107654571533
80,80,331.25,-0.00943199545145,5.807549476623535,16.4568,2.78856,2.0699706077575684,0.04661059379577637,866.818896887,-6.98491930962e-10,525.0,2200.0,615.547266666,0.290054845053,0.00996381789446,0.9413735866546631,8.38190317154e-09,291.6284875869751,0.04163622856140137,0.00943200383335,1.0311279296875,0.975664,0.0,0.183167858649,16.2576,0.09027481079101562,2600.0,2.80074,0.0,0.981693,0.9473345279693604
80,80,665.0,-0.0103433355689,6.503934144973755,15.6671,2.77854,2.719048500061035,0.04536032676696777,1121.70628954,1.26892718555e-08,1245.0,2300.0,826.604500351,0.507498232773,0.00648036133498,0.9457683563232422,5.12227416039e-09,298.3568608760834,0.0411379337310791,0.0103433406912,1.099735975265503,0.97138,0.0,0.440664990532,16.0955,0.10730886459350586,2800.0,2.75156,0.0,0.958429,0.9489812850952148
80,80,0.0,-0.00900028273463,5.780585765838623,15.704,2.75391,1.8471105098724365,0.04403519630432129,233.315103455,0.0,26.25,0.0,0.0,0.282072503775,0.0084280911833,0.9329888820648193,9.31322574615e-10,304.37382674217224,0.04199934005737305,0.00900028366596,1.0319616794586182,0.959429,0.0,1,15.704,0.3154611587524414,2100.0,2.75391,0.0,0.959429,0.9547760486602783
80,80,160.0,-0.0027725645341,6.566993951797485,15.6285,2.74703,2.1219191551208496,0.047454833984375,879.314363581,2.75904330493e-08,382.5,2100.0,468.13459603,0.248746784665,0.00829005986452,0.9989662170410156,4.65661287308e-09,311.19197964668274,0.04560065269470215,0.00277256919071,1.7674789428710938,0.956955,0.0,0.390279045593,15.5962,0.09969234466552734,2700.0,2.7491,0.0,0.957888,0.9921989440917969
80,80,83.75,-0.00357646518387,5.757321119308472,14.3743,2.67492,1.9386327266693115,0.04750704765319824,134.629120178,4.65661259552e-10,25.0,2500.0,367.234172566,0.0698395534381,0.00888753030449,0.9827766418457031,3.49245965481e-09,317.2188515663147,0.043680429458618164,0.00357646867633,1.0435914993286133,0.923032,0.0,0.359498894507,14.5112,0.09961485862731934,1000.0,2.66544,0.0,0.919278,0.9999632835388184
80,80,537.5,-0.00952452607453,5.67149543762207,14.2427,2.66855,2.089362382888794,0.044493675231933594,1188.63104031,-9.31322519104e-10,1062.5,1900.0,660.563206665,0.516958416701,0.00708026671782,0.9504067897796631,3.20142135024e-10,323.1156380176544,0.041408538818359375,0.00952452639467,0.9874451160430908,0.921683,0.0,0.267002418236,14.4191,0.10872197151184082,2900.0,2.65624,0.0,0.916712,0.9567995071411133
80,80,57.5,-0.00888882391155,5.270483732223511,14.6265,2.66989,1.8147180080413818,0.045458078384399414,808.949936646,3.2596292332e-09,410.0,1700.0,279.631453882,0.494695968467,0.00840285699815,0.9274947643280029,3.25962901115e-09,328.63803482055664,0.04078269004821777,0.00888882717118,0.9384739398956299,0.92233,0.0,0.16751839264,14.4384,0.09838080406188965,2500.0,2.68284,0.0,0.927835,0.9276077747344971
80,80,121.25,-0.00742432521656,5.245197772979736,14.2315,2.67016,1.8997442722320557,0.04227924346923828,703.641199405,4.65661287308e-10,316.25,2000.0,375.730538418,0.302322907313,0.00632487097755,0.8883287906646729,-4.19095158577e-09,334.1187117099762,0.03757047653198242,0.00742432102561,0.9456005096435547,0.92214,0.0,0.223538796247,14.4423,0.08327031135559082,2400.0,2.65546,0.0,0.915346,0.8817698955535889
