0MinReturn,0Perplexity,0ExplainedVariance,1Perplexity,1AveragePolicyStd,ComputeUpdatedDistTime,1MaxReturn,0StdReturn,1PolicyExecTime,MeanKL,0MaxReturn,1NumTrajs,dLoss,1ExplainedVariance,1EnvExecTime,1AverageReturn,0ProcessExecTime,LossAfter,0AverageReturn,0EnvExecTime,Time,LossBefore,MeanKLBefore,1StdReturn,1MinReturn,0AveragePolicyStd,ItrTime,0Entropy,1ProcessExecTime,0PolicyExecTime,1Entropy,0NumTrajs
-192.317267161,85093.6,0.18689594248,84081.4,0.998522,0.9259023666381836,154.295135268,54.4329288928,29.72105121612549,0.00827288161963,140.893714416,200,0.0133123690903,0.187457186838,87.09181308746338,-2.19762378127,0.7395586967468262,-0.0133123677224,-8.63844744228,87.28378915786743,235.07095861434937,1.36788003147e-09,9.44783806744e-09,50.4822572769,-131.67663296,1.0,235.0709638595581,11.3515,0.6832325458526611,19.381773233413696,11.3395,200
-205.677632478,83531.4,0.173961582537,83364.1,0.997481,0.11586809158325195,220.783259172,47.479159425,34.96239757537842,0.00710037071258,129.702909535,200,0.0115130764898,0.180956350514,88.35259532928467,-3.3076464079,0.7103502750396729,-0.0115130785853,-0.520071094737,86.8594012260437,475.69980335235596,-2.09547579288e-09,-5.72035681046e-08,52.3343037621,-149.793216293,0.997703,240.0300362110138,11.333,0.6891813278198242,20.750330209732056,11.331,200
-176.202816843,83930.1,0.186136680183,85130.1,1.00008,0.10930490493774414,144.406102419,50.4021178665,35.58805966377258,0.00697189569473,161.594394641,200,0.00901520275511,0.185047524613,87.30236005783081,-3.20411233983,0.7210607528686523,-0.00901520624757,-6.10113515408,86.75405240058899,716.5099875926971,-3.49245965481e-09,5.42423306271e-09,50.9465494722,-140.530066401,0.998295,240.31170082092285,11.3377,0.6881918907165527,20.47462296485901,11.3519,200
-160.75464863,83688.3,0.184503545081,84413.3,0.999036,0.10486769676208496,154.002390928,50.8645429669,34.97627115249634,0.00794119760394,138.336560798,200,0.0135950607946,0.194396513672,92.73777866363525,-3.92234383118,0.7295017242431641,-0.0135950576514,-1.87218029156,88.67201256752014,963.9589302539825,3.14321368933e-09,1.19762244566e-08,50.3127968834,-187.135787286,0.997939,246.94915294647217,11.3349,0.7590475082397461,20.124053716659546,11.3435,200
-170.003354271,82685.4,0.18888327358,81752.3,0.995035,0.11564016342163086,123.212419412,45.0273579613,32.322147846221924,0.00789417698979,138.015312986,200,0.0129484392237,0.187083527533,92.01964020729065,-1.8240782759,0.7935411930084229,-0.0129484347999,-8.5996279741,92.74354195594788,1218.1385810375214,4.42378222942e-09,3.81259512849e-09,50.117923804,-178.14570517,0.996434,253.44584226608276,11.3228,0.7134246826171875,25.049250602722168,11.3114,200
-201.167216364,82240.9,0.206100459066,82279.0,0.995868,0.1283552646636963,221.815446242,51.3663630805,34.04022812843323,0.00806633010507,104.037154881,200,0.0136155181099,0.172865929548,92.34027147293091,-2.35435948591,0.767878532409668,-0.013615517877,-13.090824579,92.32612085342407,1476.2316160202026,2.32830643654e-10,-5.12227504856e-09,48.1732442019,-164.711193089,0.995789,257.62482953071594,11.3174,0.7437803745269775,26.850810050964355,11.3179,200
-143.366353935,81348.5,0.186361049883,81037.7,0.993999,0.11808061599731445,177.764516344,45.7539292947,39.123761892318726,0.00812040269375,146.785643669,200,0.0147060561867,0.181491508581,91.41459941864014,0.565359965809,0.7483518123626709,-0.0147060584277,-1.90801401034,91.77369523048401,1731.8657228946686,-2.24099494517e-09,-5.70289131474e-08,53.3362383267,-163.24735002,0.994447,255.17982745170593,11.3065,0.7168493270874023,22.818952322006226,11.3027,200
-173.071827144,83006.6,0.157669493925,84673.4,0.999447,0.13074803352355957,108.827399321,50.7304526088,33.386149883270264,0.00786801520735,182.765477877,200,0.0122587295482,0.185206831267,90.17900729179382,-6.13098063597,0.7617330551147461,-0.0122587289661,-1.96842124986,92.67962741851807,1985.660901069641,5.82076609135e-10,7.45060368956e-09,47.2299392731,-204.166798804,0.996949,253.34694695472717,11.3267,0.69864821434021,26.978199243545532,11.3466,200
-194.65496639,83562.7,0.162694683216,84094.7,0.998649,0.1200718879699707,125.651243564,48.2189873436,26.962782859802246,0.0079259769991,148.373764239,200,0.0138073379167,0.188641185449,86.22725987434387,-9.11403897441,0.6837184429168701,-0.0138073302805,-3.41009739845,86.03483152389526,2213.56334900856,7.63611751609e-09,2.43308395653e-08,50.3875143058,-178.906806829,0.997822,227.39685082435608,11.3334,0.6517627239227295,19.15445899963379,11.3397,200
-162.693019006,83007.8,0.158417380625,83082.9,0.997108,0.12156534194946289,107.191020812,51.2323552948,28.289942264556885,0.00844479072839,145.560346219,200,0.0148930989235,0.169290167671,86.52337050437927,1.58764953991,0.6841042041778564,-0.0148931033909,-2.14818141381,86.21747279167175,2449.601461648941,-4.46743797511e-09,-1.55996460194e-08,46.1785170368,-173.88710926,0.996986,235.60642194747925,11.3267,0.6400089263916016,25.019572257995605,11.3276,200
-148.575591615,83785.3,0.19689389692,84076.2,0.998587,0.11369585990905762,162.490358568,52.920711223,28.333563327789307,0.007778307423,160.068481093,200,0.013545394002,0.182436529383,86.94435596466064,-6.63519324082,0.6651229858398438,-0.0135453920811,-3.25146978498,85.54210758209229,2683.2624311447144,1.92085281014e-09,4.19098711291e-09,51.6938443689,-193.377951073,0.998145,233.1958839893341,11.336,0.6628777980804443,22.939255237579346,11.3395,200
