ExplainedVariance,TotalExecTime,Time,LossBefore,AverageReturn,MinReturn,MeanKL,MaxReturn,NumTrajs,LossAfter,Entropy,MaxKL,ItrTime,StdReturn,AveragePolicyStd,Perplexity
1,4.920314311981201,4.9997992515563965,-0.0,0.0,0.0,0.0,0.0,40,-0.0,2.40341,0.0,4.9998040199279785,0.0,0.805297,11.0609
0.100643425839,4.396317005157471,9.4675612449646,0.0261716,32.5,0.0,0.0308849,1300.0,40,0.00781712,2.40341,2.45737,4.461306810379028,202.962434948,0.805297,11.0609
0.00619771982966,4.631736516952515,14.141373872756958,0.0292484,5.0,0.0,0.0168916,100.0,40,0.0176096,2.4165,0.182158,4.670022487640381,21.7944947177,0.81031,11.2065
0.244638561823,4.666248321533203,18.852216482162476,0.0048415,45.0,0.0,0.0357767,1000.0,40,-0.0144252,2.43112,4.06062,4.704446077346802,177.411949992,0.816252,11.3716
0.0128783349173,4.627328872680664,23.524521589279175,-0.00386935,7.5,0.0,0.13455,200.0,40,-0.0611335,2.43354,75.1257,4.667954921722412,34.5506874027,0.817283,11.3992
0.181729047661,4.591594934463501,28.15516185760498,0.021823,80.0,0.0,0.0287072,1300.0,40,-0.00271031,2.43161,0.513499,4.622358083724976,226.053091109,0.816666,11.3772
0.306158584301,4.65311861038208,32.86406326293945,-0.0179622,230.0,0.0,0.0236975,1900.0,40,-0.0323954,2.44252,1.77124,4.701640605926514,467.011777153,0.821095,11.502
