MaxKL,Perplexity,Time,StdReturn,NumTrajs,AveragePolicyStd,ExplainedVariance,LossAfter,MeanKL,MinReturn,Entropy,MaxReturn,AverageReturn,ItrTime,LossBefore
0.0190224,16.2565,512.2257814407349,636.132061761,200,0.975658,0.663655157867,-0.0618885,0.00646444,0.0,2.78849,2300.0,944.0,11.947800636291504,-0.0472909
0.0189753,15.8766,524.4546287059784,583.047167903,200,0.964171,0.69142999285,-0.0435664,0.00625824,0.0,2.76484,2300.0,1166.0,12.02808690071106,-0.0309142
0.0158774,15.633,536.7965223789215,576.81106092,200,0.956781,0.793065917186,-0.059419,0.00557311,0.0,2.74939,2600.0,1367.0,12.041812181472778,-0.0483133
0.0452935,15.2599,548.9554798603058,550.700463047,200,0.945295,0.809537209941,-0.0739985,0.00916507,0.0,2.72523,2500.0,1523.0,11.965343475341797,-0.0582875
0.0283314,14.8216,561.33673787117,455.213960682,200,0.931585,0.849000279031,-0.0599106,0.0095639,0.0,2.69609,2700.0,1705.5,12.152676582336426,-0.0445852
0.0294161,14.4949,573.4813621044159,403.769426777,200,0.921261,0.894418970013,-0.0759686,0.0106459,200.0,2.67379,2700.0,1879.5,11.943641662597656,-0.0604218
0.0394272,14.0635,585.7076685428619,357.418172454,200,0.907438,0.918111438615,-0.0670504,0.0134,900.0,2.64358,2700.0,1998.5,12.040011167526245,-0.0500526
0.065643,13.7159,597.8393564224243,318.903982415,200,0.896153,0.940709418688,-0.0784935,0.0199582,1000.0,2.61856,2800.0,2149.5,11.954118251800537,-0.057889
0.0646772,13.3246,610.135466337204,268.566099871,200,0.883264,0.966276793348,-0.0871633,0.0190082,1200.0,2.58961,2700.0,2266.5,12.113173484802246,-0.0682713
0.0607358,12.8774,622.3228583335876,232.313904018,200,0.868318,0.973156225529,-0.0897362,0.0200622,1300.0,2.55548,2800.0,2355.5,11.998440504074097,-0.0725454
0.0600497,12.4187,634.5303606987,220.653008137,200,0.852711,0.977571642968,-0.0765787,0.0199085,1500.0,2.5192,2900.0,2421.5,12.008243322372437,-0.0607871
0.072881,12.0469,646.7391338348389,202.543822419,200,0.839862,0.984451369358,-0.0649857,0.0212321,1500.0,2.48881,2900.0,2474.0,12.013681411743164,-0.0504521
0.0427849,11.7468,659.0058708190918,180.537392249,200,0.829334,0.987210747152,-0.0455209,0.0109565,1900.0,2.46358,3100.0,2527.5,12.077171802520752,-0.0383022
0.0404024,11.524,670.0763082504272,165.284603034,200,0.82142,0.989592179936,-0.051535,0.0155406,2000.0,2.44443,2900.0,2559.0,10.900433778762817,-0.042422
0.021515,11.2822,681.0811975002289,170.586488328,200,0.812756,0.990177342485,-0.0578294,0.00902372,1900.0,2.42322,2900.0,2549.5,10.737968683242798,-0.051511
0.0575408,10.9953,692.0108144283295,157.794169728,200,0.802357,0.991122868825,-0.0467135,0.0187052,2000.0,2.39747,2900.0,2601.0,10.735956192016602,-0.0372948
0.0245727,10.7921,702.8106200695038,151.627833856,200,0.794908,0.991754385091,-0.035487,0.00457891,2100.0,2.37882,2900.0,2597.0,10.626696825027466,-0.0318928
