LossBefore,Time,Perplexity,MinReturn,MaxKL,ItrTime,NumTrajs,Entropy,StdReturn,MeanKL,ExplainedVariance,TotalExecTime,LossAfter,AveragePolicyStd,AverageReturn,MaxReturn
-0.0359331,628.5766930580139,14.4415,1000.0,0.977609,20.904770851135254,200,2.67011,346.0,0.0312531,0.941815594551,20.831794261932373,-0.0501791,0.919536,2378.0,3000.0
-0.0469369,649.8714981079102,14.1843,1300.0,0.903142,21.286545038223267,200,2.65214,281.280998292,0.0332366,0.962191249624,21.177001953125,-0.0610002,0.911313,2441.0,2900.0
-0.0472627,670.9177989959717,13.8553,1200.0,0.194325,21.03408932685852,200,2.62867,259.094094877,0.0300719,0.971576374557,20.9538996219635,-0.062552,0.900685,2495.5,2900.0
-0.0193435,692.0342750549316,13.5318,1800.0,0.0792234,21.102734088897705,200,2.60504,193.277003288,0.00827196,0.985549986362,20.999436855316162,-0.0245319,0.890104,2562.0,2900.0
-0.0336957,712.8558139801025,13.4015,1900.0,1.32078,20.812777757644653,200,2.59537,176.079527487,0.0388981,0.988283574393,20.736711978912354,-0.0462256,0.885808,2586.0,2900.0
-0.0434175,733.838650226593,13.1776,2200.0,0.89936,20.973029613494873,200,2.57852,163.522934171,0.0717918,0.990024802273,20.848355293273926,-0.0627179,0.878381,2589.5,2900.0
-0.0348933,754.9177525043488,12.8946,2200.0,0.295958,21.07640290260315,200,2.55681,136.231420752,0.0153805,0.992197071529,20.956823348999023,-0.0421352,0.868915,2629.0,2900.0
-0.0183814,775.9384534358978,12.6716,2200.0,0.20796,21.01602292060852,200,2.53936,127.646974112,0.0202736,0.993180262215,20.915467739105225,-0.0250453,0.861363,2632.5,2900.0
-0.0180636,796.8359518051147,12.5557,2100.0,3.42522,20.893585205078125,200,2.53017,141.837054397,0.0484565,0.992599836081,20.811134815216064,-0.0312957,0.857404,2636.5,3100.0
-0.0192553,817.6738486289978,12.4428,2200.0,0.127727,20.824634552001953,200,2.52114,129.783473524,0.0116752,0.992497650211,20.713032245635986,-0.0248326,0.853559,2657.5,2900.0
-0.0339441,838.6436042785645,12.3236,2300.0,1.14415,20.965357542037964,200,2.51151,129.610956327,0.0487623,0.99294679237,20.86263680458069,-0.0458072,0.84944,2651.0,3000.0
-0.0260176,859.823408126831,12.1162,2300.0,0.110857,21.176405429840088,200,2.49454,128.514590611,0.0100233,0.993237044111,21.046814680099487,-0.0327549,0.842267,2672.0,2900.0
-0.00270173,880.7608051300049,11.9596,2200.0,0.210238,20.93275547027588,200,2.48153,123.570829891,0.0187006,0.994493030897,20.83570408821106,-0.00817635,0.836817,2680.5,3000.0
-0.0177479,902.0017533302307,11.9434,2300.0,0.0577634,21.236708641052246,200,2.48018,116.666190475,0.00375199,0.994551982225,21.152302026748657,-0.0207776,0.836235,2667.0,3100.0
-0.0146256,923.113201379776,11.8379,2300.0,231.743,21.103171586990356,200,2.47131,118.818138346,2.03624,0.994166027538,20.981454372406006,-0.0325581,0.832546,2663.5,3000.0
0.00457071,944.1807811260223,11.7517,2300.0,0.202291,21.064730405807495,200,2.464,126.600750393,0.0108588,0.994163909391,20.975076913833618,-0.000635922,0.829495,2666.5,2900.0
-0.01914,965.2068438529968,11.7786,2300.0,0.372365,21.016157627105713,200,2.46628,117.383985279,0.0181689,0.994563704946,20.918601036071777,-0.024752,0.830441,2661.0,2900.0
-0.00787835,986.3353540897369,11.6664,2300.0,0.338485,21.122101306915283,200,2.45671,125.055987462,0.019244,0.99358312835,20.98990035057068,-0.012383,0.826477,2669.0,2900.0
-0.00874763,1007.5292978286743,11.6205,2400.0,0.479333,21.18988847732544,200,2.45277,115.429632244,0.0582465,0.99439498103,21.09553027153015,-0.0216996,0.824856,2676.0,3000.0
0.000523157,1028.5048162937164,11.5698,2200.0,5.31372,20.971465587615967,200,2.4484,115.494588618,0.079316,0.995090815469,20.85225510597229,-0.0117055,0.823061,2669.0,3000.0
-0.00844639,1049.7560667991638,11.5728,2300.0,0.912652,21.246612071990967,200,2.44866,111.659079344,0.019506,0.994795399313,21.13728952407837,-0.0180085,0.823181,2661.5,3000.0
