MinReturn,MaxKL,NumTrajs,MaxReturn,ExplainedVariance,Time,MeanKL,ItrTime,LossBefore,StdReturn,Entropy,AveragePolicyStd,LossAfter,Perplexity,AverageReturn
2200.0,0.00615649,200,3000.0,0.993553263414,526.9400563240051,0.000822924,16.332178592681885,-0.0144402,138.563162493,2.36647,0.790122,-0.0154359,10.6597,2649.5
2200.0,0.120918,200,2900.0,0.99428882387,543.4247424602509,0.0266085,16.305620431900024,-0.0137452,120.746635564,2.35925,0.787317,-0.0203259,10.583,2654.5
2300.0,0.0400065,200,2900.0,0.993846459918,559.9260778427124,0.00348982,16.303914546966553,-0.0102933,130.74306865,2.35238,0.784661,-0.0123492,10.5105,2652.5
2300.0,0.122636,200,2900.0,0.994418383681,576.3372535705566,0.0157327,16.229222059249878,-0.014304,119.623367282,2.34723,0.782606,-0.019073,10.4566,2659.5
2400.0,0.0163599,200,3000.0,0.993722467284,593.0410432815552,0.00259162,16.40307641029358,-0.00406693,128.825463322,2.34008,0.77985,-0.00578821,10.382,2652.0
2400.0,0.0643625,200,3000.0,0.995065318689,609.6033849716187,0.0167803,16.35741376876831,-0.0103302,110.720368496,2.33805,0.779008,-0.0139053,10.361,2671.0
2300.0,0.0838791,200,2900.0,0.993096563731,626.3737909793854,0.0170157,16.577967882156372,0.000548935,134.72564715,2.33288,0.776976,-0.00255146,10.3076,2643.0
2300.0,0.0693585,200,3000.0,0.994890333835,642.679924249649,0.0143933,16.10284113883972,-0.0192272,120.28196041,2.33315,0.777089,-0.0221384,10.3104,2686.5
2400.0,0.0297707,200,3000.0,0.994206623145,659.0923602581024,0.00385859,16.207398414611816,-0.0074037,117.115327776,2.32354,0.773373,-0.00913505,10.2118,2678.0
2300.0,0.111704,200,3000.0,0.995157752068,675.5967192649841,0.0179562,16.308294773101807,-0.000355655,114.525106418,2.31984,0.771912,-0.00528428,10.174,2678.0
2300.0,0.0289328,200,2900.0,0.994803810343,691.8950471878052,0.00839812,16.10454511642456,-0.00989757,118.717100706,2.31966,0.771915,-0.0128073,10.1722,2667.5
2300.0,0.110874,200,3000.0,0.994326302382,708.3996319770813,0.0239328,16.308913469314575,-0.0131282,119.180535324,2.31471,0.769948,-0.0177945,10.122,2664.0
2400.0,0.0189597,200,3000.0,0.99476215943,725.0092408657074,0.0021513,16.423390865325928,-0.0117931,118.063542214,2.30815,0.767489,-0.0134124,10.0558,2681.0
2300.0,0.167401,200,2900.0,0.994139291437,741.4945330619812,0.0406738,16.2830650806427,-0.014242,115.689238912,2.30225,0.765201,-0.021049,9.99667,2654.0
2400.0,0.0219201,200,2900.0,0.995179333398,757.9443836212158,0.00288357,16.262979745864868,-0.00294949,106.845683114,2.29513,0.762535,-0.00454582,9.92574,2678.0
2300.0,0.134,200,3000.0,0.993701682806,774.4535863399506,0.0252857,16.315179347991943,3.46564e-05,126.585939188,2.29366,0.761975,-0.00540583,9.9111,2674.0
2300.0,0.0961398,200,3000.0,0.994952417435,791.1606457233429,0.0194483,16.414941787719727,-0.0157031,116.940155635,2.29367,0.761951,-0.0198792,9.91128,2675.0
2200.0,0.0126507,200,2900.0,0.994031066564,807.5298590660095,0.00305141,16.156882524490356,-0.0252884,122.856623753,2.28582,0.759013,-0.0273632,9.83376,2672.5
2300.0,0.00337747,200,3000.0,0.994758667301,823.7635726928711,0.000872993,16.043157815933228,0.00390658,114.350338871,2.27318,0.754208,0.00321513,9.71021,2682.0
