LossBefore,1AveragePolicyStd,MeanKLBefore,0EnvExecTime,1ExplainedVariance,0AveragePolicyStd,LossAfter,0MinReturn,0ExplainedVariance,MeanKL,1Entropy,0NumTrajs,0StdReturn,1Perplexity,Time,ComputeUpdatedDistTime,1EnvExecTime,0PolicyExecTime,0AverageReturn,1PolicyExecTime,1StdReturn,1MaxReturn,1MinReturn,0MaxReturn,0Entropy,dLoss,1NumTrajs,ItrTime,0Perplexity,1AverageReturn,1ProcessExecTime,0ProcessExecTime
-4.36557456851e-10,0.999581,6.29370278116e-10,3.8851280212402344,0.0333849895536,1.0,-0.00332122063264,0.0,0.0798257497526,0.00978550501168,2.837,320,27.2717802866,17.0644,21.768897771835327,3.4063119888305664,3.725355386734009,1.462336540222168,2.5,4.3691933155059814,58.4667373384,1000.0,0.0,400.0,2.83788,0.00332122019609,320,21.768898487091064,17.0795,4.375,0.12166523933410645,0.1444849967956543
-4.07453626394e-10,0.99086,6.92671298097e-09,4.236334800720215,0.191245124583,0.990412,-0.00257168989629,0.0,0.077018131019,0.00874111521989,2.81926,320,147.542035853,16.7644,40.23070287704468,0.2582225799560547,4.504352331161499,1.697601079940796,19.6875,5.423221588134766,222.513166745,2000.0,0.0,1500.0,2.81858,0.00257168948883,320,17.96218729019165,16.753,39.375,0.14949917793273926,0.1545238494873047
-1.0768417269e-09,0.991887,1.01863406599e-09,3.954883098602295,0.159557252677,0.991323,-0.00809190794826,0.0,0.0615195668115,0.00970865041018,2.82151,320,96.6908532062,16.8023,56.565194845199585,0.24713945388793945,3.9215853214263916,1.2641191482543945,10.9375,4.594140529632568,211.162842597,2000.0,0.0,1200.0,2.82045,0.00809190687141,320,15.843281507492065,16.7843,44.0625,0.12395358085632324,0.147721529006958
-1.54250301421e-09,0.987263,-6.40284270048e-10,4.588715314865112,0.196635838554,0.985806,-0.00499783270061,0.0,0.0968190872667,0.00947634316981,2.8121,320,198.303104095,16.6449,74.11385035514832,0.2615532875061035,3.9678425788879395,1.2176063060760498,30.9375,5.0943121910095215,282.46802225,2000.0,0.0,2000.0,2.80927,0.00499783115811,320,17.029130935668945,16.5978,66.5625,0.12754535675048828,0.14179730415344238
-1.04773789644e-09,0.975037,6.57746479504e-09,4.1005566120147705,0.2019685889,0.974245,-0.00533960293978,0.0,0.0877758874334,0.00937848165631,2.78715,320,158.260811242,16.2347,90.84330940246582,0.2740058898925781,3.9810869693756104,1.2730648517608643,31.875,4.827146530151367,341.400922441,2400.0,0.0,1300.0,2.78568,0.00533960189205,320,16.237239122390747,16.2108,87.1875,0.12429261207580566,0.14573979377746582
2.21189111471e-09,0.968381,-8.0326554297e-09,4.426543235778809,0.262824209792,0.969339,-0.00649854866788,0.0,0.130196586818,0.00902280118316,2.77349,320,192.931486787,16.0144,107.7604444026947,0.24946808815002441,3.854849100112915,1.3416666984558105,31.5625,4.641523838043213,451.890019633,2900.0,0.0,2200.0,2.77556,0.00649855087977,320,16.41135001182556,16.0476,132.8125,0.12410855293273926,0.16351938247680664
9.02218744159e-10,0.965152,4.65661342819e-10,3.9773528575897217,0.158076404069,0.964792,-0.00542615773156,0.0,0.0425837665081,0.00763137359172,2.76673,320,160.854347451,15.9065,125.56606888771057,0.2540910243988037,4.4669647216796875,1.5133793354034424,29.0625,5.2682812213897705,376.779113009,2300.0,0.0,1300.0,2.76618,0.00542615863378,320,17.345783710479736,15.8978,115.0,0.1380918025970459,0.14898228645324707
-3.66708263755e-09,0.956707,-5.82077164246e-10,4.168620824813843,0.199783707603,0.960682,-0.00949482806027,0.0,0.143658400544,0.00855703465641,2.74895,320,339.294851263,15.6262,141.929212808609,0.240098237991333,3.6864216327667236,1.2881219387054443,105.9375,4.5568764209747314,490.077222072,2500.0,0.0,2100.0,2.75759,0.00949482439319,320,15.873839855194092,15.7618,193.4375,0.11882352828979492,0.15147805213928223
1.26601662487e-09,0.95661,-1.80443759934e-09,4.0417258739471436,0.294724115461,0.960697,-0.00827639736235,0.0,0.116673267797,0.00822413992137,2.7486,320,307.32575729,15.6208,160.00058603286743,0.7243208885192871,4.1649534702301025,1.216710090637207,90.9375,5.324146747589111,615.934249738,2500.0,0.0,2000.0,2.75752,0.00827639862837,320,17.4483585357666,15.7606,300.0,0.1379086971282959,0.14560389518737793
1.54250301421e-09,0.95579,2.32830588143e-10,4.396773815155029,0.274816641821,0.954523,-0.00715208984911,0.0,0.104187559247,0.00714894710109,2.74699,320,329.485868437,15.5957,176.99388885498047,0.2530674934387207,3.914919137954712,1.3764009475708008,101.25,4.7152955532073975,684.78754689,2800.0,0.0,2000.0,2.74476,0.00715209139162,320,16.497056245803833,15.5609,358.125,0.12444114685058594,0.15228509902954102
4.65661287308e-10,0.971827,1.04773789644e-09,4.062170505523682,0.254371356231,0.966139,-0.0101147722453,0.0,0.139884802154,0.00925087742507,2.78014,320,332.890835851,16.1213,194.2124650478363,0.2624239921569824,3.946789503097534,1.21516752243042,118.4375,4.961780786514282,590.268659039,2500.0,0.0,1700.0,2.76898,0.0101147727109,320,16.522982835769653,15.9423,272.8125,0.1325087547302246,0.14878582954406738
-9.74978320301e-10,0.966088,1.33877620101e-08,4.3598387241363525,0.355326351329,0.966277,-0.00759217701852,0.0,0.0991558177507,0.00798286963254,2.76852,320,342.174657293,15.9351,212.0178611278534,0.25802040100097656,4.261425256729126,1.3137226104736328,114.0625,5.344582557678223,831.014475562,2800.0,0.0,1800.0,2.76926,0.00759217604354,320,17.336129903793335,15.9468,508.4375,0.13790321350097656,0.1591639518737793
