1MinReturn,0MinReturn,MeanKL,0PolicyExecTime,0StdReturn,1Entropy,1NumTrajs,0AveragePolicyStd,0ExplainedVariance,dLoss,1EnvExecTime,0EnvExecTime,1MaxReturn,1PolicyExecTime,1AveragePolicyStd,0Entropy,ComputeUpdatedDistTime,LossBefore,LossAfter,0ProcessExecTime,0AverageReturn,Time,0MaxReturn,1ProcessExecTime,1AverageReturn,MeanKLBefore,1Perplexity,ItrTime,1ExplainedVariance,0Perplexity,1StdReturn,0NumTrajs
0.0,0.0,0.0091014187783,24.34719729423523,110.558224903,2.83914,1600,1.0,0.0489601978697,0.00667892780621,21.656485557556152,23.36960220336914,2200.0,35.09955835342407,1.00064,2.83788,0.7568132877349854,-2.21189111471e-09,-0.0066789300181,1.0325164794921875,13.0625,112.13399481773376,1600.0,0.937767505645752,38.6875,-1.62981450558e-08,17.1011,112.13400197029114,0.184843554327,17.0795,206.451028924,1600
0.0,0.0,0.00825755763799,23.917727947235107,85.4984466233,2.8416,1600,1.00395,0.0380287641345,0.0062431122642,24.0408353805542,23.772128343582153,1900.0,38.96386003494263,1.00189,2.84576,0.09060311317443848,-2.32830643654e-10,-0.00624311249703,1.0588979721069336,10.125,231.44598364830017,1300.0,1.0298807621002197,33.0,8.09086309062e-09,17.1432,117.12837314605713,0.0951467142267,17.2146,169.958818541,1600
0.0,0.0,0.00634773774073,23.430126428604126,101.525070026,2.8463,1600,1.00516,0.0381900322635,0.00600903923623,21.25803518295288,22.536323308944702,2100.0,33.86527156829834,1.00423,2.84816,0.09076070785522461,1.16415321827e-09,-0.00600903807208,1.0300567150115967,13.1875,341.38986325263977,1700.0,0.9464423656463623,83.75,-1.16415432849e-09,17.2239,107.26926946640015,0.193945231234,17.256,288.657994,1600
0.0,0.0,0.00914383493364,25.325663089752197,151.564432977,2.83793,1600,1.00221,0.0495429855016,0.00654018495698,24.008758068084717,24.417262315750122,2500.0,38.511664390563965,1.00004,2.84225,0.08594751358032227,-8.14907252789e-10,-0.00654018577188,1.0850300788879395,24.6875,462.6870903968811,1700.0,1.0098185539245605,161.9375,2.56113796837e-09,17.0803,118.6585464477539,0.277919105155,17.1543,428.625706291,1600
0.0,0.0,0.00961090717465,23.924882888793945,211.510601094,2.81983,1600,0.99404,0.0731547441839,0.00804642305593,22.723633527755737,23.84305238723755,2700.0,36.734007358551025,0.991035,2.82589,0.11182498931884766,-9.60426405072e-10,-0.00804642401636,1.0625579357147217,42.875,578.7492573261261,2100.0,0.978428840637207,366.75,3.84170562029e-09,16.7739,113.53687310218811,0.396878090681,16.876,682.399763702,1600
0.0,0.0,0.00742129189894,22.05858874320984,214.612432291,2.80914,1600,0.985994,0.0642867793949,0.00647257408127,21.49236273765564,21.044867992401123,2700.0,33.776938676834106,0.985759,2.80963,0.09377455711364746,0.0,-0.00647257408127,0.985598087310791,45.9375,686.3320729732513,1800.0,0.9443039894104004,358.5625,1.67637939086e-08,16.5957,104.56527185440063,0.361341035943,16.6039,676.748981228,1600
0.0,0.0,0.00777642568573,21.903926372528076,156.43777467,2.78182,1600,0.973593,0.0414821299295,0.00804559863172,21.040344953536987,21.363268852233887,2600.0,33.86940002441406,0.972375,2.78434,0.10088562965393066,-2.09547579288e-09,-0.0080456007272,1.008122444152832,27.3125,793.2568781375885,1600.0,0.9402356147766113,331.125,3.25962767889e-09,16.1483,104.3156008720398,0.38052657738,16.1891,599.650927103,1600
0.0,0.0,0.00663655623794,22.629022121429443,209.588277568,2.76148,1600,0.962919,0.0618788605129,0.0065031342674,22.161033868789673,22.703770875930786,2800.0,35.61490869522095,0.962544,2.76228,0.09258151054382324,2.09547579288e-09,-0.00650313217193,1.029038667678833,44.0625,905.4489829540253,2200.0,0.9745030403137207,430.9375,3.25962612457e-09,15.8233,109.35750222206116,0.375041419218,15.836,703.97913399,1600
0.0,0.0,0.00750537170097,24.69350552558899,182.835265677,2.75146,1600,0.953193,0.0466715211232,0.00825207636808,21.743769884109497,23.793788194656372,2700.0,34.88688540458679,0.957787,2.74191,0.07810163497924805,4.94765117764e-10,-0.00825207587332,1.0766112804412842,35.125,1019.4633066654205,1700.0,0.968975305557251,536.125,1.3969837509e-09,15.6655,111.29853200912476,0.419733814557,15.5166,772.840529718,1600
0.0,0.0,0.00773962121457,22.26236653327942,163.378347326,2.71805,1600,0.94387,0.0554170762397,0.00685830431757,21.4259135723114,22.20903992652893,2800.0,34.31713104248047,0.942005,2.72203,0.08639240264892578,-1.22236087918e-09,-0.00685830553994,1.016843318939209,30.125,1128.4169545173645,1800.0,0.9385554790496826,539.3125,-1.86264326185e-09,15.1508,106.35518217086792,0.404261793426,15.2112,788.185116165,1600
0.0,0.0,0.00700031826273,21.58983087539673,196.516538744,2.69854,1600,0.934518,0.0647550731304,0.00683648037375,22.789624214172363,21.22880983352661,2900.0,36.236544132232666,0.932856,2.70209,0.12633919715881348,-8.73114913702e-11,-0.00683648046106,0.9647984504699707,42.5,1238.962120294571,2000.0,0.9980645179748535,531.25,1.86264381696e-09,14.858,108.08283853530884,0.424507752882,14.9109,845.945292262,1600
0.0,0.0,0.00764810759574,24.346132516860962,207.436398385,2.69192,1600,0.929922,0.0668074844745,0.0053487198893,21.404195308685303,23.471532106399536,2800.0,34.40872883796692,0.929744,2.69237,0.15378737449645996,-1.62981450558e-09,-0.00534872151911,1.063615322113037,41.625,1351.7760853767395,1800.0,0.9404528141021729,637.625,1.86264426105e-09,14.7599,110.03631496429443,0.382866525307,14.7666,833.709697302,1600
0.0,0.0,0.00912691839039,23.954089879989624,195.774064613,2.67053,1600,0.918993,0.0658106184027,0.00612034468213,22.21385931968689,24.044467449188232,2900.0,35.391579151153564,0.919929,2.66858,0.09212183952331543,5.82076609135e-11,-0.00612034462392,1.102759599685669,40.125,1466.3050591945648,1900.0,0.9729547500610352,736.4375,-1.86264204061e-09,14.4476,111.8823471069336,0.445713487276,14.4195,942.670970484,1600
0.0,0.0,0.00756716588512,26.063085079193115,182.140056001,2.62018,1600,0.897367,0.0740172991393,0.00679465282883,29.000024557113647,25.40376091003418,2900.0,45.47616410255432,0.897324,2.62039,0.0990896224975586,-5.3842086345e-10,-0.00679465336725,1.1070013046264648,35.0,1601.7096319198608,1800.0,1.1890208721160889,592.5625,0.0,13.7382,132.6936056613922,0.388521627637,13.7411,831.775771223,1600
0.0,0.0,0.00715403305367,28.424304723739624,202.200385988,2.60308,1600,0.892451,0.0693547363855,0.00633665174246,27.90972900390625,27.455031633377075,2800.0,44.49468684196472,0.88946,2.60991,0.08883905410766602,-1.86264514923e-09,-0.0063366536051,1.1510529518127441,41.9375,1739.5814406871796,1900.0,1.1510145664215088,694.3125,3.72529740389e-09,13.5053,135.10410451889038,0.426614478871,13.5978,920.067335766,1600
0.0,0.0,0.00977517943829,27.699710845947266,201.901033538,2.55878,1600,0.871692,0.0886964924924,0.00842493673554,28.194214344024658,27.54033851623535,2900.0,44.89366173744202,0.869978,2.56279,0.09039878845214844,-5.82076609135e-11,-0.00842493679374,1.154954433441162,37.3125,1877.1644215583801,2000.0,1.160644292831421,644.6875,0.0,12.9201,135.1067931652069,0.393271070376,12.972,878.740164863,1600
0.0,0.0,0.00437616789714,28.208853006362915,184.680636505,2.53663,1600,0.860801,0.0674256353104,0.00200708245393,26.313925743103027,27.281214475631714,3000.0,41.28877305984497,0.8605,2.53725,0.09109711647033691,-1.2805685401e-09,-0.0020070837345,1.1483380794525146,33.25,2009.1915106773376,1700.0,1.0873301029205322,681.3125,0.0,12.637,129.573872089386,0.437383382079,12.6449,941.551659413,1600
0.0,0.0,0.00921721849591,22.56842851638794,158.1374007,2.52687,1600,0.856291,0.0599537191542,0.00587291342526,21.49942946434021,21.710115671157837,2900.0,34.3370041847229,0.856663,2.52621,0.0876927375793457,-1.14232534543e-09,-0.00587291456759,1.0126957893371582,27.25,2118.318588256836,2000.0,0.9543695449829102,796.3125,-3.72528896619e-09,12.5143,106.26170563697815,0.445957522661,12.5061,949.232665021,1600
0.0,0.0,0.007692694664,22.595771074295044,213.018631814,2.49901,1600,0.842551,0.105996355963,0.000439698516857,21.650517463684082,22.898475408554077,2900.0,34.737900257110596,0.845018,2.4934,0.10729789733886719,-3.84170562029e-09,-0.000439702358562,1.051689863204956,40.75,2229.571464061737,1800.0,0.9516260623931885,792.5625,1.86264381696e-09,12.1705,108.22019124031067,0.400787088467,12.1024,990.814530371,1600
0.0,0.0,0.00710853002965,21.523444890975952,168.793466624,2.46935,1600,0.831308,0.0774371518014,0.00530591083225,20.541754722595215,20.967278480529785,2900.0,31.369774341583252,0.832833,2.46593,0.07660245895385742,3.49245965481e-10,-0.005305910483,0.9595911502838135,28.875,2332.7895386219025,1700.0,0.8762366771697998,721.9375,1.8626444831e-09,11.8148,100.37880539894104,0.428129775297,11.7745,970.148182544,1600
0.0,0.0,0.00832087360322,21.04246973991394,206.548637961,2.44828,1600,0.823459,0.108190612942,0.00570204084943,20.126503467559814,20.593303442001343,3000.0,31.846389293670654,0.824205,2.44644,0.08861303329467773,3.01952240989e-09,-0.00570203782991,0.9324142932891846,38.8125,2434.8571639060974,2200.0,0.8751766681671143,721.3125,-1.1175869119e-08,11.5684,99.52775597572327,0.369661100749,11.5471,997.222155462,1600
0.0,0.0,0.00914023444057,20.53094220161438,132.035610135,2.38725,1600,0.799846,0.0742370658,0.00656791828806,20.560569286346436,21.05902123451233,2900.0,32.46432971954346,0.799518,2.38781,0.09460926055908203,-2.73576006293e-09,-0.00656792102382,0.951650857925415,18.3125,2538.160330057144,1800.0,0.8851432800292969,758.8125,0.0,10.8836,100.64184713363647,0.416420912936,10.8896,1028.35905201,1600
0.0,0.0,0.00983134098351,20.323845148086548,163.512996425,2.3799,1600,0.796513,0.0956526086542,0.00662834424293,19.411274909973145,20.085903644561768,2900.0,30.335553646087646,0.796385,2.3803,0.09368419647216797,-5.23868948221e-10,-0.0066283447668,0.8993897438049316,26.0,2636.69859623909,1700.0,0.8349030017852783,748.0625,-7.45057482376e-09,10.8038,95.97937750816345,0.394032340791,10.8082,950.109860013,1600
0.0,0.0,0.00748253427446,22.035526275634766,160.562962241,2.35993,1600,0.789575,0.0837246912306,0.00692329596495,26.552660703659058,21.421671152114868,2800.0,41.743622064590454,0.788884,2.36169,0.08856821060180664,-1.45519152284e-09,-0.00692329742014,0.9670569896697998,21.8125,2757.2188169956207,1900.0,1.0712556838989258,628.25,0.0,10.5902,118.00285720825195,0.405425862063,10.6089,951.598359341,1600
0.0,0.0,0.00790805928409,26.734817028045654,134.586403474,2.33098,1600,0.777761,0.0855911483291,0.00551157191512,27.773709297180176,26.583481550216675,2900.0,44.13077139854431,0.777502,2.33184,0.10428142547607422,7.27595761418e-10,-0.00551157118753,1.0752003192901611,18.0,2891.4319331645966,1600.0,1.1021575927734375,813.25,1.11758726717e-08,10.2881,131.7761824131012,0.419042613477,10.2968,965.355860551,1600
