0AveragePolicyStd,1ExplainedVariance,1MinReturn,0ExplainedVariance,MeanKL,1PolicyExecTime,LossAfter,1AverageReturn,dLoss,ItrTime,1MaxReturn,0AverageReturn,1ProcessExecTime,1EnvExecTime,MeanKLBefore,Time,0Perplexity,0PolicyExecTime,ComputeUpdatedDistTime,1AveragePolicyStd,1NumTrajs,1Entropy,0StdReturn,0Entropy,1Perplexity,0NumTrajs,0MaxReturn,0EnvExecTime,LossBefore,0ProcessExecTime,0MinReturn,1StdReturn
1.0,0.00638385803871,0.0,0.00844884767472,0.00732086366042,95.53301239013672,-0.00237212982029,14.9166666667,0.00237213016953,237.6546151638031,3200.0,15.5,1.539350986480713,34.81459617614746,-3.37603767164e-09,237.65460991859436,17.0795,61.12402939796448,1.0124716758728027,1.00165,1200,2.84116,154.78937302,2.83788,17.1357,1200,2400.0,34.59481406211853,3.49245965481e-10,1.5338337421417236,0.0,150.673465001
1.00756,0.00959325872447,0.0,0.00862693193757,0.0099472720176,87.13305592536926,-0.00146197283175,15.3333333333,0.00146197386493,233.80421614646912,3400.0,17.0833333333,1.5184648036956787,34.71227240562439,8.73114469613e-10,473.7227153778076,17.3384,67.92872929573059,0.13543438911437988,1.00746,1200,2.85272,171.512369978,2.85292,17.3349,1200,2900.0,34.654096364974976,1.03318598121e-09,1.516688346862793,0.0,167.47603477
1.0155,0.0158121545755,0.0,0.00944595239439,0.00595595221967,92.20983338356018,-0.00195828080177,41.5,0.00195828161668,238.65609979629517,3200.0,42.0,1.5692028999328613,35.1780481338501,2.04890824307e-08,714.8781390190125,17.6128,67.27274942398071,0.1210336685180664,1.01662,1200,2.8708,279.200047755,2.86863,17.6511,1200,3400.0,34.59959173202515,8.14907252789e-10,1.5399973392486572,0.0,258.961547982
1.01467,0.0128883137972,0.0,0.011374634765,0.00762102054432,94.32139611244202,-0.00218594493344,60.4166666667,0.00218594388571,237.23783326148987,3500.0,55.25,1.5273432731628418,35.008997678756714,1.86264437207e-09,954.3848447799683,17.584,64.35355138778687,0.1286604404449463,1.01414,1200,2.8659,304.558320906,2.86699,17.5648,1200,3500.0,34.45201802253723,-1.04773789644e-09,1.5777764320373535,0.0,323.843830247
1.00105,0.0236622589743,0.0,0.0123551713545,0.00703989667818,91.98538517951965,-0.00219201855361,89.3333333333,0.00219201750588,233.4416308403015,4100.0,97.1666666667,1.5934605598449707,34.98765230178833,-5.82075498912e-10,1190.4129490852356,17.1144,61.06451964378357,0.1171720027923584,0.99918,1200,2.83617,412.725056451,2.83992,17.0504,1200,4500.0,34.71883463859558,-1.04773789644e-09,1.571624517440796,0.0,394.634289212
1.00029,0.0194843470615,0.0,0.0249248306889,0.00554832676426,89.70165657997131,-0.000930060516112,139.333333333,0.000930061156396,236.6182565689087,4600.0,140.416666667,1.5710830688476562,35.02254319190979,-6.98492652607e-10,1429.6366629600525,17.0884,65.91256856918335,0.11547541618347168,1.00014,1200,2.83809,527.83345832,2.8384,17.0831,1200,5300.0,34.6673321723938,6.40284270048e-10,1.5883398056030273,0.0,528.995484123
0.988277,0.0156062830441,0.0,0.0177210361702,0.00731270387769,90.92921948432922,-0.00238883355632,194.666666667,0.00238883544807,236.38760614395142,5100.0,113.583333333,1.5711348056793213,35.38222861289978,-2.09547401653e-09,1668.6858818531036,16.6781,65.11026048660278,0.1186838150024414,0.988237,1200,2.81397,463.167168945,2.8141,16.676,1200,4600.0,34.708855628967285,1.89174897969e-09,1.5712978839874268,0.0,666.311905608
0.984664,0.0172176460289,0.0,0.0178164449994,0.00957472342998,90.57975101470947,-0.000900083221495,232.416666667,0.000900083221495,238.15421414375305,6000.0,185.25,1.586221694946289,35.53256607055664,2.59024157678e-09,1909.389850139618,16.5548,66.97719478607178,0.15266060829162598,0.983254,1200,2.80385,593.891772548,2.80668,16.5081,1200,4100.0,34.904664278030396,0.0,1.5751979351043701,0.0,759.017452405
0.966177,0.0139877460166,0.0,0.01579881452,0.00926350057125,73.94230008125305,-0.0009967579972,233.916666667,0.000996758462861,214.8248312473297,6000.0,207.833333333,1.4580693244934082,32.65166902542114,1.86264714763e-09,2126.6993584632874,15.9415,62.44918632507324,0.12094593048095703,0.964797,1200,2.76606,677.290168408,2.76892,15.8959,1200,5800.0,34.711854219436646,4.65661287308e-10,1.5944814682006836,0.0,802.459548132
0.963308,0.0213908201241,0.0,0.0155969659491,0.00172319367994,65.21227431297302,-0.00021991180256,252.666666667,0.000219912384637,182.4404103755951,5500.0,209.583333333,1.3706800937652588,31.436066389083862,1.39698519419e-09,2311.3287975788116,15.8468,43.16688895225525,0.10173368453979492,0.962444,1200,2.76119,669.850600051,2.76297,15.8187,1200,5000.0,31.70652413368225,5.82076609135e-10,1.4241983890533447,0.0,784.777817106
0.96176,0.0171647986461,0.0,0.0162065441324,0.00675556249917,64.58572387695312,-0.00331261078827,242.916666667,0.00331261078827,179.95277667045593,4900.0,209.833333333,1.380878210067749,31.45429491996765,2.79397016634e-09,2493.4515783786774,15.7955,41.2336790561676,0.12632298469543457,0.960621,1200,2.75735,648.744920768,2.75972,15.758,1200,5300.0,31.64921545982361,0.0,1.425445318222046,0.0,686.561354182
