LossBefore,ItrTime,Entropy,AverageReturn,MeanKL,MaxKL,TotalExecTime,NumTrajs,MaxReturn,LossAfter,AveragePolicyStd,Perplexity,StdReturn,MinReturn,Time,ExplainedVariance
0.0150438,6.4978108406066895,2.79458,1005.0,1.45508,99.9061,6.394592523574829,40,2500.0,-0.111502,0.982009,16.3558,491.4010582,100.0,6.497807502746582,0.364634871284
-0.0287473,6.623213291168213,2.80963,1990.0,0.155903,5.68835,6.531182527542114,40,4400.0,-0.072178,0.98977,16.6037,843.445315358,400.0,13.124039649963379,0.450937690282
-0.019335,6.38857626914978,2.79525,2640.0,0.0226507,1.13417,6.3406054973602295,40,4700.0,-0.0358157,0.982537,16.3668,936.696322188,600.0,19.515605211257935,0.57163762381
-0.0299813,7.2713782787323,2.78559,3260.0,0.0238791,1.78582,7.216362476348877,40,4900.0,-0.0427724,0.977811,16.2093,1069.5326082,500.0,26.800875902175903,0.68146842619
-0.0322206,6.56094217300415,2.7706,3327.5,0.218009,5.28567,6.4951887130737305,40,5600.0,-0.0842453,0.970505,15.9681,930.319165663,1200.0,33.37283539772034,0.646576413136
-0.0214153,6.558264970779419,2.75448,2117.5,0.140579,7.66657,6.456435203552246,40,4300.0,-0.0531269,0.962443,15.7129,1357.91890406,100.0,39.95963215827942,0.558521726405
-0.0120561,6.596083164215088,2.74378,3400.0,0.0529272,1.16255,6.544084787368774,40,5700.0,-0.0341203,0.95694,15.5456,1186.38105177,200.0,46.559553146362305,0.634535023933
