AveragePolicyStd,LossAfter,TotalExecTime,NumTrajs,MaxReturn,MinReturn,Entropy,StdReturn,ItrTime,Perplexity,Time,ExplainedVariance,LossBefore,AverageReturn,MaxKL,MeanKL
0.753656,-0.0394849,26.18270754814148,200,3000.0,2400.0,2.26684,114.34596626,26.274659156799316,9.6489,446.49592542648315,0.995069455618,-0.00533588,2685.0,3.25959,0.401098
0.752639,-0.0311769,13.81987738609314,200,3000.0,2300.0,2.26418,118.607546134,13.975043296813965,9.62319,460.4776031970978,0.994607739236,-0.0252388,2686.5,0.57242,0.0457005
0.747562,-0.0132543,14.116949081420898,200,2900.0,2300.0,2.25156,119.829044893,14.17188310623169,9.50251,474.65524315834045,0.994196185946,-0.00164538,2679.0,1.27769,0.147993
0.747192,-0.0109228,12.386343717575073,200,3000.0,2300.0,2.25073,122.1106056,12.459178447723389,9.49469,487.1183319091797,0.994737660348,-0.00366793,2683.0,0.226007,0.0556814
0.746575,5.33909e-05,14.366343975067139,200,3000.0,2400.0,2.2489,117.131336542,14.498176574707031,9.4773,501.63448333740234,0.994740536536,0.00673161,2669.5,0.506232,0.055382
0.747956,-0.0166528,13.929108381271362,200,3000.0,2300.0,2.25227,113.468057179,14.046843767166138,9.50925,515.6872482299805,0.994828409128,-0.00749871,2695.0,0.765703,0.0761585
0.746401,0.0131808,14.045229196548462,200,3000.0,2400.0,2.24852,124.241699924,14.131240844726562,9.47367,529.8269872665405,0.994715840011,0.0186358,2692.0,0.686541,0.0663085
0.749866,-0.00960203,14.598693370819092,200,3000.0,2300.0,2.25783,121.618255209,14.736079692840576,9.56235,544.5781116485596,0.994887599584,0.000618,2697.0,1.92779,0.094452
0.750154,-0.0155973,14.037375211715698,200,3000.0,2200.0,2.25814,122.882057274,14.173508167266846,9.5653,558.7569093704224,0.994214570598,-0.00252639,2680.0,1.24781,0.137888
0.749418,0.0148051,13.930000066757202,200,3100.0,2400.0,2.25688,113.450429704,14.013553142547607,9.55324,572.7765076160431,0.995248196806,0.0242142,2677.0,0.870635,0.08876
0.753962,-0.00667638,14.444997549057007,200,3000.0,2300.0,2.26899,119.599331102,14.5534188747406,9.66959,587.3414747714996,0.994545764405,0.000940384,2686.0,1.02473,0.0721791
0.754104,-0.0116078,13.760451078414917,200,2900.0,2400.0,2.26946,109.287464972,13.91611123085022,9.67414,601.2630450725555,0.994843824998,-0.000342134,2682.5,0.812834,0.147702
0.753997,-0.0205138,14.492896556854248,200,3000.0,2400.0,2.26929,119.19626672,14.62225341796875,9.67249,615.8922390937805,0.994662144519,-0.00411712,2681.5,0.885891,0.114303
0.753177,-0.00417632,14.445616006851196,200,3100.0,2300.0,2.26723,124.915971757,14.560779333114624,9.6526,630.4608325958252,0.99433035473,-0.00264306,2686.0,0.0741493,0.00793444
0.752693,-0.0137566,14.424932956695557,200,3000.0,2400.0,2.26591,112.105976647,14.559084415435791,9.63985,645.0246617794037,0.994890766415,-0.00535098,2686.5,0.989362,0.106573
0.751689,-0.0129114,14.701621055603027,200,2900.0,2400.0,2.26323,105.022616612,14.786836385726929,9.61409,659.8173806667328,0.995696793733,-0.00678341,2679.5,0.773188,0.0623222
0.750413,0.00384565,13.173323154449463,200,3000.0,2400.0,2.25984,125.130931428,13.270805358886719,9.58154,673.1010003089905,0.994048625358,0.00584815,2668.5,0.1207,0.00522415
0.751442,-0.004098,14.530289649963379,200,2900.0,2400.0,2.26276,111.327220391,14.589043617248535,9.6096,687.6938850879669,0.995194530095,0.00471723,2672.5,0.411734,0.0917256
0.752222,-0.00630757,13.297395467758179,200,3000.0,2300.0,2.26512,117.642466822,13.371784925460815,9.63229,701.0764908790588,0.99459744438,0.00679816,2685.5,1.38048,0.111987
0.75376,-0.0169148,14.671910285949707,200,2900.0,2300.0,2.26852,116.258333035,14.73467469215393,9.66509,715.8201088905334,0.994925592608,-0.0139093,2678.0,0.214829,0.0156819
0.751198,-0.00947905,14.850393533706665,200,3000.0,2200.0,2.26157,124.398553046,14.952974081039429,9.59811,730.7788562774658,0.994194634633,-0.00612927,2685.0,0.118667,0.0190275
