ItrTime,MinReturn,Time,LossAfter,LossBefore,MaxReturn,TotalExecTime,MaxKL,AverageReturn,NumTrajs,AveragePolicyStd,Perplexity,ExplainedVariance,MeanKL,Entropy,StdReturn
18.048112869262695,2000.0,522.1361668109894,-0.0302997,-0.0205906,2900.0,17.912849187850952,1.23888,2587.0,200,0.889233,13.4923,0.988960869777,0.0392347,2.60212,167.4246099
17.63335871696472,1900.0,539.7732589244843,-0.0331765,-0.0205922,2900.0,17.54480767250061,2.01477,2588.0,200,0.88468,13.3541,0.988590423113,0.0480657,2.59182,167.200478468
17.227428197860718,1300.0,557.0043964385986,-0.0412871,-0.0352896,2900.0,17.098263263702393,0.235183,2594.0,200,0.880217,13.2173,0.987436565748,0.0141969,2.58153,188.318878501
19.462371587753296,1900.0,576.4703004360199,-0.0407704,-0.0249997,2900.0,19.38190197944641,0.542356,2624.5,200,0.872433,12.9862,0.99193660873,0.0631388,2.56388,144.740284648
20.156375646591187,2200.0,596.6444680690765,-0.0290738,-0.0245309,2900.0,20.091272115707397,0.418793,2641.5,200,0.867013,12.8248,0.992036101187,0.0110285,2.55138,136.483515488
21.349448680877686,2300.0,618.0017030239105,-0.018915,-0.011074,2900.0,21.25153923034668,0.764933,2635.0,200,0.861777,12.6685,0.992714080409,0.0319454,2.53912,132.570735836
22.060033082962036,2200.0,640.0701425075531,-0.0328173,-0.0229009,3000.0,21.920493602752686,0.675225,2635.0,200,0.859563,12.5985,0.992362094775,0.0438963,2.53358,144.82748358
21.575719833374023,1900.0,661.6515135765076,-0.0254581,-0.0222084,2900.0,21.485249996185303,0.227803,2644.0,200,0.854669,12.4551,0.992212260093,0.0139281,2.52213,145.821809068
21.566256999969482,2300.0,683.224458694458,-0.0501037,-0.0241815,2900.0,21.45170760154724,19.3029,2638.0,200,0.849899,12.3176,0.99359741743,0.167132,2.51103,137.680790236
21.65904951095581,2300.0,704.886491060257,0.00488824,0.0110034,2900.0,21.57614803314209,1.14831,2638.0,200,0.844878,12.1695,0.992231088812,0.029686,2.49894,129.444969002
22.002306699752808,2200.0,726.8927736282349,-0.00381577,-0.000809398,2900.0,21.929980754852295,0.174374,2660.5,200,0.847151,12.2367,0.994073093704,0.0126257,2.50444,125.258732231
22.03935194015503,2300.0,748.9498736858368,-0.010691,-0.00613633,2900.0,21.918679237365723,0.653613,2667.5,200,0.847098,12.2317,0.994611835457,0.0296283,2.50403,123.66790206
21.658511877059937,2300.0,770.6142156124115,-0.0080981,-0.00328454,3000.0,21.57384467124939,0.151578,2659.5,200,0.846002,12.1943,0.995146483458,0.0147424,2.50096,117.088641635
22.032010078430176,2200.0,792.6647005081177,-0.0201569,-0.0130626,3000.0,21.90394401550293,0.579913,2671.0,200,0.845216,12.1742,0.993891915766,0.0359574,2.49932,120.660681251
21.512892723083496,2200.0,814.1809456348419,-1.42671,-0.00218197,2900.0,21.399760484695435,846.827,2665.5,200,0.842522,12.095,0.993813044032,7.71662,2.49279,124.738726946
21.861448764801025,2300.0,836.0476746559143,0.0036286,0.0140866,3000.0,21.726480722427368,2.22512,2663.0,200,0.842133,12.0818,0.993899880213,0.0986154,2.4917,120.129097225
21.994343042373657,2300.0,858.0461413860321,-0.0325387,-0.0141763,2900.0,21.893537282943726,1.74701,2670.0,200,0.844913,12.1672,0.994652558323,0.0757442,2.49874,115.758369028
22.170702934265137,2400.0,880.2222111225128,0.0102001,0.0138374,3000.0,22.048029899597168,0.278901,2683.5,200,0.842094,12.0813,0.994298974494,0.0141271,2.49165,115.229119584
22.482768535614014,2200.0,902.709499835968,0.00163593,0.00714493,2900.0,22.353134870529175,0.216929,2665.5,200,0.845054,12.1651,0.994390488842,0.0152295,2.49857,120.6637891
22.70129632949829,2300.0,925.4156250953674,-0.0249493,-0.00779191,2900.0,22.539674282073975,15.4684,2672.5,200,0.846657,12.2087,0.994241191914,0.239241,2.50215,119.973955507
23.604469776153564,2300.0,949.025098323822,-0.0204166,-0.0148855,3000.0,23.5263671875,0.5377,2676.0,200,0.845085,12.1612,0.993700785774,0.0362334,2.49825,130.476051442
