0AverageReturn,1ProcessExecTime,MeanKL,1Perplexity,1AveragePolicyStd,1ExplainedVariance,LossBefore,0MinReturn,1AverageReturn,1NumTrajs,1EnvExecTime,1MaxReturn,0PolicyExecTime,0StdReturn,0AveragePolicyStd,0ExplainedVariance,ComputeUpdatedDistTime,0EnvExecTime,1PolicyExecTime,0MaxReturn,0Perplexity,0ProcessExecTime,0Entropy,1MinReturn,MeanKLBefore,Time,ItrTime,0NumTrajs,1Entropy,dLoss,LossAfter,1StdReturn
120.25,0.36998629570007324,0.00953768473119,17.3421,1.00778,0.0817195568693,-8.14907197277e-10,0.0,194.5,400,32.68052291870117,1400.0,1.8194999694824219,187.922690221,1.0,0.065780438472,4.7096192836761475,18.61247491836548,12.461622476577759,1100.0,17.0795,0.2512228488922119,2.83788,0.0,-2.64553823293e-09,77.33582615852356,77.33582973480225,400,2.85314,0.0109964098083,-0.0109964106232,289.947840137
150.25,0.36766934394836426,0.00740100536495,17.5517,1.01425,0.105313006496,-4.42378134125e-10,0.0,193.25,400,31.80373477935791,1400.0,1.4919381141662598,252.586495086,1.01158,0.0618540433936,0.33207011222839355,17.354501247406006,12.245596647262573,1900.0,17.4708,0.23584556579589844,2.86053,0.0,-6.47851905455e-09,144.54101252555847,66.58124446868896,400,2.86515,0.00835123986471,-0.00835124030709,275.008068063
211.5,0.38834190368652344,0.00687704561278,17.3759,1.00893,0.147082903603,-3.25963089853e-10,0.0,264.75,400,32.588037729263306,1800.0,1.6713027954101562,248.229228738,1.01093,0.112154187227,0.29201626777648926,20.686677932739258,12.410974502563477,1400.0,17.4496,0.27222657203674316,2.85932,0.0,-1.67638103399e-09,215.7931354045868,71.2422788143158,400,2.85509,0.00816149790771,-0.00816149823368,296.786855336
232.75,0.38451409339904785,0.00882135424763,17.3637,1.00861,0.130615682691,2.82307177635e-10,0.0,269.5,400,33.69926643371582,2300.0,1.6628482341766357,260.772769859,1.00887,0.109921758426,0.31710028648376465,19.84650683403015,12.463145732879639,2000.0,17.3768,0.2544057369232178,2.85514,0.0,3.28290972185e-09,287.8992006778717,71.48605346679688,400,2.85438,0.00882303277322,-0.00882303249091,325.453145629
190.75,0.3776869773864746,0.00750043056905,17.3202,1.0075,0.133088574566,-1.92012516997e-09,0.0,256.0,400,33.576282262802124,1600.0,1.6470677852630615,199.472899162,1.00592,0.11366441852,0.3267064094543457,18.9670250415802,12.709215879440308,1100.0,17.2724,0.24987483024597168,2.84911,0.0,2.00234295811e-09,358.6856253147125,70.77802062034607,400,2.85188,0.00805959286008,-0.00805959478021,268.912625215
294.0,0.36997103691101074,0.00772402854636,17.227,1.0048,0.178252174015,1.30385169328e-09,0.0,382.5,400,33.238779067993164,1800.0,1.5628528594970703,300.772339154,1.00675,0.127876782728,0.29335904121398926,16.17260432243347,12.503820419311523,1500.0,17.3022,0.21955037117004395,2.85083,0.0,-1.25728605305e-09,426.59580755233765,67.16264963150024,400,2.84648,0.00908440109342,-0.00908439978957,406.932119647
200.0,0.3828308582305908,0.00916165672243,17.2478,1.00523,0.135362397847,-6.3446337073e-10,0.0,238.25,400,32.491166830062866,1300.0,1.573664903640747,198.746069144,1.0056,0.120992395898,0.3018338680267334,17.911374807357788,12.457897186279297,1100.0,17.2622,0.22626185417175293,2.84852,0.0,4.37721636715e-09,494.78742361068726,68.18371534347534,400,2.84768,0.0104594820354,-0.0104594826698,239.399117584
291.25,0.37087535858154297,0.00986004155129,16.79,0.991783,0.179296574003,-4.4237816188e-10,0.0,370.5,400,33.187784910202026,2200.0,1.6398711204528809,289.56594672,0.996924,0.13101947523,0.3051271438598633,19.117727279663086,12.48339295387268,1500.0,16.9653,0.24930977821350098,2.83117,0.0,3.51574214186e-09,565.7163753509521,70.33114957809448,400,2.82078,0.00988409158308,-0.00988409202546,391.126258387
412.25,0.3887462615966797,0.00991689413786,16.4708,0.982411,0.236537880519,1.79279591173e-09,0.0,503.25,400,33.24205541610718,2100.0,1.5899434089660645,332.001411895,0.990744,0.18278549331,0.33159542083740234,18.523338556289673,12.59489369392395,1800.0,16.7551,0.25052952766418457,2.81871,0.0,-9.22009935067e-09,635.4459121227264,69.7231514453888,400,2.80159,0.01033678737,-0.0103367855772,408.000536152
293.5,0.36985301971435547,0.00892995484173,16.6492,0.987809,0.228939004452,9.08039532455e-10,0.0,412.75,400,33.137070178985596,1600.0,1.6858184337615967,304.97172,0.988116,0.126599704553,0.2896254062652588,19.606194734573364,12.51673698425293,1600.0,16.6651,0.23750734329223633,2.81332,0.0,7.46222106329e-09,706.8196887969971,70.69781994819641,400,2.81236,0.00993526445236,-0.00993526354432,386.215532443
249.0,0.360156774520874,0.00969269126654,16.4245,0.98122,0.199513948821,1.44937084556e-09,0.0,340.0,400,32.9625449180603,1400.0,1.6333703994750977,219.200821166,0.981981,0.142183420323,0.31853652000427246,17.51716685295105,12.516918659210205,1500.0,16.4509,0.23679065704345703,2.80038,0.0,-2.32826605218e-11,775.3174903392792,68.49107050895691,400,2.79877,0.00882081739255,-0.00882081594318,265.4241888
358.0,0.3620610237121582,0.00752201164141,16.0996,0.971759,0.221135684605,-6.5192584664e-10,0.0,461.75,400,32.271244287490845,2100.0,1.6525180339813232,307.710903284,0.970776,0.162411130278,0.3103036880493164,19.240482568740845,12.439748287200928,1600.0,16.0688,0.23931670188903809,2.77688,0.0,2.02562611129e-09,845.4216272830963,69.41151523590088,400,2.7788,0.00749429715797,-0.0074942978099,375.448981221
