MaxKL,Entropy,Perplexity,TotalExecTime,MaxReturn,Time,LossBefore,MinReturn,ExplainedVariance,StdReturn,NumTrajs,AverageReturn,ItrTime,AveragePolicyStd,MeanKL,LossAfter
0.983325,2.83788,17.0795,138.87647557258606,1500.0,139.27405548095703,0.00357202,0.0,0.0592586714361,64.7965855582,2000,4.05,139.27406072616577,1.0,0.00212342,0.00246231
4.67879,2.84145,17.1406,140.50605368614197,1800.0,280.1908595561981,0.000591256,0.0,0.123277738992,108.163198455,2000,11.65,140.91295504570007,1.00179,0.00179618,-0.000927246
2.43126,2.84174,17.1457,139.81084275245667,1900.0,420.35552883148193,0.000718907,0.0,0.187413396121,162.318198302,2000,24.45,140.16140222549438,1.00194,0.00271622,-0.00145904
0.661217,2.8421,17.1518,139.98411440849304,2100.0,560.7128024101257,-0.00167988,0.0,0.179211834409,156.385389343,2000,26.9,140.35294389724731,1.00212,0.00199764,-0.00327136
3.3829,2.84126,17.1374,140.09940195083618,2000.0,701.1725103855133,-0.00661944,0.0,0.250449891729,240.047448435,2000,54.15,140.45552372932434,1.0017,0.0049809,-0.0100925
9.07871,2.83795,17.0808,139.78584384918213,2100.0,841.309504032135,0.00410455,0.0,0.30044032611,310.991474964,2000,90.55,140.13214778900146,1.00004,0.0111819,-0.00160867
2.7312,2.84001,17.1159,140.15974235534668,2200.0,981.8286426067352,-0.00689321,0.0,0.355786181441,388.053488581,2000,139.3,140.51561498641968,1.00107,0.00637245,-0.0110714
2.96766,2.83656,17.057,128.03848028182983,2400.0,1110.2485783100128,-0.00865383,0.0,0.442654379848,504.846749024,2000,232.4,128.41632771492004,0.99935,0.0118934,-0.014993
1.92837,2.83223,16.9833,101.78234052658081,2500.0,1212.3884859085083,-0.00363516,0.0,0.49863466613,608.591948682,2000,332.8,102.13679456710815,0.997192,0.0156892,-0.0120106
5.08633,2.83042,16.9525,101.33507061004639,2700.0,1314.0644967556,-0.0116311,0.0,0.582862113639,737.744291743,2000,484.4,101.67278218269348,0.996286,0.0115255,-0.0179022
22.8278,2.8246,16.8542,101.97396278381348,2700.0,1416.358867406845,-0.0149263,0.0,0.632268772209,806.553518063,2000,608.15,102.2905125617981,0.99339,0.00975445,-0.0240974
3.37174,2.81714,16.7289,93.09701466560364,2800.0,1509.78013920784,-0.0102586,0.0,0.665826755425,885.158268334,2000,752.2,93.4175853729248,0.989691,0.0122545,-0.0158733
1.55168,2.81201,16.6433,90.09124040603638,2900.0,1600.2302377223969,-0.0160577,0.0,0.694986718997,939.481085493,2000,902.3,90.44760799407959,0.987158,0.0154928,-0.0234004
3.91336,2.80398,16.5102,90.04925656318665,2900.0,1690.5969519615173,-0.0139446,0.0,0.715120369916,971.570603456,2000,1046.75,90.36385321617126,0.983197,0.0152516,-0.0210551
0.79408,2.79701,16.3955,89.84751582145691,2900.0,1780.7549028396606,-0.0134847,0.0,0.723173610899,992.774535078,2000,1171.65,90.15501379966736,0.979774,0.00901349,-0.0186325
2.73414,2.79026,16.2853,89.918142080307,3000.0,1870.9798090457916,-0.016877,0.0,0.743119605764,997.230484893,2000,1294.4,90.22240686416626,0.976475,0.0197699,-0.0256497
4.08741,2.78183,16.1485,89.69039344787598,2900.0,1961.0122032165527,-0.0151478,0.0,0.765032631904,961.739921964,2000,1498.85,90.0294394493103,0.972366,0.0178942,-0.0218194
1.06715,2.77425,16.0266,89.49304270744324,2900.0,2050.8244552612305,-0.0181747,0.0,0.776245532989,907.876201638,2000,1655.55,89.8096809387207,0.968689,0.0161698,-0.0252697
23.4471,2.76516,15.8816,89.74439525604248,2900.0,2140.963896036148,-0.016124,0.0,0.804599216755,854.317528791,2000,1803.4,90.13570404052734,0.964298,0.0208489,-0.0248342
14.7245,2.7571,15.7541,89.53136229515076,2900.0,2230.8333399295807,-0.0209828,0.0,0.817462939429,772.655096081,2000,1931.45,89.86583304405212,0.960419,0.0276461,-0.0307998
