AverageReturn,ExplainedVariance,LossBefore,Perplexity,MeanKL,LossAfter,TotalExecTime,ItrTime,Time,MinReturn,AveragePolicyStd,StdReturn,MaxReturn,MaxKL,NumTrajs,Entropy
1835.0,0.539433036895,-0.020722,14.5788,0.23905,-0.0832973,15.324082374572754,15.42642855644226,15.426421403884888,0.0,0.92455,3467.89201101,11600.0,4.90604,20,2.67957
34300.0,0.840074217501,-0.0101058,14.2798,0.424239,-0.0929482,15.074667692184448,15.152698755264282,30.588998556137085,28500.0,0.915086,2961.58741218,40500.0,1.6996,20,2.65884
32430.0,0.759842159104,-0.00289543,14.2078,0.472762,-0.0766922,14.927519083023071,14.985123634338379,45.60080075263977,22700.0,0.912663,3763.92082807,38500.0,1.43804,20,2.65379
36830.0,0.879398467663,-0.0228646,14.1872,0.366391,-0.0944697,15.092620849609375,15.170170783996582,60.78444004058838,33700.0,0.911944,2279.71489446,40700.0,2.63242,20,2.65234
36850.0,0.88918576148,-0.00434887,14.026,0.282774,-0.0495845,15.304060459136963,15.45616626739502,76.26060318946838,32600.0,0.906883,2609.31025369,41300.0,1.30646,20,2.64091
40230.0,0.946038504765,-0.00490135,13.9955,0.199986,-0.0427233,16.78013324737549,16.84835124015808,93.1169102191925,37000.0,0.90583,1635.87896863,43000.0,0.584958,20,2.63874
39725.0,0.957175267007,-0.0128428,13.9612,0.13433,-0.0389117,16.721895694732666,16.80379891395569,109.9313952922821,30600.0,0.904702,2652.71087757,42700.0,0.985975,20,2.63629
