1AverageReturn,0AveragePolicyStd,0EnvExecTime,0AverageReturn,ItrTime,0Perplexity,1MaxReturn,0StdReturn,Time,0PolicyExecTime,ComputeUpdatedDistTime,1StdReturn,MeanKLBefore,dLoss,1PolicyExecTime,LossAfter,0ProcessExecTime,LossBefore,1Perplexity,0MaxReturn,0NumTrajs,1MinReturn,1EnvExecTime,1Entropy,0MinReturn,1ProcessExecTime,0ExplainedVariance,MeanKL,1ExplainedVariance,1AveragePolicyStd,1NumTrajs,0Entropy
139.1,1.0,250.37717461585999,164.35,1544.7719733715057,17.0794,12800.0,1070.03928783,1544.7719666957855,409.1798355579376,1.8428380489349365,938.291633769,5.92993765203e-10,0.0010324062896,590.0948281288147,-0.00103240530007,12.561809062957764,9.89530235529e-10,17.0894,12100.0,2000,0.0,237.06614136695862,2.83846,0.0,10.627806186676025,0.0444340061434,0.00822024140507,0.0417349638532,1.00029,2000,2.83788
525.6,0.998373,156.20411133766174,366.2,870.8587620258331,17.0239,15500.0,1588.47649023,2421.2139887809753,244.11761212348938,0.26570749282836914,2000.52359146,-1.25146304431e-09,0.00152472752961,284.60834074020386,-0.00152472860646,6.823308944702148,-1.0768417269e-09,17.0193,16600.0,2000,0.0,148.77353620529175,2.83435,0.0,6.318259954452515,0.0798979477429,0.00924352649599,0.128705129419,0.998235,2000,2.83462
858.65,0.993459,150.44782042503357,775.75,824.6947977542877,16.8568,20100.0,2770.70513363,3250.8270456790924,206.5279746055603,0.27483534812927246,3017.85605646,-2.67755151384e-08,0.00120347202756,281.62439608573914,-0.00120347226039,6.6105053424835205,-2.32830643654e-10,16.8195,19700.0,2000,0.0,149.26853013038635,2.82254,0.0,6.424843072891235,0.107544609393,0.0069706463255,0.126059816152,0.992361,2000,2.82475
2002.85,1.00037,148.88437414169312,1817.2,819.1067900657654,17.092,21200.0,4434.38881471,4074.3062217235565,203.0942165851593,0.2874305248260498,4804.5662528,7.56700646587e-10,0.001465557958,280.3515274524689,-0.00146555737592,6.629718780517578,5.82076609135e-10,17.0544,20500.0,2000,0.0,150.0583529472351,2.83641,0.0,6.463226079940796,0.105456305821,0.00836778152734,0.116358773987,0.999267,2000,2.83861
4248.6,0.998942,148.88265752792358,2912.75,817.1081719398499,17.0433,22300.0,5700.67824364,4896.280890226364,200.10467171669006,0.2702498435974121,7162.62438217,5.89805981832e-17,0.00158440411178,280.7706928253174,-0.00158440379892,6.642840623855591,3.1286617741e-10,17.0021,20800.0,2000,0.0,150.2842562198639,2.83334,0.0,6.589741945266724,0.073711699584,0.00691088102758,0.133083293495,0.997736,2000,2.83576
6171.35,0.996109,148.62554454803467,3377.8,815.4836933612823,16.9468,22400.0,6123.13295299,5716.24831700325,200.17682099342346,0.2596445083618164,8584.29345826,-2.32831337543e-10,0.00205611833371,279.99986457824707,-0.00205611810088,6.672949314117432,2.32830643654e-10,16.8889,21400.0,2000,0.0,149.99715280532837,2.82666,0.0,6.531372308731079,0.0559690826631,0.00778917875141,0.173573057968,0.994408,2000,2.83008
7694.35,0.992544,149.14028096199036,3585.85,822.9878294467926,16.8257,23000.0,6485.39472796,6543.976299285889,202.4038257598877,0.27304863929748535,9507.20953159,5.82075554423e-10,0.00179818025208,282.90323305130005,-0.00179817993194,6.722527980804443,3.20142135024e-10,16.7902,21700.0,2000,0.0,151.5830271244049,2.82079,0.0,6.5426247119903564,0.0510640691965,0.00693349447101,0.213170645763,0.991495,2000,2.82291
8600.15,0.987649,149.183748960495,3160.1,859.685304403305,16.6602,23400.0,6010.25523501,7408.63699054718,206.1381049156189,0.2802765369415283,10140.4548703,2.56113952268e-09,0.00219662991003,300.03002166748047,-0.00219662999734,6.393576383590698,-8.73114913702e-11,16.6351,21700.0,2000,0.0,155.51803159713745,2.81152,0.0,6.38702917098999,0.0571503185785,0.00699874619022,0.243809610927,0.986906,2000,2.81302
8516.15,0.978407,154.93163657188416,3376.45,880.6929686069489,16.3497,23300.0,6278.20518918,8294.185937643051,227.10171914100647,0.24661040306091309,10019.6738558,-2.32830599245e-09,0.00256486886065,303.6831750869751,-0.00256486865692,6.596407890319824,2.03726813197e-10,16.3131,22100.0,2000,0.0,157.19851088523865,2.79197,0.0,6.422319412231445,0.0548479487488,0.00651256879792,0.270567036828,0.977312,2000,2.79421
10301.05,0.969643,155.29881596565247,2533.45,901.0896799564362,16.0582,23600.0,5302.05583689,9199.779832839966,235.885178565979,0.25069594383239746,10700.5959599,4.65660260351e-10,0.00190596879111,313.2266139984131,-0.00190596899483,6.633148908615112,-2.03726813197e-10,16.0452,21900.0,2000,0.0,158.76270604133606,2.77541,0.0,6.56866717338562,0.0785938427143,0.0077793658711,0.349241242603,0.969252,2000,2.77622
10766.3,0.955049,155.40700602531433,2374.0,895.2487087249756,15.5778,23800.0,4966.19512303,10099.592249155045,236.52375531196594,0.26369285583496094,11031.9655687,1.86264226265e-09,0.00166670256294,307.8165729045868,-0.00166670326144,6.532503843307495,-6.98491930962e-10,15.561,22100.0,2000,0.0,157.90009808540344,2.74477,0.0,6.545491456985474,0.0658174915036,0.00807780679315,0.39230296433,0.95454,2000,2.74585
