0AveragePolicyStd,ComputeUpdatedDistTime,1NumTrajs,0ProcessExecTime,0StdReturn,1EnvExecTime,0Entropy,0MinReturn,0NumTrajs,1AveragePolicyStd,1MinReturn,0EnvExecTime,0MaxReturn,1AverageReturn,1StdReturn,0Perplexity,ItrTime,0PolicyExecTime,0ExplainedVariance,1MaxReturn,1PolicyExecTime,LossAfter,LossBefore,MeanKLBefore,0AverageReturn,1ExplainedVariance,1Perplexity,MeanKL,Time,1ProcessExecTime,dLoss,1Entropy
1.0,1.1378233432769775,2000,6.29559326171875,912.100596152,156.5222840309143,2.83788,0.0,2000,0.99979,0.0,155.56609392166138,16200.0,165.65,1161.91009872,17.0794,790.7241334915161,180.72853994369507,0.0523133165243,16400.0,259.97021079063416,-0.00101787911262,-1.35332811624e-09,-2.75030909158e-09,125.05,0.0675685248762,17.0722,0.00607407558709,790.7241299152374,6.074131488800049,0.0010178777593,2.83745
0.999483,0.24875307083129883,2000,6.341600179672241,1081.65502703,156.72785139083862,2.83679,0.0,2000,0.999242,0.0,156.00373435020447,12700.0,256.9,1375.33719138,17.0609,793.1594920158386,178.24211764335632,0.0632649353107,17500.0,265.3477232456207,-0.00105325691402,3.41970007867e-10,-2.21189533356e-09,185.95,0.0791355572778,17.0526,0.00577162578702,1588.3648092746735,6.105724573135376,0.00105325725599,2.8363
0.993852,0.2582371234893799,2000,6.393386363983154,994.232965657,158.46745705604553,2.82555,0.0,2000,0.993507,0.0,156.12183260917664,13000.0,252.55,1413.85059235,16.8702,796.5122284889221,175.59380435943604,0.0542850484793,18900.0,269.7540183067322,-0.00104160176124,2.91038304567e-10,7.56698093074e-10,150.9,0.0746481760208,16.8583,0.00715021649376,2389.651913881302,6.3094165325164795,0.00104160205228,2.82484
0.997879,0.23791956901550293,2000,6.540039539337158,1589.33051865,157.27940917015076,2.83355,0.0,2000,0.997724,0.0,156.142507314682,16800.0,275.3,1526.43699837,17.0058,793.5092573165894,175.95968651771545,0.0918766876703,16900.0,267.18241453170776,-0.00158504024148,-4.07453626394e-10,-1.89757241031e-08,314.95,0.0784720427076,17.0001,0.00837303511798,3187.878939151764,6.285817384719849,0.00158503983403,2.83322
0.998865,0.2602555751800537,2000,6.205215692520142,1887.92107621,155.85735440254211,2.83536,0.0,2000,0.998408,0.0,153.87842273712158,17900.0,394.25,1652.78006326,17.0365,783.8335976600647,173.79257011413574,0.0804076934139,14500.0,264.1065630912781,-0.00164445920382,2.03726813197e-10,1.6298126182e-09,454.9,0.0705791682834,17.021,0.00890066567808,3976.488186597824,6.003087043762207,0.00164445940754,2.83445
0.996155,0.23940324783325195,2000,6.166973114013672,2285.55692119,155.77686023712158,2.82938,0.0,2000,0.996247,0.0,154.51439118385315,19100.0,406.1,1880.25604373,16.935,785.6845116615295,173.7174916267395,0.0986773573508,18500.0,265.8303573131561,-0.00145805987995,-2.01907823794e-10,-2.84053136568e-08,536.6,0.0759951692965,16.9381,0.00835599657148,4766.606486797333,5.979214191436768,0.00145805967804,2.82956
0.988647,0.23874139785766602,2000,6.149445533752441,2172.6785105,154.94978499412537,2.81419,0.0,2000,0.987879,0.0,154.43778228759766,18900.0,516.65,2145.79071149,16.6797,780.5548803806305,173.3681423664093,0.0796062089662,20500.0,260.29030108451843,-0.00136635720264,4.51109372079e-10,-9.31321464392e-10,494.7,0.0872736048904,16.6537,0.00648670131341,5551.774656057358,5.95673394203186,0.00136635765375,2.81263
0.99501,0.25731873512268066,2000,5.981439828872681,2571.92554276,147.88898539543152,2.82714,0.0,2000,0.99474,0.0,147.61155939102173,20700.0,627.75,2448.60673394,16.897,724.2370102405548,155.75385761260986,0.0909397759868,18800.0,237.95279049873352,-0.00167235219851,-4.65661287308e-10,9.31322019504e-10,677.55,0.0867436859732,16.8871,0.00986975897104,6280.142221212387,5.7433271408081055,0.00167235173285,2.82655
0.995622,0.3695492744445801,2000,5.929588556289673,2827.59929092,148.98125648498535,2.8282,0.0,2000,0.996124,0.0,147.72593927383423,20000.0,990.1,3187.64050514,16.915,727.3400292396545,155.34471130371094,0.0875745117092,20200.0,240.28546667099,-0.00269390270114,3.34694050252e-10,-5.58793411543e-09,781.5,0.102197267737,16.9303,0.00909660663456,7011.676812171936,5.7859954833984375,0.00269390303583,2.8291
0.998587,0.2569437026977539,2000,5.979857444763184,3084.49572499,148.9162678718567,2.83316,0.0,2000,0.998916,0.0,147.57191610336304,20600.0,979.1,3224.97026188,16.9992,728.9818911552429,155.89664030075073,0.0804451061245,21400.0,241.54427027702332,-0.00157814403065,6.98491930962e-10,-1.2490009027e-16,869.65,0.085034980695,17.0113,0.00622627511621,7744.865105867386,5.781919002532959,0.00157814472914,2.83388
