1AverageReturn,0ProcessExecTime,1AveragePolicyStd,0Entropy,dLoss,1Entropy,Time,LossBefore,1StdReturn,0MaxReturn,ComputeUpdatedDistTime,ItrTime,0StdReturn,MeanKL,1MinReturn,1Perplexity,0AverageReturn,0MinReturn,0NumTrajs,1NumTrajs,1MaxReturn,0ExplainedVariance,0EnvExecTime,0PolicyExecTime,LossAfter,MeanKLBefore,1ProcessExecTime,0Perplexity,1PolicyExecTime,1EnvExecTime,0AveragePolicyStd,1ExplainedVariance
103.0625,0.8897569179534912,0.999568,2.83788,0.00543638656382,2.83699,117.3224196434021,5.82076609135e-10,350.423844927,1900.0,0.6998121738433838,117.32242131233215,208.286123818,0.00818089116365,0.0,17.0644,42.625,0.0,1600,1600,2300.0,0.0649271882103,22.653766870498657,28.331281423568726,-0.00543638598174,-2.59023646976e-09,0.8578870296478271,17.0795,36.4232861995697,22.510632753372192,1.0,0.162681031307
195.6875,0.9061963558197021,0.992715,2.8274,0.00517504615709,2.82323,238.59348249435425,4.65661287308e-10,530.742548081,2200.0,0.11120295524597168,118.46302604675293,292.663142271,0.00754343392327,0.0,16.8311,76.1875,0.0,1600,1600,2800.0,0.105037723504,22.729663610458374,28.012748956680298,-0.00517504569143,-8.14907752389e-10,0.8742668628692627,16.9015,38.775965213775635,22.768085956573486,0.994791,0.21939242457
187.4375,0.9070093631744385,0.988794,2.82191,0.00495936500374,2.81524,358.45496129989624,1.51339918375e-09,511.528037935,2400.0,0.10636043548583984,116.94769811630249,286.83422232,0.00647803209722,0.0,16.6972,72.9375,0.0,1600,1600,2700.0,0.0753445869383,22.635584592819214,26.42923378944397,-0.00495936349034,-4.65661204041e-10,0.8784754276275635,16.8089,38.85429525375366,22.85686445236206,0.992077,0.173748730474
208.8125,0.8828396797180176,0.9853,2.81234,0.00481676554773,2.80823,477.86471915245056,1.16415321827e-10,528.846470957,2400.0,0.09079837799072266,116.56618022918701,366.912663101,0.00950014032423,0.0,16.5805,109.6875,0.0,1600,1600,2800.0,0.112681798548,22.57572102546692,25.18200421333313,-0.00481676543131,4.65661675886e-10,0.8723511695861816,16.6489,40.048969984054565,22.770472526550293,0.987329,0.159504346821
235.375,0.9610104560852051,0.973796,2.79439,0.00546635326464,2.7847,603.0169281959534,1.16415321827e-10,583.672518948,2500.0,0.0982813835144043,122.39043116569519,377.655054042,0.00922926701605,0.0,16.195,117.1875,0.0,1600,1600,2800.0,0.120886323857,23.607969999313354,27.397868633270264,-0.00546635314822,-9.77888703346e-09,0.9163734912872314,16.3527,41.95960831642151,23.227080821990967,0.978517,0.170315472885
261.3125,0.9225625991821289,0.961026,2.76166,0.00573327078018,2.75824,723.4729001522064,-3.49245965481e-10,616.20575082,2500.0,0.10297942161560059,117.37174558639526,428.025243853,0.00758040230721,0.0,15.772,147.375,0.0,1600,1600,2700.0,0.0851589306615,22.860262393951416,26.07958674430847,-0.00573327112943,-2.32830488223e-09,0.8799643516540527,15.8261,39.44455099105835,22.843384265899658,0.962676,0.205284691285
353.0625,0.9281301498413086,0.940823,2.72439,0.00535438203951,2.71578,844.7219207286835,-9.89530235529e-10,737.023148275,2500.0,0.10115408897399902,118.35615921020508,422.950938164,0.00831914693117,0.0,15.1163,150.0625,0.0,1600,1600,2800.0,0.0958742203722,23.100794792175293,26.189632892608643,-0.00535438302904,-1.86264381696e-09,0.8970320224761963,15.2471,40.02750778198242,22.980073928833008,0.94487,0.204819302086
379.0625,0.9353423118591309,0.938256,2.71661,0.00520712241996,2.71025,966.14936876297,1.97906047106e-09,771.26057276,2400.0,0.11095666885375977,118.5245509147644,444.571313001,0.00862806197256,0.0,15.0331,159.6875,0.0,1600,1600,2900.0,0.0803253541165,22.97300434112549,25.89332413673401,-0.0052071204409,-3.72528363712e-09,0.9016411304473877,15.1289,40.28661370277405,23.155625104904175,0.941197,0.234327782828
339.875,0.9179749488830566,0.927042,2.69303,0.00382332352456,2.68627,1086.2768442630768,1.51339918375e-09,714.587282545,2500.0,0.12076401710510254,117.24673843383789,480.843984573,0.00718073686585,0.0,14.6769,178.75,0.0,1600,1600,2700.0,0.0960510495969,22.826612949371338,26.043862342834473,-0.00382332201116,-1.86264370594e-09,0.8941924571990967,14.7764,39.07701086997986,22.970478773117065,0.930162,0.20007531887
370.5,0.9203324317932129,0.912069,2.65812,0.00417929748073,2.65356,1205.9315869808197,-4.65661287308e-10,751.825943952,2700.0,0.1067049503326416,116.582763671875,513.23725934,0.00822200160474,0.0,14.2045,199.875,0.0,1600,1600,2800.0,0.102859305586,22.732091665267944,24.14708399772644,-0.00417929794639,0.0,0.9015593528747559,14.2694,40.471529960632324,23.08112406730652,0.914137,0.176863252379
