LossBefore,ExplainedVariance,NumTrajs,MaxReturn,Entropy,TotalExecTime,AverageReturn,MaxKL,MinReturn,Perplexity,AveragePolicyStd,StdReturn,LossAfter,Time,ItrTime,MeanKL
-0.0205801,0.993064073385,200,2900.0,2.5148,31.89369559288025,2663.5,2.06472,2200.0,12.3641,0.85092,138.628099605,-0.0290614,990.8552372455597,32.17710518836975,0.0495893
-0.0245315,0.994538410307,200,3000.0,2.50451,30.866241455078125,2672.5,1.31508,2300.0,12.2375,0.846514,128.42799539,-0.0287865,1022.0896255970001,31.226819276809692,0.0277335
0.00705744,0.995168460135,200,3000.0,2.49224,34.89593720436096,2668.0,0.677541,2400.0,12.0883,0.841329,117.796434581,-0.00198816,1057.2390913963318,35.1386444568634,0.0270313
-0.0071317,0.99370827185,200,2900.0,2.49577,31.366959810256958,2663.0,0.373872,2200.0,12.1311,0.842803,129.348366824,-0.0176416,1088.9279704093933,31.658100128173828,0.037404
-0.0177183,0.993857652329,200,2900.0,2.4922,33.43008351325989,2665.5,0.79221,2100.0,12.0879,0.841291,129.459453112,-0.022572,1122.6623561382294,33.717517375946045,0.0163541
-0.0169039,0.994312431579,200,3000.0,2.48334,31.63646388053894,2669.5,0.599469,2300.0,11.9813,0.837589,126.963577454,-0.0249125,1154.4758002758026,31.80076026916504,0.0297589
-0.00728683,0.994683645206,200,3000.0,2.47489,33.820395708084106,2685.0,0.0274553,2200.0,11.8804,0.834048,119.058808998,-0.00999198,1188.5473492145538,34.0644736289978,0.00372306
-0.0176853,0.994826519984,200,2900.0,2.47125,31.18389582633972,2682.0,1.56829,2000.0,11.8372,0.832533,121.967208708,-0.0285894,1220.0122232437134,31.458564519882202,0.0515121
-0.0143029,0.994099650922,200,2900.0,2.46241,34.07284379005432,2665.5,2.31206,2300.0,11.733,0.828861,123.124936548,-0.019397,1254.3982818126678,34.36271619796753,0.0378977
-0.0052554,0.994525506836,200,3000.0,2.45525,32.088367223739624,2672.5,0.244536,2300.0,11.6494,0.825906,124.874937437,-0.00854184,1286.8055679798126,32.39380240440369,0.00904616
-0.00624202,0.994555663042,200,3000.0,2.45263,33.61667537689209,2673.0,2.03076,2300.0,11.6188,0.824822,121.946709673,-0.0215739,1320.729706287384,33.90955638885498,0.0971602
0.0153594,0.994664489465,200,3000.0,2.44951,30.372700929641724,2681.0,0.721634,2300.0,11.5826,0.823536,114.188440746,0.00911593,1351.4701523780823,30.72917652130127,0.0323829
0.00855564,0.994980963813,200,2900.0,2.45719,33.391395568847656,2681.0,0.177656,2400.0,11.6719,0.8267,113.30931118,0.00357072,1385.1561951637268,33.67374777793884,0.0164121
0.00475918,0.994859654592,200,3000.0,2.46146,30.936874389648438,2678.5,0.0432161,2300.0,11.722,0.828453,117.421250206,0.00243953,1416.444874048233,31.265307426452637,0.00283287
0.00282609,0.993970106957,200,3000.0,2.46384,32.21237063407898,2677.5,1152.29,2200.0,11.7499,0.829436,129.783473524,-1.70387,1448.9423463344574,32.49106764793396,10.2704
-0.00832375,0.994489737476,200,3000.0,2.46526,34.564377784729004,2682.0,0.312196,2300.0,11.7665,0.830017,126.0,-0.0123673,1483.8599262237549,34.8996262550354,0.0190699
0.00900486,0.995034922432,200,3000.0,2.46109,32.52638292312622,2693.0,0.216667,2300.0,11.7176,0.828291,121.45369488,0.00454376,1516.685506105423,32.82057785987854,0.0101021
-0.00112945,0.994943494734,200,3000.0,2.4656,32.30541276931763,2691.5,1.17291,2300.0,11.7705,0.830161,122.383618185,-0.00888112,1549.306571006775,32.60959815979004,0.0625533
0.00814275,0.995607939116,200,3000.0,2.46503,32.687317848205566,2695.0,1.52329,2400.0,11.7638,0.829923,114.782402832,-0.00256034,1582.31640625,33.00525379180908,0.0571316
-0.00425787,0.994988686564,200,2900.0,2.4691,32.879260778427124,2684.0,0.137501,2200.0,11.8118,0.831614,116.807534004,-0.0067227,1615.5078279972076,33.17713189125061,0.00529509
-0.00521555,0.994810369874,200,2900.0,2.46697,33.539610385894775,2682.5,0.415582,2300.0,11.7867,0.83073,121.423844446,-0.0111127,1649.2952783107758,33.77980136871338,0.0193175
