Perplexity,StdReturn,Time,MaxKL,AverageReturn,MeanKL,AveragePolicyStd,LossBefore,Entropy,MinReturn,LossAfter,ExplainedVariance,NumTrajs,TotalExecTime,MaxReturn,ItrTime
18.3177,262.571418856,5.966229200363159,42.077,342.5,0.66507,1.03594,0.016361,2.90787,0.0,-0.0551163,0.16641176279,40,5.883843898773193,800.0,5.966235876083374
18.6199,556.501347707,12.690216779708862,13.8783,1007.5,0.346139,1.04496,0.00293136,2.92423,100.0,-0.0428651,0.306168466468,40,6.655582904815674,2100.0,6.71831488609314
18.6472,1017.8132196,17.606393337249756,13.1252,2117.5,0.096885,1.04576,-0.0412132,2.9257,300.0,-0.0729456,0.369426713956,40,4.8755784034729,3900.0,4.90764307975769
18.2669,720.203964166,22.446046829223633,2.48524,1867.5,0.0397549,1.03495,-0.0136067,2.90509,500.0,-0.0315955,0.387445164656,40,4.7767369747161865,3200.0,4.833933353424072
18.143,728.590248356,28.960356950759888,8.35995,2137.5,0.0759997,1.03159,-0.00704968,2.89829,900.0,-0.0341439,0.497819632386,40,6.451657056808472,4000.0,6.499568939208984
18.0792,659.469483752,35.11253333091736,14.861,2260.0,0.209213,1.0294,-0.0223104,2.89476,600.0,-0.0786397,0.571844737982,40,6.092889308929443,4300.0,6.136657238006592
17.8786,843.563868359,41.37041783332825,40.0739,2770.0,0.348033,1.02334,-0.00428435,2.88361,700.0,-0.0532991,0.593109756751,40,6.205376148223877,4600.0,6.2502055168151855
