0EnvExecTime,1Perplexity,1ProcessExecTime,1ExplainedVariance,0ExplainedVariance,dLoss,LossBefore,1MaxReturn,1StdReturn,0AverageReturn,ItrTime,0MaxReturn,0ProcessExecTime,1MinReturn,Time,0AveragePolicyStd,1NumTrajs,1EnvExecTime,0Perplexity,LossAfter,MeanKLBefore,1Entropy,0NumTrajs,1PolicyExecTime,0PolicyExecTime,1AveragePolicyStd,1AverageReturn,0MinReturn,0StdReturn,MeanKL,0Entropy,ComputeUpdatedDistTime
11.474586486816406,17.3179,0.3745856285095215,0.206706086277,0.0921639103959,0.0062625349683,-1.19234755402e-09,2500.0,361.072620812,42.125,44.2244827747345,1800.0,0.3750801086425781,0.0,218.6996123790741,1.00792,800,12.690585613250732,17.3506,-0.00626253616065,1.08411746247e-09,2.85174,800,12.90233826637268,3.2289655208587646,1.00702,98.75,0.0,203.317447296,0.00621308665723,2.85363,0.3348503112792969
12.925637006759644,17.1714,0.45214056968688965,0.23515709291,0.0861581646481,0.00805830274112,6.36646291241e-10,2500.0,475.452350399,50.375,50.20929169654846,1900.0,0.4420433044433594,0.0,270.1277759075165,0.99885,800,14.997174978256226,17.0393,-0.00805830210447,-1.35332733908e-09,2.84325,800,14.526200532913208,3.713573932647705,1.00275,172.25,0.0,220.850309882,0.00826664548367,2.83553,0.2442922592163086
10.721748113632202,16.7286,0.36124253273010254,0.20339118674,0.0979102037059,0.00461735001591,-1.09139364213e-09,2600.0,486.549056494,55.5,42.33686876296997,2100.0,0.3727133274078369,0.0,313.6826238632202,0.993898,800,12.406655550003052,16.8712,-0.0046173511073,-2.99769364887e-09,2.81712,800,12.39278531074524,3.2396581172943115,0.989764,173.875,0.0,255.332626196,0.00677978806198,2.82561,0.2294328212738037
11.053873300552368,16.5427,0.31920361518859863,0.293914565144,0.0765380303209,0.00496399766416,-8.73114913702e-11,2900.0,626.736475223,70.625,39.865999937057495,2100.0,0.3789854049682617,0.0,355.0875642299652,0.985018,800,10.78133773803711,16.5702,-0.00496399775147,-3.14321368933e-09,2.80595,800,11.298210144042969,3.2530665397644043,0.98428,266.625,0.0,277.713178252,0.00708857923746,2.80761,0.25168633460998535
11.456074953079224,16.0823,0.3316924571990967,0.335034215073,0.139026491598,0.00609658955364,2.03726813197e-09,2800.0,739.898208793,150.5,40.27253031730652,2200.0,0.40486979484558105,0.0,396.5229244232178,0.971827,800,10.602070093154907,16.1294,-0.00609658751637,-1.4551908567e-09,2.77772,800,11.126797199249268,3.348822832107544,0.970521,427.625,0.0,392.746419462,0.00711614917964,2.78064,0.27452754974365234
11.319069623947144,15.5654,0.3215310573577881,0.365603211434,0.0683577126928,0.0065970077485,1.23691279441e-10,2900.0,813.993156835,91.125,39.99522066116333,2000.0,0.4010803699493408,0.0,437.6357088088989,0.961169,800,10.609232187271118,15.7779,-0.0065970076248,-1.74622893923e-08,2.74505,800,11.154844999313354,3.2822906970977783,0.954767,470.375,0.0,293.740930711,0.00861101970077,2.75861,0.25638675689697266
11.129807949066162,15.4431,0.34650611877441406,0.237536640574,0.0959550613244,0.00652683438966,5.82076609135e-11,2900.0,653.183310794,107.125,40.683239221572876,1900.0,0.39783287048339844,0.0,479.90568494796753,0.953332,800,11.035703182220459,15.5217,-0.00652683433145,2.09547579288e-09,2.73716,800,11.593111276626587,3.3087689876556396,0.951032,338.75,0.0,322.392205822,0.00810749549419,2.74224,0.23610663414001465
11.11465859413147,15.3453,0.329301118850708,0.270796006505,0.0969845822938,0.0063464376326,-1.37879396789e-09,2800.0,727.784212095,90.25,40.617730140686035,1800.0,0.37943077087402344,0.0,521.7337605953217,0.947908,800,11.058882713317871,15.3449,-0.00634643901139,1.04773811849e-09,2.73081,800,11.28170132637024,3.2550692558288574,0.947955,378.375,0.0,295.304821329,0.00865573901683,2.73078,0.24404144287109375
11.327890634536743,15.1961,0.31259584426879883,0.321999245617,0.0805439753133,0.00536307830771,1.38243194669e-09,2900.0,796.961799194,96.625,39.7393434047699,2100.0,0.4011261463165283,0.0,562.6464314460754,0.945301,800,10.493279218673706,15.2617,-0.00536307692528,2.3283092121e-10,2.72104,800,11.11899995803833,3.2626140117645264,0.943392,448.625,0.0,328.102284928,0.00739146675915,2.72535,0.25267553329467773
11.966511964797974,14.7663,0.2939627170562744,0.351056119319,0.127408204697,0.0079239452316,4.1036400944e-09,2800.0,786.04373288,114.625,38.35622262954712,2000.0,0.4104282855987549,0.0,602.631453037262,0.933381,800,9.495888471603394,14.8794,-0.00792394112796,7.21775084145e-09,2.69235,800,10.010806560516357,3.4280049800872803,0.929876,535.5,0.0,359.824414646,0.00809091422707,2.69998,0.23921489715576172
