MaxReturn,Entropy,AverageReturn,MeanKL,MaxKL,Perplexity,ItrTime,MinReturn,StdReturn,LossBefore,Time,TotalExecTime,LossAfter,NumTrajs,AveragePolicyStd,ExplainedVariance
600.0,2.7007,105.0,0.203229,1.52361,14.8902,19.654008150100708,0.0,193.584606826,-0.00437102,19.65374755859375,19.522776126861572,-0.0427688,20,0.935103,0.218691035621
800.0,2.69633,605.0,0.00729565,0.0714259,14.8252,18.936943531036377,500.0,66.8954408013,-0.0115469,38.597225189208984,18.751997232437134,-0.0179453,20,0.933369,0.93002469545
700.0,2.69056,590.0,0.0040945,0.0408814,14.7399,19.30866050720215,500.0,43.5889894354,0.0205565,57.9102680683136,19.16037082672119,0.0180851,20,0.930777,0.934610790148
700.0,2.70084,620.0,0.0110468,0.057783,14.8922,18.86110496520996,500.0,74.8331477355,-0.00644713,76.78675627708435,18.714182138442993,-0.00964432,20,0.935842,0.921971807204
900.0,2.69761,645.0,0.0159045,0.0882177,14.8443,19.79280924797058,500.0,102.347447452,-0.0150446,96.58678364753723,19.72417378425598,-0.0224305,20,0.934442,0.906643609536
800.0,2.69009,695.0,0.00921598,0.0654983,14.733,19.10845375061035,500.0,86.458082329,-0.00705506,115.708580493927,19.05439043045044,-0.0130241,20,0.930881,0.916500267152
900.0,2.68656,740.0,0.00261971,0.0520194,14.6811,19.278830766677856,600.0,91.6515138991,-0.00779934,135.001882314682,19.1475350856781,-0.010605,20,0.929426,0.91874170701
