AverageReturn,MaxReturn,MaxKL,AveragePolicyStd,ExplainedVariance,NumTrajs,Perplexity,LossAfter,LossBefore,Time,Entropy,StdReturn,MeanKL,TotalExecTime,MinReturn,ItrTime
495.0,1700.0,3.63285,1.12957,0.276857957373,20,21.7921,0.00232364,0.0105448,28.26820468902588,3.08155,554.504283121,0.0135338,28.13898253440857,0.0,28.26820945739746
785.0,3100.0,0.106856,1.13555,0.231312596266,20,22.0231,-0.0076503,-0.00534293,53.13037919998169,3.09209,959.309647611,0.00335905,24.787070751190186,0.0,24.853442192077637
630.0,3800.0,2.41139,1.13405,0.456474315442,20,21.9644,0.00727994,0.0145576,81.79285025596619,3.08942,1037.8342835,0.0151228,28.5983145236969,0.0,28.657835960388184
665.0,2000.0,0.304107,1.13816,0.380673842538,20,22.1248,-0.0137571,-0.0116357,110.99937653541565,3.0967,524.666560779,0.00295116,29.13810396194458,0.0,29.201812982559204
355.0,2100.0,0.0525533,1.13486,0.278283768207,20,21.9965,0.00496304,0.00681627,140.36215806007385,3.09088,613.575586216,0.00127741,29.289398908615112,0.0,29.35557508468628
785.0,2300.0,0.115484,1.13683,0.319038901213,20,22.0716,-0.00377594,-0.00167787,166.35577607154846,3.09429,721.300908082,0.00332521,25.816362380981445,0.0,25.987287282943726
570.0,2000.0,1.1647,1.13637,0.221719198345,20,22.0531,-0.00652142,-0.00352637,191.06147241592407,3.09345,545.068802996,0.00203851,24.60995888710022,0.0,24.687490224838257
