MinReturn,MaxReturn,Time,MeanKL,LossBefore,StdReturn,NumTrajs,Perplexity,TotalExecTime,AveragePolicyStd,Entropy,ItrTime,ExplainedVariance,AverageReturn,MaxKL,LossAfter
0.0,1800.0,123.34128952026367,0.00235855,-0.00412322,66.624620074,2000,17.0795,122.9483494758606,1.0,2.83788,123.34129047393799,0.0720979443898,4.6,4.68722,-0.00557443
0.0,1600.0,238.01848077774048,0.00123975,0.00096777,82.8294029919,2000,17.0092,114.29567766189575,0.99794,2.83375,114.67346143722534,0.0894333337545,7.7,0.174762,-0.000143814
0.0,1600.0,357.7223961353302,0.0034361,0.00265355,119.770614092,2000,17.0174,119.3571994304657,0.998182,2.83424,119.7014262676239,0.138207518794,15.0,1.18558,0.000413486
0.0,2000.0,481.1267762184143,0.0033485,-0.00760246,156.808131167,2000,17.04,123.05562424659729,0.998844,2.83556,123.3998475074768,0.167783817039,26.1,1.10361,-0.0101136
0.0,2000.0,600.8842406272888,0.00405121,0.00065783,229.999913043,2000,16.9754,119.41677403450012,0.996948,2.83176,119.75463151931763,0.255520720597,49.8,0.760959,-0.00192821
0.0,2100.0,731.4327704906464,0.00736777,-0.00638858,315.391803952,2000,16.9809,130.17134022712708,0.997112,2.83209,130.54566645622253,0.29202526048,84.9,3.13559,-0.0106846
0.0,2300.0,858.118819475174,0.0123909,-0.00754184,393.648571063,2000,16.9268,126.31867241859436,0.995527,2.8289,126.68214821815491,0.37946005651,144.45,6.27499,-0.0138134
0.0,2500.0,972.0974342823029,0.0146652,-0.00551006,489.142185361,2000,16.8631,113.58507299423218,0.993656,2.82513,113.97426319122314,0.439596535634,215.65,18.4176,-0.0133747
0.0,2700.0,1092.0849924087524,0.0182709,-0.00908949,630.820727307,2000,16.8167,119.64255213737488,0.99229,2.82237,119.98437571525574,0.532491640549,353.9,16.5963,-0.0172511
0.0,2600.0,1207.7179601192474,0.00806735,-0.00901877,753.116856802,2000,16.7404,115.28258061408997,0.990038,2.81783,115.62988424301147,0.607174463248,505.0,2.718,-0.0134698
0.0,2700.0,1335.4105632305145,0.0124836,-0.011106,832.458857842,2000,16.6651,127.33322978019714,0.98781,2.81332,127.68869090080261,0.636776162466,626.5,19.3966,-0.0172978
0.0,2800.0,1451.4198734760284,0.0258776,-0.0132029,906.089598219,2000,16.5728,115.65844821929932,0.985071,2.80776,116.00499987602234,0.688139139105,785.8,26.5569,-0.0268089
0.0,2800.0,1585.6061458587646,0.0145848,-0.0101317,953.389058832,2000,16.4638,133.80803537368774,0.981832,2.80116,134.18292379379272,0.710914277477,959.45,7.88147,-0.0173955
0.0,2900.0,1708.1535685062408,0.0198339,-0.0171714,998.310447707,2000,16.3806,122.22000741958618,0.979353,2.7961,122.543771982193,0.733356218904,1142.5,4.72166,-0.027207
0.0,3000.0,1818.1801631450653,0.0187593,-0.0118567,986.439495103,2000,16.2406,109.66596579551697,0.975161,2.78751,110.02397632598877,0.747510855914,1277.15,7.86859,-0.0195383
0.0,2900.0,1919.2966482639313,0.0139305,-0.015278,975.228166892,2000,16.1446,100.77833580970764,0.972269,2.78158,101.11388850212097,0.760284128948,1449.85,5.46482,-0.0221673
0.0,2900.0,2032.5761740207672,0.0195446,-0.0190333,929.205633862,2000,16.0217,112.93707823753357,0.968563,2.77394,113.2771270275116,0.777761693228,1611.7,10.2396,-0.0270347
0.0,3000.0,2133.8366158008575,0.0244714,-0.0190383,870.53395109,2000,15.87,100.89526987075806,0.96396,2.76443,101.25797176361084,0.786678121016,1750.8,12.8999,-0.0329543
0.0,3000.0,2233.055342197418,0.0227956,-0.0179621,803.208564135,2000,15.7196,98.83194637298584,0.959385,2.75491,99.21481895446777,0.810303566099,1910.05,12.0758,-0.0270046
0.0,3000.0,2344.624760866165,0.0220829,-0.0181507,709.000077574,2000,15.5791,111.26304149627686,0.955089,2.74593,111.56698632240295,0.841209837987,2033.3,3.82182,-0.0266977
