MaxReturn,ExplainedVariance,Time,Entropy,NumTrajs,TotalExecTime,Perplexity,MaxKL,ItrTime,MinReturn,LossBefore,StdReturn,AverageReturn,MeanKL,LossAfter,AveragePolicyStd
0.0,1,24.313141345977783,2.83788,200,23.976784229278564,17.0795,0.0,24.313148021697998,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0
0.0,1,51.87867474555969,2.83788,200,27.306371450424194,17.0795,0.0,27.549967765808105,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0
0.0,1,79.26755356788635,2.83788,200,27.188064336776733,17.0795,0.0,27.37533974647522,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0
0.0,1,106.13776278495789,2.83788,200,26.625563144683838,17.0795,0.0,26.838077068328857,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0
700.0,0.103360909602,131.14109706878662,2.83788,200,24.79193139076233,17.0795,0.000258733,24.986985445022583,0.0,0.0017203,49.3735759288,3.5,0.000104584,0.00122757,1.0
0.0,1,157.54626655578613,2.83874,200,26.180192470550537,17.0942,0.0,26.376983642578125,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,185.65897345542908,2.83874,200,27.963109493255615,17.0942,0.0,28.090444087982178,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,212.2671959400177,2.83874,200,26.446738243103027,17.0942,0.0,26.599432945251465,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,238.17618322372437,2.83874,200,25.677361011505127,17.0942,0.0,25.892164707183838,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,266.1157445907593,2.83874,200,27.719950914382935,17.0942,0.0,27.929677963256836,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,291.5555408000946,2.83874,200,25.166146993637085,17.0942,0.0,25.43379807472229,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,317.3168981075287,2.83874,200,25.560821771621704,17.0942,0.0,25.74765634536743,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,344.3837971687317,2.83874,200,26.73388934135437,17.0942,0.0,27.043599128723145,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,369.5252540111542,2.83874,200,24.826852321624756,17.0942,0.0,25.12616801261902,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,393.9842526912689,2.83874,200,24.35750913619995,17.0942,0.0,24.44893193244934,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,419.9624180793762,2.83874,200,25.69525384902954,17.0942,0.0,25.96837067604065,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,446.05400133132935,2.83874,200,25.883781909942627,17.0942,0.0,26.087228775024414,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,471.41396856307983,2.83874,200,25.215744733810425,17.0942,0.0,25.34042477607727,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,496.6136050224304,2.83874,200,24.968152284622192,17.0942,0.0,25.168792724609375,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,522.1791660785675,2.83874,200,25.431825876235962,17.0942,0.0,25.54974102973938,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,548.6797745227814,2.83874,200,26.25957703590393,17.0942,0.0,26.4766366481781,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,574.887876033783,2.83874,200,25.952447652816772,17.0942,0.0,26.198818683624268,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,600.7853620052338,2.83874,200,25.64491629600525,17.0942,0.0,25.87023425102234,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,626.3735661506653,2.83874,200,25.411633491516113,17.0942,0.0,25.56874918937683,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,651.2463405132294,2.83874,200,24.768913507461548,17.0942,0.0,24.859684705734253,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,675.4640936851501,2.83874,200,24.04358172416687,17.0942,0.0,24.193448781967163,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,698.914671421051,2.83874,200,23.25612163543701,17.0942,0.0,23.4377498626709,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,722.5694019794464,2.83874,200,23.503969192504883,17.0942,0.0,23.647542715072632,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,747.382720708847,2.83874,200,24.550886154174805,17.0942,0.0,24.806068181991577,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,772.8862600326538,2.83874,200,25.21771264076233,17.0942,0.0,25.487982273101807,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,798.4886457920074,2.83874,200,25.354474544525146,17.0942,0.0,25.59023928642273,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,823.7399742603302,2.83874,200,24.980375051498413,17.0942,0.0,25.244967460632324,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,849.9209775924683,2.83874,200,25.8777756690979,17.0942,0.0,26.17373013496399,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,876.133184671402,2.83874,200,25.956421852111816,17.0942,0.0,26.20783233642578,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
0.0,1,902.2771549224854,2.83874,200,25.875537395477295,17.0942,0.0,26.139670372009277,0.0,-0.0,0.0,0.0,0.0,-0.0,1.00043
