0AverageReturn,1AveragePolicyStd,1Entropy,0MinReturn,0ProcessExecTime,0MaxReturn,Time,0NumTrajs,MeanKLBefore,0EnvExecTime,1MinReturn,1ProcessExecTime,1NumTrajs,ComputeUpdatedDistTime,ItrTime,1StdReturn,1PolicyExecTime,LossAfter,MeanKL,0StdReturn,0Entropy,0AveragePolicyStd,0PolicyExecTime,1EnvExecTime,LossBefore,1Perplexity,0ExplainedVariance,1MaxReturn,1AverageReturn,1ExplainedVariance,dLoss,0Perplexity
22.5,0.994289,2.82631,0.0,0.05656242370605469,800.0,9.89804482460022,80,7.27595761418e-10,1.2610528469085693,0.0,0.07488727569580078,80,0.7072083950042725,9.898045778274536,543.915204788,2.9215924739837646,-0.00678657507524,0.00578361842781,126.466398699,2.83788,1.0,1.6213526725769043,1.8015499114990234,9.31322574615e-10,16.8831,0.103739527088,2100.0,262.5,0.398764196643,0.00678657600656,17.0795
15.0,0.984378,2.80627,0.0,0.03448152542114258,1000.0,17.923625230789185,80,1.86264514923e-09,0.8011963367462158,0.0,0.07419323921203613,80,0.08687615394592285,7.287691593170166,430.813184571,2.841829776763916,-0.0105326110497,0.00820913165808,113.026545555,2.81817,0.990195,1.1043012142181396,1.7893049716949463,1.86264514923e-09,16.548,0.0804239558053,1900.0,180.0,0.437099756131,0.0105326129124,16.7461
37.5,0.984599,2.80661,0.0,0.04465937614440918,800.0,25.660832166671753,80,-4.65661342819e-10,1.0590803623199463,0.0,0.07376766204833984,80,0.08498835563659668,7.725862741470337,766.481408776,2.797934055328369,-0.00823717843741,0.00729527510703,163.840623778,2.80073,0.981681,1.2190420627593994,1.7972502708435059,3.25962901115e-09,16.5537,0.183859623767,2400.0,427.5,0.543692244112,0.00823718169704,16.4566
3.75,0.970168,2.77716,0.0,0.03288888931274414,300.0,33.26711463928223,80,9.31322685638e-10,0.7586619853973389,0.0,0.07460618019104004,80,0.08545160293579102,7.005522012710571,439.742467246,2.774275302886963,-0.00783532857895,0.00666848197579,33.3307290649,2.76601,0.964714,0.9433205127716064,1.719883680343628,1.7462298274e-10,16.0734,0.0351035519876,1600.0,198.75,0.374262551917,0.00783532875357,15.8951
17.5,0.953903,2.74313,0.0,0.05838894844055176,900.0,41.58636021614075,80,3.72529029846e-09,1.2959730625152588,0.0,0.07474756240844727,80,0.10570192337036133,8.311573028564453,945.845356018,2.8474576473236084,-0.0101163461804,0.00938157737255,113.77060253,2.76269,0.963129,1.4228441715240479,1.8234045505523682,4.65661287308e-10,15.5355,0.0810132062245,2700.0,538.75,0.578729088186,0.0101163466461,15.8424
16.25,0.935929,2.705,0.0,0.05328989028930664,600.0,50.296847105026245,80,-3.72529074255e-09,1.2245855331420898,0.0,0.07563376426696777,80,0.08452677726745605,8.097532510757446,854.367456075,2.9113059043884277,-0.0114193223417,0.00978311616927,88.6619281315,2.71659,0.941215,1.3454630374908447,1.8595788478851318,-4.16184775531e-09,14.9543,0.0672814570021,2600.0,482.5,0.538790630563,0.0114193181798,15.1287
0.0,0.939374,2.71278,0.0,0.06177067756652832,0.0,58.763413190841675,80,0.0,1.4512934684753418,0.0,0.07411527633666992,80,0.10300636291503906,8.461361408233643,156.12494996,2.8736724853515625,-0.00339503167197,0.00737219303846,0.0,2.71278,0.939374,1.5080337524414062,1.8021504878997803,0.0,15.0711,1,1000.0,25.0,0.0848218965386,0.00339503167197,15.0711
13.75,0.932413,2.69782,0.0,0.04639577865600586,600.0,67.04102396965027,80,0.0,1.0572540760040283,0.0,0.07667303085327148,80,0.08629250526428223,7.762254953384399,775.925858249,2.86955189704895,-0.00670674908906,0.00842756219208,73.7288105153,2.6986,0.932779,1.2281453609466553,1.8313117027282715,2.32830643654e-09,14.8474,0.0572615408384,2100.0,436.25,0.508636235578,0.00670675141737,14.8589
31.25,0.941559,2.71727,0.0,0.038095712661743164,1400.0,74.26448130607605,80,1.86264537128e-09,0.8785183429718018,0.0,0.07476329803466797,80,0.07869267463684082,7.218335866928101,959.684192847,2.806990385055542,-0.00831801444292,0.00906477961689,184.79295847,2.72838,0.946758,1.061983585357666,1.7828786373138428,-1.86264514923e-09,15.1389,0.116074581685,2700.0,547.5,0.563511303884,0.00831801258028,15.308
20.0,0.932662,2.69842,0.0,0.06325244903564453,900.0,83.29636549949646,80,0.0,1.4364862442016602,0.0,0.07365727424621582,80,0.08249902725219727,8.332696437835693,1078.62108152,2.804852247238159,-0.00404029898345,0.00712978001684,119.791485507,2.69952,0.933175,1.4847023487091064,1.7536885738372803,0.0,14.8563,0.0815967614508,2800.0,621.25,0.588103420434,0.00404029898345,14.8726
23.75,0.90284,2.63323,0.0,0.05061459541320801,1100.0,91.03942322731018,80,0.0,1.115478515625,0.0,0.07501530647277832,80,0.09071516990661621,7.7375195026397705,1155.52409646,2.84417462348938,-0.00375106744468,0.00824902765453,139.860421492,2.64147,0.906563,1.2590179443359375,1.7147812843322754,2.32830643654e-10,13.9186,0.0958218256174,3000.0,666.25,0.614922909906,0.00375106767751,14.0339
17.5,0.932167,2.69711,0.0,0.06019878387451172,700.0,99.90604019165039,80,0.0,1.3522601127624512,0.0,0.07583260536193848,80,0.08299398422241211,8.336248636245728,825.34462499,2.8900632858276367,-0.0117190489545,0.00986938551068,97.1789586279,2.70871,0.937568,1.4326355457305908,1.8277990818023682,-4.65661287308e-09,14.8367,0.075343641196,2500.0,457.5,0.568203438645,0.0117190442979,15.0099
6.25,0.947303,2.7289,0.0,0.04996156692504883,300.0,106.64576196670532,80,1.39698386192e-09,1.1693389415740967,0.0,0.05675387382507324,80,0.08849239349365234,6.733657360076904,575.92181544,2.1720213890075684,-0.00745827425271,0.00610186858103,39.8238308052,2.70737,0.937019,1.2862892150878906,1.3381843566894531,1.16415321827e-10,15.3161,0.422547839274,2100.0,286.25,0.681414404919,0.00745827436913,14.9899
15.0,0.931752,2.69621,0.0,0.06014394760131836,600.0,115.45965218544006,80,0.0,1.3772013187408447,0.0,0.07343626022338867,80,0.08098435401916504,8.291923522949219,1134.70742374,2.825918436050415,-0.00453131552786,0.00762145174667,80.777472107,2.68699,0.927392,1.4342823028564453,1.805323600769043,1.39698386192e-09,14.8234,0.0493885913713,2800.0,663.75,0.58253300067,0.00453131692484,14.6874
17.5,0.914153,2.65815,0.0,0.061429738998413086,900.0,123.8527479171753,80,1.86264537128e-09,1.4107024669647217,0.0,0.0737767219543457,80,0.07675909996032715,8.38329005241394,501.67064644,2.8368375301361084,-0.00420546717942,0.00581233110279,109.287464972,2.64908,0.910007,1.4606494903564453,1.8030672073364258,0.0,14.2698,0.0575049657723,1600.0,258.75,0.500332027183,0.00420546717942,14.141
41.25,0.901584,2.62892,0.0,0.039301395416259766,1600.0,131.6817696094513,80,-9.31322685638e-10,0.919558048248291,0.0,0.07166695594787598,80,0.09217691421508789,7.293443918228149,1154.87485794,2.757345676422119,-0.00821840297431,0.00773154990748,214.297544316,2.63206,0.90274,1.0813086032867432,1.7645983695983887,0.0,13.8588,0.153859310098,2800.0,666.25,0.615036072611,0.00821840297431,13.9023
1.25,0.899729,2.62624,0.0,0.04680037498474121,100.0,139.08616089820862,80,-3.72529074255e-09,1.1238417625427246,0.0,0.06846380233764648,80,0.10193181037902832,7.3920698165893555,66.6614581299,2.6439990997314453,-0.00135742221028,0.00810658931732,11.1102430216,2.63609,0.904152,1.221747636795044,1.6236331462860107,9.31322574615e-10,13.8217,0.0431894216855,600.0,7.5,0.0820346048719,0.0013574231416,13.9585
27.5,0.906417,2.63968,0.0,0.043895721435546875,1800.0,147.1059639453888,80,0.0,1.0230047702789307,0.0,0.06836128234863281,80,0.0759127140045166,7.347996711730957,1151.85719601,2.7066378593444824,-0.00937310419977,0.00863442290574,204.31287282,2.64684,0.90965,1.1183507442474365,1.6942908763885498,2.32830643654e-09,14.0088,0.0931103572591,3000.0,665.0,0.626533636218,0.00937310652807,14.1094
31.25,0.898984,2.62209,0.0,0.05858755111694336,1300.0,155.30408596992493,80,-2.79396794589e-09,1.318471908569336,0.0,0.07439565658569336,80,0.09326410293579102,8.192783117294312,932.804072407,2.881613254547119,-0.0100034084171,0.00639627873898,182.067123611,2.62139,0.89835,1.3636460304260254,1.8246698379516602,1.39698386192e-09,13.7644,0.146308176391,2500.0,538.75,0.600216080839,0.0100034098141,13.7548
3.75,0.900982,2.62641,0.0,0.0540158748626709,300.0,164.10489654541016,80,0.0,1.253939151763916,0.0,0.07547259330749512,80,0.08561897277832031,8.2719087600708,0.0,2.87688946723938,0.0,0.0,33.3307290649,2.63842,0.906054,1.3141727447509766,1.8181500434875488,0.0,13.8241,0.0354832769579,0.0,0.0,1,0.0,13.9911
18.75,0.898369,2.62143,0.0,0.04288744926452637,500.0,171.77030658721924,80,-3.72529074255e-09,1.0070984363555908,0.0,0.0753629207611084,80,0.08180761337280273,7.659955978393555,542.58639865,2.8834407329559326,-0.00539458915591,0.00547868479043,89.5736428867,2.63842,0.906054,1.1637442111968994,1.8188090324401855,6.51925802231e-09,13.7554,0.0912876085231,2000.0,260.0,0.371194130228,0.00539459567517,13.9911
21.25,0.905825,2.63683,0.0,0.042900800704956055,1100.0,179.91982173919678,80,0.0,0.9823148250579834,0.0,0.07486653327941895,80,0.08508443832397461,7.610328197479248,1020.18380697,2.852397918701172,-0.00139212235808,0.00856296531856,133.878443,2.64026,0.907265,1.1315281391143799,1.8082351684570312,-3.25962901115e-09,13.9688,0.131213221503,2700.0,735.0,0.576377801465,0.00139211909845,14.0168
1.25,0.892932,2.60845,0.0,0.04820108413696289,100.0,187.74679374694824,80,2.79396794589e-09,1.1318442821502686,0.0,0.07295656204223633,80,0.0847005844116211,7.821024417877197,55.5512151082,2.818873643875122,-0.00709588266909,0.00743347173557,11.1102430216,2.60307,0.890426,1.2657999992370605,1.7814393043518066,1.86264514923e-09,13.578,0.0729968945827,500.0,6.25,0.135687807238,0.00709588453174,13.5052
13.75,0.887579,2.5959,0.0,0.05133795738220215,600.0,196.09807324409485,80,0.0,1.1800050735473633,0.0,0.06745028495788574,80,0.0848226547241211,7.8153321743011475,0.0,2.7029201984405518,0.0,0.0,86.231882155,2.60461,0.891353,1.2578840255737305,1.6695516109466553,0.0,13.4087,0.0930879120368,0.0,0.0,1,0.0,13.526
20.0,0.890634,2.60324,0.0,0.04764842987060547,1000.0,204.13901925086975,80,1.86264537128e-09,1.0823068618774414,0.0,0.0758826732635498,80,0.10292601585388184,8.029237031936646,1184.05817002,2.928772211074829,-0.00976257957518,0.00701492698863,128.840987267,2.60461,0.891353,1.2143118381500244,1.8549790382385254,9.31322574615e-10,13.5075,0.0465187788651,2900.0,1102.5,0.651195463725,0.0097625805065,13.526
15.0,0.872867,2.56156,0.0,0.04284548759460449,500.0,212.46366238594055,80,-9.31322685638e-10,1.0230987071990967,0.0,0.07180070877075195,80,0.08244490623474121,7.498962879180908,1101.35144255,2.812098503112793,-0.00941601395607,0.00766123086214,74.3303437366,2.5545,0.869583,1.15958833694458,1.753204345703125,6.98491930962e-09,12.9561,0.046958093366,2900.0,805.0,0.613804768369,0.00941602094099,12.8648
61.25,0.855105,2.52044,0.0,0.03833580017089844,1300.0,219.87057304382324,80,1.86264514923e-09,0.8954260349273682,0.0,0.07581090927124023,80,0.06860232353210449,7.401635408401489,1137.07340902,2.8786301612854004,-0.0102518703789,0.00828909128904,233.181125951,2.52539,0.856814,1.0404224395751953,1.8483564853668213,-1.80443748832e-09,12.4341,0.103957702535,2800.0,813.75,0.617949378883,0.0102518685744,12.4957
13.75,0.851061,2.50891,0.0,0.0687260627746582,500.0,229.2632339000702,80,0.0,1.5620150566101074,0.0,0.07456803321838379,80,0.08603239059448242,8.841842651367188,0.0,2.8974854946136475,0.0,0.0,73.7288105153,2.52057,0.855729,1.5701639652252197,1.820723056793213,0.0,12.2916,0.119590037197,0.0,0.0,1,0.0,12.4357
41.25,0.85892,2.52716,0.0,0.06157636642456055,800.0,237.88178420066833,80,0.0,1.4285032749176025,0.0,0.07548093795776367,80,0.10525035858154297,8.612795114517212,1077.28753706,2.909165382385254,-0.0104304803535,0.00988124497235,157.871585474,2.52057,0.855729,1.4767940044403076,1.8422229290008545,2.79396772385e-09,12.518,0.14574886579,2800.0,628.75,0.511959459485,0.0104304831475,12.4357
27.5,0.84582,2.49566,0.0,0.05337691307067871,900.0,246.3590157032013,80,1.86264537128e-09,1.2301044464111328,0.0,0.07180023193359375,80,0.09777951240539551,7.948411226272583,733.80855814,2.8251309394836426,-0.00254056882113,0.00902372132987,136.907815701,2.4918,0.843632,1.3261616230010986,1.7627880573272705,2.79396772385e-09,12.1297,0.0605591022747,2600.0,345.0,0.519596727958,0.0025405716151,12.083
