Entropy,AverageReturn,ExplainedVariance,MaxKL,NumTrajs,Time,AveragePolicyStd,MeanKL,MaxReturn,TotalExecTime,ItrTime,StdReturn,LossAfter,LossBefore,MinReturn,Perplexity
2.57184,582.5,0.191828220131,22.1012,40,6.2519145011901855,0.876188,0.67838,1500.0,6.195185661315918,6.251916408538818,422.426029028,-0.0668644,0.00504933,0.0,13.0899
2.57689,1677.5,0.416482152874,8.78097,40,12.066965579986572,0.878782,0.0752948,2900.0,5.713867425918579,5.810915231704712,630.272758415,-0.0617078,-0.0374547,300.0,13.1561
2.55816,1907.5,0.485265862675,1.65741,40,17.772947072982788,0.870365,0.034468,3800.0,5.663841724395752,5.701635837554932,765.632908122,-0.0397485,-0.0225837,200.0,12.912
2.54687,1870.0,0.418674979461,14.9148,40,23.784371852874756,0.865557,0.101347,3700.0,5.966191530227661,6.005816698074341,892.244361148,-0.0740559,-0.0374997,100.0,12.7671
2.52812,2057.5,0.442255474613,37.9875,40,28.46809959411621,0.857229,0.194683,4200.0,4.603847026824951,4.677490949630737,766.122542417,-0.0522526,-0.00742526,800.0,12.5299
2.52441,1815.0,0.37864060117,0.388699,40,33.68263530731201,0.85559,0.0592758,4100.0,5.166524171829224,5.203713417053223,908.996699664,-0.0592705,-0.036835,0.0,12.4835
2.50599,2190.0,0.457623114214,0.31474,40,39.30929136276245,0.847863,0.0526262,3600.0,5.565298080444336,5.618557929992676,845.813218152,-0.0385546,-0.0191184,600.0,12.2557
