Entropy,Perplexity,AverageReturn,LossBefore,StdReturn,MaxKL,MinReturn,ExplainedVariance,MeanKL,MaxReturn,TotalExecTime,Time,ItrTime,NumTrajs,AveragePolicyStd,LossAfter
2.83651,17.0561,30.0,-0.0033743,130.766968306,0.218817,0.0,0.0900625570928,0.00355703,600.0,16.249144554138184,16.492510080337524,16.49187207221985,20,0.999438,-0.00442481
2.83314,16.9987,375.0,0.0172081,1133.96428515,2.54078,0.0,0.218733971964,0.0147053,5000.0,15.842759132385254,32.59656834602356,16.072415828704834,20,0.997774,0.0165331
2.84174,17.1456,160.0,0.0211643,697.423830967,922.866,0.0,0.0650923590053,6.55806,3200.0,16.546648502349854,49.28671431541443,16.655889987945557,20,1.0022,1.73299
2.85232,17.328,5.0,-0.00427756,21.7944947177,111.923,0.0,0.050109411692,1.01689,100.0,16.78096079826355,66.25404834747314,16.964051246643066,20,1.00759,0.0873782
2.85018,17.291,130.0,0.0219546,566.65686266,68.0915,0.0,0.112328204743,0.462382,2600.0,17.406272411346436,83.86629629135132,17.599467039108276,20,1.00655,0.0435713
2.86116,17.4818,310.0,-0.0125324,982.293235241,0.00478926,0.0,0.26929930998,0.000499951,4100.0,16.3572940826416,100.41587400436401,16.524271965026855,20,1.01233,-0.0139559
2.85489,17.3726,365.0,-0.0014624,915.027321996,13.1323,0.0,0.174498223644,0.0885866,3100.0,17.061020851135254,117.63044142723083,17.194996118545532,20,1.00919,0.00928938
