0ProcessExecTime,MeanKL,0StdReturn,0AverageReturn,MeanKLBefore,1PolicyExecTime,dLoss,0AveragePolicyStd,1EnvExecTime,Time,0PolicyExecTime,1MaxReturn,1AverageReturn,1ProcessExecTime,1Perplexity,1ExplainedVariance,LossAfter,1StdReturn,0Entropy,0MaxReturn,0ExplainedVariance,ItrTime,LossBefore,0Perplexity,1MinReturn,1NumTrajs,1AveragePolicyStd,1Entropy,0EnvExecTime,ComputeUpdatedDistTime,0MinReturn,0NumTrajs
0.34799671173095703,0.00675466749817,61.8056429463,10.25,-4.71482319853e-09,11.18567180633545,0.00742582575185,1.0,27.220795392990112,77.52403688430786,2.025495767593384,700.0,25.75,0.35230422019958496,17.1355,0.0344234264438,-0.00742582697421,87.5324939665,2.83788,700.0,0.0125611447783,77.52404451370239,-1.22236087918e-09,17.0795,0.0,400,1.00171,2.84115,24.307268619537354,5.1762166023254395,0.0,400
0.3053267002105713,0.00685004191473,74.0097122005,17.25,4.30736502022e-10,11.029587507247925,0.00663434934686,1.01013,26.41847801208496,141.2703492641449,1.59751558303833,700.0,34.75,0.3242452144622803,17.5004,0.0616660353712,-0.00663435086608,100.336620932,2.858,700.0,0.0318396240569,63.08676338195801,-1.51921997205e-09,17.4267,0.0,400,1.01236,2.86222,20.532784938812256,0.3076145648956299,0.0,400
0.32334136962890625,0.00674831820652,118.986343754,31.5,-6.17000839309e-10,10.902730226516724,0.00761834830046,1.01063,26.19968008995056,207.21166586875916,1.842907190322876,2300.0,120.5,0.3177626132965088,17.4344,0.0739704259648,-0.00761834951118,310.289783912,2.859,1300.0,0.0289364351223,65.93418788909912,-1.21071941361e-09,17.444,0.0,400,1.01043,2.85844,23.403298377990723,0.3041720390319824,0.0,400
0.3323187828063965,0.00680943671614,104.820978339,37.25,2.32830602021e-10,10.622016668319702,0.00602571549825,1.01306,25.72616982460022,274.8459241390228,1.8145976066589355,1300.0,83.0,0.298187255859375,17.5263,0.0678344985075,-0.00602571479976,191.340011498,2.86378,800.0,0.037253504103,66.93965458869934,6.98491930962e-10,17.5276,0.0,400,1.01311,2.8637,25.15898633003235,0.3125007152557373,0.0,400
0.339432954788208,0.00991078838706,157.676686609,61.75,6.83649137301e-09,10.913254499435425,0.00655847033486,1.00963,25.91877245903015,341.1023507118225,1.9579908847808838,1800.0,118.25,0.30839991569519043,17.4797,0.0710240405793,-0.00655847089365,254.640800933,2.85703,1500.0,0.0429554162976,66.25147461891174,-5.58793566974e-10,17.4098,0.0,400,1.01173,2.86104,23.950213193893433,0.3101677894592285,0.0,400
0.3331902027130127,0.00836236868054,152.636004927,76.5,-4.19095147475e-10,9.751055717468262,0.00646170261316,1.00792,22.95085072517395,403.209557056427,1.6853578090667725,4800.0,226.0,0.290743350982666,17.3588,0.0708693550353,-0.00646170321852,607.802599534,2.85366,900.0,0.0548689514278,61.476744651794434,-6.05359651296e-10,17.3511,0.0,400,1.00823,2.8541,23.42442560195923,0.33823323249816895,0.0,400
0.33217835426330566,0.00637685088441,208.853417497,105.5,2.56113741326e-10,9.41786241531372,0.00643621748313,1.01522,22.11681628227234,463.31187176704407,1.8345539569854736,3800.0,302.5,0.3051581382751465,17.5703,0.100229785553,-0.00643621757627,552.262392346,2.86806,1200.0,0.0677241838803,60.09787106513977,-9.3132279666e-11,17.6028,0.0,400,1.01434,2.86621,23.341440439224243,0.29698824882507324,0.0,400
0.3030416965484619,0.00693855062127,120.278582882,55.75,-8.61473392622e-10,9.313932180404663,0.00677548062522,1.01374,22.68317747116089,524.2206296920776,1.796241044998169,1400.0,134.0,0.27971887588500977,17.6174,0.0794435283138,-0.00677548348904,246.969633761,2.86503,900.0,0.0463489994999,60.099427938461304,-2.86381696135e-09,17.5495,0.0,400,1.01575,2.86889,22.5296688079834,0.3003692626953125,0.0,400
0.3246636390686035,0.0087190438062,180.575295929,85.25,-9.77888547915e-10,9.390077352523804,0.00673399837688,1.01669,22.217296838760376,584.7727816104889,1.7392148971557617,2000.0,171.5,0.30077219009399414,17.688,0.0911526964373,-0.00673399865627,289.374757019,2.87082,1600.0,0.0498378942478,60.54748487472534,-2.79396838998e-10,17.6515,0.0,400,1.01781,2.87289,23.75121808052063,0.29212260246276855,0.0,400
0.3340439796447754,0.00892626214772,172.655545813,82.25,4.19094980941e-10,9.032597303390503,0.00652637747116,1.01136,22.131966590881348,645.3343079090118,1.8718972206115723,3000.0,195.0,0.29815244674682617,17.4891,0.0921841410236,-0.00652637891471,367.321385166,2.86021,1300.0,0.0396720859338,59.87023854255676,-1.44354994625e-09,17.4651,0.0,400,1.01221,2.86158,23.358495950698853,0.37384533882141113,0.0,400
0.3169291019439697,0.00932384561747,145.032539452,76.75,5.35510635835e-10,9.322843313217163,0.00637865674216,1.00568,21.950656175613403,703.9912514686584,1.5372354984283447,3100.0,182.75,0.29407215118408203,17.2441,0.079016761315,-0.00637865718454,350.396115133,2.84898,800.0,0.0537449844792,58.652287006378174,-4.42378245147e-10,17.2702,0.0,400,1.00499,2.84747,22.266586542129517,0.3817484378814697,0.0,400
0.34578824043273926,0.00606613839045,168.291228232,85.75,4.19095036452e-10,9.015672445297241,0.00119256488979,1.00297,21.08844804763794,761.798089504242,1.8371448516845703,1800.0,157.0,0.2877180576324463,17.101,0.0834567836389,-0.00119256367907,304.9606532,2.8437,1000.0,0.0385819445655,57.17160439491272,1.21071930259e-09,17.1792,0.0,400,1.00072,2.83914,21.731642723083496,0.2927837371826172,0.0,400
