AveragePolicyStd,ExplainedVariance,StdReturn,Perplexity,NumTrajs,Entropy,LossAfter,Time,MaxReturn,AverageReturn,TotalExecTime,MaxKL,MinReturn,LossBefore,MeanKL,ItrTime
0.947542,0.969872266556,912.838978134,15.2117,20,2.72206,-0.0855137,5.02303409576416,21800.0,20835.0,4.9489426612854,0.926131,18600.0,-0.0406675,0.218602,5.023038387298584
0.930233,0.978178341971,782.240372264,14.6054,20,2.68139,-0.0218884,9.550707817077637,23100.0,22110.0,4.46112322807312,0.190702,20500.0,-0.00376534,0.0437372,4.517331123352051
0.930202,0.984328735349,688.095196902,14.578,20,2.67951,-0.00288305,14.328487157821655,23200.0,22355.0,4.730590105056763,0.509683,21200.0,0.00803949,0.019987,4.763644218444824
0.932236,0.993558734331,319.530906173,14.6367,20,2.68353,-0.0172509,19.49532389640808,22900.0,22430.0,5.124573469161987,0.576509,21800.0,0.00164517,0.0484778,5.162391185760498
0.932897,0.981880181388,701.498396292,14.6487,20,2.68435,-0.000174173,24.311498880386353,23100.0,21930.0,4.770092248916626,0.233401,20100.0,0.01077,0.0262158,4.812314987182617
0.935544,0.985299162038,581.291665173,14.7278,20,2.68974,-0.0282671,29.091099500656128,23200.0,22590.0,4.749517917633057,0.0973105,20900.0,-0.0192852,0.0113701,4.775733709335327
0.931209,0.988183339121,574.543296889,14.5865,20,2.6801,-0.0204243,33.79850959777832,23100.0,22330.0,4.66628623008728,0.0822941,21000.0,-0.00858583,0.0204268,4.703556060791016
