MaxKL,LossAfter,AverageReturn,StdReturn,Perplexity,MinReturn,Entropy,MeanKL,ExplainedVariance,NumTrajs,TotalExecTime,MaxReturn,Time,LossBefore,ItrTime,AveragePolicyStd
0.0,-0.0,0.0,0.0,11.4353,0.0,2.4367,0.0,1,40,3.8531699180603027,0.0,3.9078867435455322,-0.0,3.9078938961029053,0.82843
0.141629,0.0124692,7.5,46.837484988,11.4353,0.0,2.4367,0.00926539,0.559484547318,40,3.1514670848846436,300.0,7.110072612762451,0.0249058,3.1979668140411377,0.82843
0.203935,-0.00155746,47.5,209.746871252,11.5786,0.0,2.44916,0.0173462,0.626664341832,40,3.938659191131592,1100.0,11.128352403640747,0.00914153,4.0138444900512695,0.833201
0.618822,-0.0301132,92.5,249.386747844,11.6316,0.0,2.45373,0.101507,0.289588955892,40,4.333218574523926,1200.0,15.505284547805786,0.0182212,4.366210699081421,0.835165
1.54392,-0.168792,3477.5,1574.72021324,11.7381,0.0,2.46284,0.679698,0.625431310052,40,4.376677513122559,5700.0,19.924167156219482,-0.0252507,4.410516023635864,0.839581
4.1107,-0.276296,4060.0,1270.59041394,11.5908,1100.0,2.45021,2.69507,0.591238390709,40,4.967800855636597,6700.0,24.9303777217865,0.0140201,5.000950336456299,0.835106
0.0305441,0.00563332,2.5,15.612494996,11.6723,0.0,2.45722,0.0169917,0.0106443426014,40,4.152523756027222,100.0,29.13780164718628,0.0100084,4.201972484588623,0.838525
