AverageReturn,Entropy,ExplainedVariance,ItrTime,AveragePolicyStd,MaxReturn,TotalExecTime,StdReturn,LossBefore,NumTrajs,MinReturn,LossAfter,MaxKL,MeanKL,Perplexity,Time
2672.0,1.63268,0.994967465377,13.60698413848877,0.5474,3000.0,13.553658723831177,111.427106217,-0.000689835,200,2400.0,-0.019818,6.20647,0.563818,5.11756,404.01779794692993
2684.0,1.63233,0.994143097808,13.639157772064209,0.547316,3000.0,13.559222221374512,125.07597691,0.00218304,200,2300.0,-0.0196403,4.90555,0.425043,5.11579,417.6652135848999
2680.0,1.63342,0.995195754913,13.470216035842896,0.547631,3000.0,13.386113405227661,122.882057274,-0.00294891,200,2300.0,-0.0299793,3.45395,0.534072,5.12138,431.13925337791443
2681.5,1.63195,0.995060839441,13.35588526725769,0.547229,3000.0,13.260144472122192,112.728656516,-0.000362014,200,2400.0,-0.0343541,4.06984,0.575493,5.11383,444.5012969970703
2668.0,1.63177,0.994521797528,13.425792932510376,0.547179,3000.0,13.354576587677002,118.6423196,-0.010159,200,2400.0,-0.030741,3.39745,0.496673,5.1129,457.92984080314636
2673.0,1.62669,0.994302454713,13.549942016601562,0.5458,3000.0,13.439696073532104,121.123903504,-0.0206648,200,2300.0,-0.0429445,3.42036,0.487753,5.087,471.49141550064087
2654.0,1.61636,0.992839216444,13.423123359680176,0.542985,2900.0,13.343281984329224,131.468627436,0.00296411,200,2300.0,-0.0263396,4.11254,0.715038,5.03471,484.91723704338074
2672.0,1.61784,0.994544612207,13.273313522338867,0.543365,2900.0,13.193811893463135,115.394973894,-0.00116881,200,2300.0,-0.0110997,3.10029,0.220591,5.04218,498.19950318336487
2661.5,1.61725,0.993584340088,13.590877771377563,0.543195,2900.0,13.5319344997406,137.723454793,0.00414645,200,2100.0,0.00141793,0.144093,0.0126363,5.03923,511.8024959564209
2680.5,1.61933,0.993669883895,13.45286512374878,0.543759,3000.0,13.364806890487671,127.160331865,-0.00511458,200,2300.0,-0.032215,3.95478,0.396565,5.04969,525.2594237327576
