Perplexity,MaxKL,MeanKL,NumTrajs,MinReturn,ItrTime,Time,Entropy,MaxReturn,StdReturn,TotalExecTime,ExplainedVariance,AveragePolicyStd,AverageReturn,LossBefore,LossAfter
17.2706,0.0,0.0,20,0.0,16.249473571777344,16.24946665763855,2.849,0.0,0.0,16.00631070137024,1,1.00568,0.0,-0.0,-0.0
17.2706,1654.53,17.7672,20,0.0,16.281586170196533,32.54348850250244,2.849,700.0,152.561463024,16.023423433303833,0.0462401914505,1.00568,35.0,-0.0164429,2.35401
17.1292,0.136861,0.000848815,20,0.0,16.74968433380127,49.305848360061646,2.84078,2900.0,703.757770827,16.562588930130005,0.151262778418,1.00153,235.0,-0.0148626,-0.0158996
17.0023,14.2366,0.100399,20,0.0,16.27666974067688,65.62086892127991,2.83335,2000.0,459.891291503,16.100260734558105,0.0708919811795,0.997854,150.0,-0.0164788,0.000614724
16.8628,130.484,1.99047,20,0.0,16.21060538291931,81.84758067131042,2.82511,1500.0,326.496554346,15.940478324890137,0.0436223560542,0.993752,80.0,0.0112678,0.0079744
16.9581,545.325,5.00217,20,0.0,16.152732849121094,98.02578926086426,2.83074,2700.0,684.452335813,15.88032579421997,0.326969409605,0.996517,295.0,0.00491235,0.928881
16.9998,44.4075,0.350982,20,0.0,17.882113218307495,115.9351258277893,2.8332,1000.0,217.944947177,17.581446886062622,0.126276603552,0.997775,50.0,-0.00878773,-0.030582
