NumTrajs,ExplainedVariance,TotalExecTime,Perplexity,Entropy,Time,MeanKL,LossAfter,AveragePolicyStd,AverageReturn,MaxKL,LossBefore,MinReturn,MaxReturn,StdReturn,ItrTime
200,0.73316522448,36.31015419960022,16.1446,2.78158,1093.1894550323486,0.0109137,0.00102157,0.972246,759.0,0.655996,0.0135946,0.0,2800.0,992.581986538,36.56718468666077
200,0.768494140579,35.196354150772095,16.2547,2.78838,1128.6639075279236,0.0107249,-0.0221175,0.975558,912.0,0.232797,-0.0158872,0.0,2800.0,1035.35307987,35.45696187019348
200,0.736099156379,34.8163800239563,16.1261,2.78044,1163.7550950050354,0.0215632,-0.0334739,0.971693,825.5,0.807693,-0.0209665,0.0,2800.0,968.503871959,35.068384885787964
200,0.768727555389,33.26607084274292,15.9579,2.76995,1197.344208240509,0.0108235,-0.0333533,0.966614,1072.5,0.0848445,-0.0258623,0.0,2900.0,1069.71666809,33.571473598480225
200,0.717471962335,35.36642909049988,15.7529,2.75702,1233.0588238239288,0.015601,-0.0255998,0.960387,1123.5,0.599319,-0.0172281,0.0,2900.0,1044.02957334,35.7013795375824
200,0.745635085865,34.460193395614624,15.6178,2.74841,1267.7457218170166,0.0269716,-0.0172475,0.956252,1244.5,1.48843,-0.00617924,0.0,2800.0,1017.825992,34.672823905944824
200,0.75054275081,35.35506629943848,15.5696,2.74532,1303.3897066116333,0.0473972,-0.0378887,0.954776,1386.5,0.734951,-0.01514,0.0,2900.0,904.747340422,35.622366428375244
200,0.809491623867,33.47487950325012,15.4522,2.73775,1337.1770117282867,0.0237999,-0.036088,0.95117,1698.5,0.972925,-0.0244545,0.0,3000.0,864.724088944,33.7615327835083
200,0.827775129378,33.019829750061035,15.2644,2.72552,1370.4978318214417,0.0261995,-0.043425,0.945372,1931.5,0.232736,-0.0272532,0.0,3000.0,689.171785551,33.30745506286621
200,0.861414183275,36.613367319107056,15.0578,2.7119,1407.3981292247772,0.0595321,-0.0554803,0.938953,2047.5,1.11434,-0.0266336,0.0,2800.0,647.142758593,36.88487482070923
200,0.905053473123,32.25341296195984,14.8586,2.69858,1439.92147898674,0.0562117,-0.062419,0.932737,2213.0,0.733083,-0.0386234,100.0,2900.0,515.87886175,32.50860643386841
200,0.95806786841,34.52289438247681,14.5744,2.67927,1474.8281800746918,0.00730606,-0.0447174,0.923803,2382.0,0.429245,-0.036897,1300.0,2900.0,324.308495109,34.89845585823059
200,0.959757776168,36.7285213470459,14.308,2.66082,1511.8846249580383,0.0310115,-0.0296866,0.915308,2430.0,0.491931,-0.0167604,800.0,3000.0,322.645316098,37.03836131095886
200,0.976824616472,32.7886221408844,14.1886,2.65244,1545.035887002945,0.0303185,-0.0469663,0.911502,2477.5,0.295897,-0.0369563,1700.0,2900.0,241.544509356,33.14863681793213
200,0.974705689653,34.63289213180542,13.9288,2.63396,1580.0664443969727,0.0335935,-0.0535491,0.903088,2495.0,0.916357,-0.0385477,1100.0,2900.0,246.525860712,35.02015829086304
200,0.988954971967,35.39978003501892,13.6629,2.61469,1615.7475545406342,0.0462874,-0.0376738,0.894408,2582.0,0.808058,-0.023969,2000.0,2900.0,159.924982414,35.669729232788086
200,0.987908691087,32.8129358291626,13.5002,2.6027,1648.9215912818909,0.0145068,-0.0411535,0.889066,2579.5,0.306558,-0.0354892,1900.0,2900.0,177.566184844,33.15399527549744
200,0.990301204314,35.50225496292114,13.2627,2.58496,1684.7406587600708,0.0522311,-0.0361073,0.881213,2607.0,4.68499,-0.0150166,2000.0,2900.0,156.048069517,35.80415153503418
200,0.991472344047,34.445584535598755,13.1635,2.57745,1719.5312287807465,0.0488117,-0.0414278,0.877915,2619.0,0.657583,-0.031195,1900.0,3000.0,158.237163776,34.78009080886841
200,0.991335272264,34.347543716430664,12.9598,2.56185,1754.1309144496918,0.0570158,-0.0323286,0.871097,2628.5,1.39662,-0.0216968,2100.0,2900.0,151.121639748,34.58531308174133
