AveragePolicyStd,StdReturn,NumTrajs,LossAfter,ItrTime,ExplainedVariance,Entropy,LossBefore,Time,AverageReturn,MeanKL,TotalExecTime,MaxKL,Perplexity,MinReturn,MaxReturn
0.58088,517.294645246,40,-0.152618,5.743671178817749,0.489535276513,1.73658,0.0142439,5.743670463562012,1387.5,1.58226,5.653887033462524,5.30437,5.67789,500.0,2600.0
0.586418,261.294852609,40,-0.0761314,5.256832838058472,0.990172406536,1.75082,-0.0447017,11.003456115722656,7385.0,0.129421,5.156386852264404,0.275398,5.75934,6700.0,7800.0
0.579339,213.541565041,40,-0.054136,5.249762058258057,0.992783663634,1.72847,-0.0366713,16.25675106048584,7470.0,0.0705556,5.167589426040649,0.31048,5.63204,6900.0,7900.0
0.573222,534.766304099,40,-0.0902649,4.99006462097168,0.976617802181,1.71014,-0.0459443,21.257729291915894,7405.0,0.136322,4.890973329544067,0.587671,5.52972,5200.0,8000.0
0.567073,166.658333125,40,-0.0502537,4.392356634140015,0.994821168386,1.68716,-0.0239484,25.656759023666382,7465.0,0.0855358,4.356475353240967,0.39019,5.40414,7100.0,7900.0
0.563366,249.386747844,40,-0.0400181,5.622097969055176,0.993453644739,1.67519,-0.0224081,31.286051750183105,7532.5,0.0665721,5.539531707763672,0.233221,5.33981,7100.0,8100.0
0.560204,266.270539114,40,-0.0807204,5.3052496910095215,0.992595407587,1.66399,-0.041708,36.60438346862793,7610.0,0.146924,5.260502099990845,0.383058,5.28032,6800.0,8100.0
