StdReturn,MaxReturn,Time,TotalExecTime,ItrTime,ExplainedVariance,MeanKL,MaxKL,NumTrajs,LossAfter,AverageReturn,AveragePolicyStd,Perplexity,LossBefore,MinReturn,Entropy
65.3834841531,300.0,16.06080436706543,15.829323291778564,16.060811042785645,0.0518227417387,0.00745488,0.89876,20,-0.00708513,15.0,0.999438,17.0561,-0.00589319,0.0,2.83651
60.0,200.0,31.650537490844727,15.399508476257324,15.569589376449585,0.0866524664422,0.078805,5.36346,20,0.000210265,20.0,0.996649,16.9559,-0.00355179,0.0,2.83062
326.917420766,1500.0,47.54308080673218,15.75034236907959,15.865574836730957,0.2574781722,0.0364934,6.2262,20,0.0116438,75.0,0.995641,16.9258,0.00768755,0.0,2.82884
219.715725427,1000.0,65.09743189811707,17.312708377838135,17.50864052772522,0.272320503943,0.000307452,0.00178223,20,-0.00390052,65.0,0.997534,16.991,-0.00274307,0.0,2.83269
0.0,0.0,82.93048858642578,17.641502857208252,17.801450729370117,1,0.0,0.0,20,-0.0,0.0,0.996786,16.9677,-0.0,0.0,2.83131
333.878720496,1400.0,98.19194889068604,15.176478147506714,15.245787858963013,0.144671899295,0.0417259,4.64104,20,-0.0117767,105.0,0.996786,16.9677,-0.0255801,0.0,2.83131
65.3834841531,300.0,113.1087577342987,14.797629833221436,14.898473262786865,0.0285144478006,0.00627911,1.25613,20,-0.00658465,15.0,0.990392,16.7521,-0.00645688,0.0,2.81852
