Perplexity,StdReturn,AverageReturn,Time,ItrTime,LossBefore,MinReturn,MaxKL,NumTrajs,MeanKL,TotalExecTime,ExplainedVariance,Entropy,MaxReturn,AveragePolicyStd,LossAfter
16.3558,423.017434629,257.5,5.094050645828247,5.094053745269775,0.0291162,0.0,7.90689,40,0.283121,5.034345626831055,0.184021179407,2.79458,2600.0,0.982009,-0.0232525
16.839,636.548309243,1192.5,9.934965133666992,4.835214614868164,-0.00468729,100.0,4.5849,40,0.0882169,4.7289204597473145,0.28125501735,2.8237,2800.0,0.996942,-0.0309985
16.7996,851.465648162,1872.5,14.784332990646362,4.845639705657959,-0.00104777,300.0,7.78933,40,0.152178,4.7845048904418945,0.391014888087,2.82135,4200.0,0.996257,-0.0444753
16.7908,1026.09697397,2325.0,19.860921621322632,5.0652756690979,-0.0455587,600.0,6.44367,40,0.0972442,5.0281243324279785,0.507204080349,2.82083,5200.0,0.996302,-0.0738866
16.4127,1311.47817367,2145.0,25.15967106819153,5.294989585876465,-0.0335315,300.0,17.6233,40,0.153744,5.242264747619629,0.490746517646,2.79805,4800.0,0.984934,-0.0760108
16.1398,1040.18027284,2655.0,30.265899896621704,5.101770877838135,-0.0383496,500.0,2.32613,40,0.0296835,5.058926820755005,0.572609373133,2.78129,4600.0,0.976632,-0.0567327
15.8333,1035.58860075,2682.5,35.78088021278381,5.509344100952148,-0.0270516,600.0,7.82139,40,0.0555351,5.455815076828003,0.534192346063,2.76211,4900.0,0.967109,-0.050094
