LossAfter,MeanKL,ExplainedVariance,MaxKL,Perplexity,MaxReturn,TotalExecTime,ItrTime,Time,Entropy,AveragePolicyStd,NumTrajs,MinReturn,LossBefore,AverageReturn,StdReturn
-0.0103539,0.0202166,0.994360569802,0.345916,9.13528,3000.0,10.74867558479309,10.832060098648071,329.3934419155121,2.21214,0.732333,200,2400.0,-0.00699006,2682.5,123.465582249
-0.00496949,0.0238027,0.995106257892,0.151301,9.10341,2900.0,10.880332231521606,10.950212717056274,340.3513214588165,2.20865,0.730968,200,2400.0,-0.00130891,2688.0,116.430236623
0.000816599,0.0444081,0.994842343456,0.713967,9.09745,2900.0,11.040754556655884,11.097686529159546,351.45415568351746,2.20799,0.730801,200,2400.0,0.00473595,2683.5,113.91992802
0.00550024,0.00472608,0.994639211376,0.0744452,9.11902,2900.0,10.714712381362915,10.767803430557251,362.23400831222534,2.21036,0.731752,200,2300.0,0.00761442,2670.0,124.09673646
-0.0160641,0.0178103,0.994439072302,0.125721,9.15381,3000.0,10.749784708023071,10.803057670593262,373.0569372177124,2.21417,0.733129,200,2300.0,-0.0120321,2681.5,121.687098741
-0.00849116,0.0446861,0.994963939969,0.313808,9.0989,3100.0,10.633949995040894,10.710088014602661,383.7859034538269,2.20815,0.730851,200,2300.0,-0.000230074,2673.0,115.199826389
-0.0123225,0.00994972,0.994869193807,0.0583668,9.09785,3000.0,11.2169828414917,11.270901441574097,395.07087326049805,2.20804,0.730812,200,2300.0,-0.0103829,2686.5,113.876029084
-0.0183819,0.186758,0.994536759908,1.52206,9.05074,3000.0,10.942330360412598,10.999279260635376,406.0806851387024,2.20285,0.728962,200,2300.0,0.0037074,2669.5,120.912158198
-0.0240841,0.173276,0.99421784636,1.46213,9.06754,3000.0,10.917360305786133,10.982588291168213,417.0702955722809,2.2047,0.729587,200,2200.0,-0.00757734,2689.0,116.528966356
-0.00613549,0.0349456,0.995073563974,0.261395,9.03325,2900.0,10.94592833518982,11.012127161026001,428.08668851852417,2.20091,0.728207,200,2400.0,0.000342421,2679.5,113.26848635
-0.0129235,0.1056,0.995214000609,1.01017,9.0348,3000.0,11.000519514083862,11.05877161026001,439.1536703109741,2.20108,0.728394,200,2400.0,0.000587486,2687.0,117.179349717
-0.00477115,0.049329,0.994457478434,0.317962,9.03745,2900.0,10.782190084457397,10.879353761672974,450.0411093235016,2.20138,0.728493,200,2300.0,0.000279553,2681.5,112.28423754
