AverageReturn,LossBefore,MaxKL,MaxReturn,Time,LossAfter,Perplexity,AveragePolicyStd,ExplainedVariance,TotalExecTime,StdReturn,ItrTime,Entropy,MeanKL,MinReturn,NumTrajs
2587.0,-0.0205906,1.23888,2900.0,1087.9978194236755,-0.0302997,13.4923,0.889233,0.98896087128,37.446884632110596,167.4246099,37.834327936172485,2.60212,0.0392347,2000.0,200
2588.0,-0.0205922,2.01477,2900.0,1126.2174670696259,-0.0331765,13.3541,0.88468,0.98859042459,37.785468339920044,167.200478468,38.20248317718506,2.59182,0.0480657,1900.0,200
2594.0,-0.0352896,0.235186,2900.0,1165.1353850364685,-0.0412871,13.2173,0.880217,0.987436566259,38.483341455459595,188.318878501,38.90531396865845,2.58153,0.0141971,1300.0,200
2624.5,-0.0249997,0.542359,2900.0,1203.809918165207,-0.0407704,12.9862,0.872433,0.991936609613,38.28593945503235,144.740284648,38.66070747375488,2.56388,0.0631387,1900.0,200
2641.5,-0.0245309,0.418797,2900.0,1241.503501176834,-0.0290738,12.8248,0.867013,0.99203610104,37.270911693573,136.483515488,37.67481303215027,2.55138,0.0110286,2200.0,200
2635.0,-0.011074,0.764931,2900.0,1278.9415469169617,-0.018915,12.6685,0.861777,0.992714080385,36.99156904220581,132.570735836,37.422547340393066,2.53912,0.0319453,2300.0,200
2635.0,-0.0229009,0.67523,3000.0,1316.792005777359,-0.0328173,12.5985,0.859563,0.992362094893,37.41261529922485,144.82748358,37.82763981819153,2.53358,0.0438963,2200.0,200
2644.0,-0.0222084,0.227802,2900.0,1355.3994727134705,-0.0254581,12.4551,0.854669,0.992212260124,38.17688727378845,145.821809068,38.59195804595947,2.52213,0.013928,1900.0,200
2638.0,-0.0241815,19.3027,2900.0,1393.2013146877289,-0.0501034,12.3176,0.849899,0.993597417515,37.47622585296631,137.680790236,37.77835440635681,2.51103,0.167131,2300.0,200
2638.0,0.0110034,1.14831,2900.0,1431.3193290233612,0.00488824,12.1695,0.844878,0.992231089849,37.72140598297119,129.444969002,38.0974485874176,2.49894,0.0296861,2300.0,200
2660.5,-0.000809398,0.174375,2900.0,1469.6591579914093,-0.00381574,12.2367,0.847152,0.994073094287,37.92566132545471,125.258732231,38.32259154319763,2.50444,0.0126257,2200.0,200
2667.5,-0.00613635,0.65361,2900.0,1507.8990921974182,-0.0106911,12.2317,0.847098,0.994611835844,37.8052294254303,123.66790206,38.22765111923218,2.50403,0.0296283,2300.0,200
2659.5,-0.00328455,0.151578,3000.0,1546.2374901771545,-0.00809809,12.1943,0.846002,0.995146483993,37.88607478141785,117.088641635,38.32313275337219,2.50097,0.0147424,2300.0,200
2671.0,-0.0130626,0.579916,3000.0,1584.6735157966614,-0.0201569,12.1742,0.845216,0.993891916557,37.97769498825073,120.660681251,38.420822858810425,2.49932,0.0359574,2200.0,200
2665.5,-0.00218197,846.822,2900.0,1623.0634036064148,-1.4267,12.095,0.842522,0.993813044723,37.93943548202515,124.738726946,38.37516760826111,2.49279,7.71656,2200.0,200
2663.0,0.0140866,2.22531,3000.0,1661.062954902649,0.0036303,12.0818,0.842133,0.993899880334,37.67985796928406,120.129097225,37.98182249069214,2.4917,0.0986082,2300.0,200
2670.0,-0.0141762,1.74698,2900.0,1699.7565965652466,-0.0325384,12.1672,0.844913,0.994652559716,38.232688426971436,115.758369028,38.67563080787659,2.49874,0.0757424,2300.0,200
2683.5,0.0138374,0.2771,3000.0,1738.2635457515717,0.0101998,12.0813,0.842094,0.994298973598,38.02151155471802,115.229119584,38.49142503738403,2.49166,0.0141198,2400.0,200
2665.5,0.00714453,0.21677,2900.0,1776.608324766159,0.0016369,12.1651,0.845054,0.994390601807,37.938175201416016,120.6637891,38.321192026138306,2.49857,0.0152281,2200.0,200
2672.5,-0.00779485,15.4686,2900.0,1815.0519573688507,-0.024952,12.2087,0.846657,0.994241181171,38.02284240722656,119.973955507,38.427438735961914,2.50215,0.239236,2300.0,200
2676.0,-0.0148856,0.537517,3000.0,1853.445071697235,-0.0204162,12.1612,0.845085,0.993700818453,37.92511749267578,130.476051442,38.36546730995178,2.49825,0.0362307,2300.0,200
