MinReturn,MaxKL,ItrTime,StdReturn,LossBefore,NumTrajs,MaxReturn,Perplexity,TotalExecTime,ExplainedVariance,AverageReturn,MeanKL,Entropy,Time,AveragePolicyStd,LossAfter
0.0,0.509322,29.505552291870117,1022.78040165,-0.0113052,200,2800.0,16.0533,29.264986038208008,0.711491145984,654.5,0.0102806,2.77591,847.5228426456451,0.969622,-0.01994
0.0,0.114471,29.543577432632446,1020.04595485,0.0043763,200,2800.0,15.9628,29.27845811843872,0.759966210495,672.5,0.0067757,2.77026,877.0821821689606,0.966819,-0.000177138
0.0,0.0313969,29.261451721191406,1118.27143396,-0.0382988,200,2900.0,15.9978,28.983279943466187,0.772756505966,837.0,0.00420957,2.77245,906.36332654953,0.967875,-0.0418517
0.0,0.499557,28.497190713882446,947.236902786,-0.0170376,200,2800.0,15.6943,28.373190879821777,0.701352537746,568.5,0.00928431,2.7533,934.8878881931305,0.958657,-0.0226567
0.0,0.713449,32.508158683776855,1105.13788732,-0.00499526,200,2900.0,15.5612,32.22067594528198,0.748072038362,895.5,0.0248384,2.74478,967.4039580821991,0.954541,-0.0222524
0.0,0.0379777,29.39829182624817,1115.30264951,-0.00196091,200,2900.0,15.5224,29.08507990837097,0.747200456788,830.0,0.000918025,2.74228,996.8167407512665,0.95333,-0.00434963
0.0,0.0247188,29.857518196105957,1048.75628723,-0.0109924,200,2800.0,15.5072,29.597941637039185,0.770514802808,764.5,0.00287479,2.7413,1026.6794323921204,0.95286,-0.0139663
0.0,0.146448,30.534138202667236,1131.48530702,-0.00818493,200,2800.0,15.4222,30.27211856842041,0.765463304709,929.0,0.00650866,2.73581,1057.2283642292023,0.95025,-0.0132519
0.0,1.24926,27.829282522201538,1141.70388017,-0.0241799,200,2900.0,15.3592,27.53283929824829,0.75440348652,946.5,0.0158512,2.73171,1085.0634999275208,0.948317,-0.0363224
0.0,0.287755,31.747370719909668,1097.81134536,-0.00837642,200,2800.0,15.1746,31.51117181777954,0.746863376603,860.5,0.00848193,2.71962,1116.8137929439545,0.942613,-0.0162911
0.0,0.95585,31.20772099494934,1104.01890835,-0.0200753,200,2800.0,15.1112,30.91778826713562,0.750290538039,756.5,0.0247712,2.71544,1148.0352058410645,0.940655,-0.0314888
0.0,0.750015,31.79453992843628,1085.50633347,-0.00703463,200,2800.0,14.9603,31.507859230041504,0.712322701407,874.0,0.0142056,2.7054,1179.835530757904,0.935935,-0.0180295
0.0,0.142821,30.184889316558838,1151.30838614,-0.00781135,200,2900.0,14.9077,29.909534215927124,0.747373036975,917.0,0.0063653,2.70188,1210.0242733955383,0.934293,-0.0127211
0.0,1.00376,32.9284462928772,1105.80004974,0.000752885,200,2900.0,14.8496,32.649771213531494,0.739006507904,907.5,0.039095,2.69797,1242.9736313819885,0.932476,-0.0214283
0.0,0.245855,34.39699697494507,1131.96245521,-0.00846827,200,2900.0,14.8552,34.15534257888794,0.740142456896,931.0,0.00720565,2.69835,1277.3821985721588,0.932667,-0.0132999
0.0,0.307087,32.55696368217468,1165.72552516,-0.00376719,200,2800.0,14.7924,32.301023960113525,0.744389550514,1022.0,0.0246317,2.69412,1309.9599406719208,0.930682,-0.0154045
0.0,0.184507,33.00840401649475,1182.64787659,-0.00917044,200,2900.0,14.7646,32.70630407333374,0.766190436377,1088.0,0.0093775,2.69223,1342.9793181419373,0.929805,-0.0130598
0.0,0.0400392,32.922914028167725,1141.63523071,-0.0103434,200,2900.0,14.6971,32.62088179588318,0.778948771037,987.0,0.00234475,2.68765,1375.9212653636932,0.927682,-0.01293
0.0,0.0893634,35.84849834442139,1182.18431304,-0.0140469,200,3000.0,14.6213,35.5952262878418,0.765484292838,1034.5,0.00387618,2.68248,1411.791497707367,0.925297,-0.0182752
0.0,0.715552,32.02047824859619,1119.86505884,0.00471047,200,2900.0,14.5189,31.72718596458435,0.748257710584,1023.5,0.0187314,2.67545,1443.830537557602,0.922069,-0.00827755
0.0,0.0673166,31.956773042678833,1124.02746853,-0.0116003,200,2900.0,14.5531,31.67607569694519,0.739655650273,996.5,0.00468893,2.67781,1475.8044352531433,0.923163,-0.0151347
