AverageReturn,Entropy,TotalExecTime,LossBefore,MaxReturn,MeanKL,LossAfter,Time,Perplexity,StdReturn,NumTrajs,MinReturn,MaxKL,ItrTime,ExplainedVariance,AveragePolicyStd
65.0,2.8392,8.947040319442749,0.0232306,600.0,74.9314,4.54684,9.04131555557251,17.1021,149.248115566,20,0.0,8716.39,9.0413179397583,0.285519006785,1.00066
15.0,2.86243,8.708625793457031,-0.0160419,200.0,1.15944,0.296406,17.801568031311035,17.504,47.6969600708,20,0.0,121.528,8.756453514099121,0.176095189864,1.01235
20.0,2.85441,8.678545236587524,-0.0078403,200.0,0.000182749,-0.00868,26.516796112060547,17.3642,50.9901951359,20,0.0,0.0203811,8.710894346237183,0.156888934619,1.00832
50.0,2.85049,7.6730427742004395,-0.005876,300.0,0.00296094,-0.00879086,34.241103649139404,17.2963,92.1954445729,20,0.0,0.326189,7.7172887325286865,0.382189331488,1.00637
50.0,2.84755,6.456125020980835,0.0134663,700.0,3.94873,-0.0440852,40.739012002944946,17.2455,156.524758425,20,0.0,229.047,6.487238168716431,0.319638738873,1.00488
30.0,2.85429,6.4120893478393555,-0.00160665,200.0,0.699417,0.0528512,47.1868257522583,17.362,64.0312423743,20,0.0,123.74,6.439881801605225,0.164344219447,1.00826
0.0,2.85348,6.520552396774292,-0.0,0.0,0.0,-0.0,53.741122007369995,17.3481,0.0,20,0.0,0.0,6.5504961013793945,1,1.00788
