AveragePolicyStd,Time,LossAfter,MaxReturn,MaxKL,AverageReturn,LossBefore,StdReturn,Perplexity,ExplainedVariance,ItrTime,TotalExecTime,MinReturn,Entropy,NumTrajs,MeanKL
0.87453,6.660311222076416,-0.145441,11300.0,2.11756,4415.0,-0.0126574,2820.33242721,13.0471,0.24937448978,6.660316467285156,6.581464767456055,300.0,2.56857,20,0.804341
0.869129,13.066666841506958,-0.0850578,20800.0,0.729069,17430.0,-0.00536122,1839.59234615,12.883,0.848901912604,6.400540828704834,6.339518070220947,13900.0,2.55591,20,0.381657
0.867999,19.600589513778687,-0.0230818,21900.0,0.099079,21430.0,-0.0171744,308.382878902,12.8486,0.992264746845,6.528493642807007,6.490187406539917,20600.0,2.55323,20,0.0233394
0.864209,26.217208862304688,-0.0129544,21900.0,0.10893,21400.0,-0.00926778,311.448230048,12.7387,0.99215637151,6.613644123077393,6.574167490005493,20600.0,2.54464,20,0.020608
0.862045,32.761749505996704,-0.0096004,21900.0,0.050382,21495.0,-0.00319205,239.739441895,12.6798,0.992870651506,6.538662910461426,6.432507514953613,21100.0,2.54001,20,0.0340897
0.861281,39.329546213150024,-0.00857998,21900.0,0.0225636,21620.0,-0.00469918,193.907194297,12.6596,0.993822334075,6.560341119766235,6.512290954589844,21300.0,2.53841,20,0.00592556
0.860183,45.706408739089966,0.00186539,21900.0,0.0646706,21515.0,0.00652722,219.715725427,12.6299,0.993804823171,6.366415500640869,6.288540601730347,21000.0,2.53606,20,0.00348514
